mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,folded_target_phase,phase_wrap_cycles,voltage_wrap_cycles,total_wrap_cycles,canonical_phase_offset,phase_offset,canonical_voltage,initial_voltage,mode
5,2,0,11,3.404,3.141592653589793,11.25976,4.976574692820414,-1,0,-1,1.8349820392306206,1.8349820392306206,4.100187095851343,4.100187095851343,inter_cali_pair_pi0_prebiased
5,2,1,7,3.658,0.0,9.74083,3.4576446928204145,-1,0,-1,3.4576446928204145,3.4576446928204145,4.811956305618393,4.811956305618393,inter_cali_pair_pi0_prebiased
6,2,0,12,3.497,3.141592653589793,7.27012,0.9869346928204141,-1,0,-1,-2.154657960769379,-2.154657960769379,2.4779379162687074,2.4779379162687074,inter_cali_pair_pi0_prebiased
6,2,1,8,3.525,0.0,6.24804,6.24804,0,0,0,6.24804,6.24804,5.485611197239876,5.485611197239876,inter_cali_pair_pi0_prebiased
7,2,0,13,3.273,3.141592653589793,1.84164,1.84164,0,0,0,-1.2999526535897932,-1.2999526535897932,2.6527065255282944,2.6527065255282944,inter_cali_pair_pi0_prebiased
7,2,1,9,3.503,0.0,0.0,0.0,0,0,0,0.0,0.0,3.503,3.503,inter_cali_pair_pi0_prebiased
8,2,0,14,5.095,3.141592653589793,3.14159,3.14159,0,0,0,-2.6535897932333796e-06,-2.6535897932333796e-06,5.094999262046237,5.094999262046237,inter_cali_pair_pi0_prebiased
8,2,1,10,3.166,0.0,0.0,0.0,0,0,0,0.0,0.0,3.166,3.166,inter_cali_pair_pi0_prebiased
9,3,0,76,4.873,3.141592653589793,-1.44979,4.833395307179586,1,0,1,1.691802653589793,1.691802653589793,5.3420352015284145,5.3420352015284145,inter_cali_pair_pi0_prebiased
9,3,1,72,4.945,0.0,-4.59138,1.6918053071795862,1,0,1,1.6918053071795862,1.6918053071795862,5.40732226200025,5.40732226200025,inter_cali_pair_pi0_prebiased
10,3,0,75,5.282,3.141592653589793,-2.70977,3.5734153071795864,1,0,1,0.4318226535897933,0.4318226535897933,5.409681674448506,5.409681674448506,inter_cali_pair_pi0_prebiased
10,3,1,71,4.972,0.0,-4.3536,1.929585307179586,1,-1,0,1.929585307179586,-4.3536,5.5075142075430055,3.472599581536528,inter_cali_pair_pi0_prebiased
11,3,0,74,4.837,3.141592653589793,2.87668,2.87668,0,0,0,-0.2649126535897932,-0.2649126535897932,4.758883077811449,4.758883077811449,inter_cali_pair_pi0_prebiased
11,3,1,70,4.689,0.0,1.65471,1.65471,0,0,0,1.65471,1.65471,5.166679083429844,5.166679083429844,inter_cali_pair_pi0_prebiased
12,3,0,73,4.639,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,3.5319679148256715,3.5319679148256715,inter_cali_pair_pi0_prebiased
12,3,1,69,4.729,0.0,3.14159,3.14159,0,-1,-1,3.14159,-3.1415953071795863,5.606371447716799,3.646294814117058,inter_cali_pair_pi0_prebiased
13,4,0,19,4.021,3.141592653589793,4.47646,4.47646,0,0,0,1.3348673464102072,1.3348673464102072,4.469336402274081,4.469336402274081,inter_cali_pair_pi0_prebiased
13,4,1,15,4.117,0.0,4.11529,4.11529,0,0,0,4.11529,4.11529,5.3449567323463105,5.3449567323463105,inter_cali_pair_pi0_prebiased
14,4,0,20,3.872,3.141592653589793,2.60847,2.60847,0,0,0,-0.533122653589793,-0.533122653589793,3.6717598025580744,3.6717598025580744,inter_cali_pair_pi0_prebiased
14,4,1,16,3.821,0.0,1.38306,1.38306,0,0,0,1.38306,1.38306,4.308524634981773,4.308524634981773,inter_cali_pair_pi0_prebiased
15,4,0,21,3.678,3.141592653589793,0.2215,0.2215,0,0,0,-2.9200926535897933,-2.9200926535897933,2.2971615202853854,2.2971615202853854,inter_cali_pair_pi0_prebiased
15,4,1,17,3.732,0.0,0.0,0.0,0,0,0,0.0,0.0,3.732,3.732,inter_cali_pair_pi0_prebiased
16,4,0,22,5.086,3.141592653589793,3.14159,3.14159,0,0,0,-2.6535897932333796e-06,-2.6535897932333796e-06,5.0859992709281086,5.0859992709281086,inter_cali_pair_pi0_prebiased
16,4,1,18,3.21,0.0,0.0,0.0,0,0,0,0.0,0.0,3.21,3.21,inter_cali_pair_pi0_prebiased
17,5,0,84,4.004,3.141592653589793,6.71699,0.4338046928204138,-1,0,-1,-2.7077879607693793,-2.7077879607693793,2.899329984436855,2.899329984436855,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
17,5,1,80,0.0,0.0,3.57539,3.57539,0,0,0,3.57539,3.57539,3.1817285190035247,3.1817285190035247,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
18,5,0,83,3.623,3.141592653589793,1.53218,1.53218,0,0,0,-1.609412653589793,-1.609412653589793,2.9263186758134427,2.9263186758134427,inter_cali_pair_pi0_prebiased
18,5,1,79,3.574,0.0,1.11681,1.11681,0,0,0,1.11681,1.11681,3.993973992328607,3.993973992328607,inter_cali_pair_pi0_prebiased
19,5,0,82,3.458,3.141592653589793,2.65129,2.65129,0,0,0,-0.4903026535897932,-0.4903026535897932,3.250861166532944,3.250861166532944,inter_cali_pair_pi0_prebiased
19,5,1,78,3.443,0.0,2.52786,2.52786,0,0,0,2.52786,2.52786,4.374657077348494,4.374657077348494,inter_cali_pair_pi0_prebiased
20,5,0,81,3.345,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,1.5166501945450335,1.5166501945450335,inter_cali_pair_pi0_prebiased
20,5,1,77,3.469,0.0,3.14159,3.14159,0,0,0,3.14159,3.14159,4.584991205570158,4.584991205570158,inter_cali_pair_pi0_prebiased
