theta1,theta2
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
1.047197551196597631e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
