symbol_index,level_0_to_255
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,2
53,3
54,4
55,5
56,6
57,7
58,8
59,9
60,10
61,11
62,12
63,13
64,14
65,15
66,16
67,17
68,18
69,19
70,20
71,21
72,22
73,23
74,24
75,25
76,26
77,27
78,28
79,29
80,30
81,31
82,32
83,33
84,34
85,35
86,36
87,37
88,38
89,39
90,40
91,41
92,42
93,43
94,44
95,45
96,46
97,47
98,48
99,49
100,50
101,51
102,52
103,53
104,54
105,55
106,56
107,57
108,58
109,59
110,60
111,61
112,62
113,63
114,64
115,65
116,66
117,67
118,68
119,69
120,70
121,71
122,72
123,73
124,74
125,75
126,76
127,77
128,78
129,79
130,80
131,81
132,82
133,83
134,84
135,85
136,86
137,87
138,88
139,89
140,90
141,91
142,92
143,93
144,94
145,95
146,96
147,97
148,98
149,99
150,100
151,101
152,102
153,103
154,104
155,105
156,106
157,107
158,108
159,109
160,110
161,111
162,112
163,113
164,114
165,115
166,116
167,117
168,118
169,119
170,120
171,121
172,122
173,123
174,124
175,125
176,126
177,127
178,128
179,129
180,130
181,131
182,132
183,133
184,134
185,135
186,136
187,137
188,138
189,139
190,140
191,141
192,142
193,143
194,144
195,145
196,146
197,147
198,148
199,149
200,150
201,151
202,152
203,153
204,154
205,155
206,156
207,157
208,158
209,159
210,160
211,161
212,162
213,163
214,164
215,165
216,166
217,167
218,168
219,169
220,170
221,171
222,172
223,173
224,174
225,175
226,176
227,177
228,178
229,179
230,180
231,181
232,182
233,183
234,184
235,185
236,186
237,187
238,188
239,189
240,190
241,191
242,192
243,193
244,194
245,195
246,196
247,197
248,198
249,199
250,200
251,201
252,202
253,203
254,204
255,205
256,206
257,207
258,208
259,209
260,210
261,211
262,212
263,213
264,214
265,215
266,216
267,217
268,218
269,219
270,220
271,221
272,222
273,223
274,224
275,225
276,226
277,227
278,228
279,229
280,230
281,231
282,232
283,233
284,234
285,235
286,236
287,237
288,238
289,239
290,240
291,241
292,242
293,243
294,244
295,245
296,246
297,247
298,248
299,249
300,250
301,251
302,252
303,253
304,254
305,255
306,255
307,254
308,253
309,252
310,251
311,250
312,249
313,248
314,247
315,246
316,245
317,244
318,243
319,242
320,241
321,240
322,239
323,238
324,237
325,236
326,235
327,234
328,233
329,232
330,231
331,230
332,229
333,228
334,227
335,226
336,225
337,224
338,223
339,222
340,221
341,220
342,219
343,218
344,217
345,216
346,215
347,214
348,213
349,212
350,211
351,210
352,209
353,208
354,207
355,206
356,205
357,204
358,203
359,202
360,201
361,200
362,199
363,198
364,197
365,196
366,195
367,194
368,193
369,192
370,191
371,190
372,189
373,188
374,187
375,186
376,185
377,184
378,183
379,182
380,181
381,180
382,179
383,178
384,177
385,176
386,175
387,174
388,173
389,172
390,171
391,170
392,169
393,168
394,167
395,166
396,165
397,164
398,163
399,162
400,161
401,160
402,159
403,158
404,157
405,156
406,155
407,154
408,153
409,152
410,151
411,150
412,149
413,148
414,147
415,146
416,145
417,144
418,143
419,142
420,141
421,140
422,139
423,138
424,137
425,136
426,135
427,134
428,133
429,132
430,131
431,130
432,129
433,128
434,127
435,126
436,125
437,124
438,123
439,122
440,121
441,120
442,119
443,118
444,117
445,116
446,115
447,114
448,113
449,112
450,111
451,110
452,109
453,108
454,107
455,106
456,105
457,104
458,103
459,102
460,101
461,100
462,99
463,98
464,97
465,96
466,95
467,94
468,93
469,92
470,91
471,90
472,89
473,88
474,87
475,86
476,85
477,84
478,83
479,82
480,81
481,80
482,79
483,78
484,77
485,76
486,75
487,74
488,73
489,72
490,71
491,70
492,69
493,68
494,67
495,66
496,65
497,64
498,63
499,62
500,61
501,60
502,59
503,58
504,57
505,56
506,55
507,54
508,53
509,52
510,51
511,50
512,49
513,48
514,47
515,46
516,45
517,44
518,43
519,42
520,41
521,40
522,39
523,38
524,37
525,36
526,35
527,34
528,33
529,32
530,31
531,30
532,29
533,28
534,27
535,26
536,25
537,24
538,23
539,22
540,21
541,20
542,19
543,18
544,17
545,16
546,15
547,14
548,13
549,12
550,11
551,10
552,9
553,8
554,7
555,6
556,5
557,4
558,3
559,2
560,1
561,0
