mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,folded_target_phase,phase_wrap_cycles,voltage_wrap_cycles,total_wrap_cycles,canonical_phase_offset,phase_offset,canonical_voltage,initial_voltage,mode
5,2,0,11,3.404,3.141592653589793,9.42477796076938,3.141592653589793,-1,0,-1,0.0,0.0,3.404,3.404,inter_cali_pair_pi0_prebiased
5,2,1,7,3.658,0.0,6.283185307179586,0.0,-1,0,-1,0.0,0.0,3.658,3.658,inter_cali_pair_pi0_prebiased
6,2,0,12,3.497,3.141592653589793,6.283185307179586,0.0,-1,0,-1,-3.141592653589793,-3.141592653589793,1.830629550958633,1.830629550958633,inter_cali_pair_pi0_prebiased
6,2,1,8,3.525,0.0,3.141592653589793,3.141592653589793,0,0,0,3.141592653589793,3.141592653589793,4.616109206162528,4.616109206162528,inter_cali_pair_pi0_prebiased
7,2,0,13,3.273,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,3.273,3.273,inter_cali_pair_pi0_prebiased
7,2,1,9,3.503,0.0,0.0,0.0,0,0,0,0.0,0.0,3.503,3.503,inter_cali_pair_pi0_prebiased
8,2,0,14,5.095,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,5.095,5.095,inter_cali_pair_pi0_prebiased
8,2,1,10,3.166,0.0,0.0,0.0,0,0,0,0.0,0.0,3.166,3.166,inter_cali_pair_pi0_prebiased
9,3,0,76,4.873,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,4.873,4.873,inter_cali_pair_pi0_prebiased
9,3,1,72,4.945,0.0,0.0,0.0,0,0,0,0.0,0.0,4.945,4.945,inter_cali_pair_pi0_prebiased
10,3,0,75,5.282,3.141592653589793,1.5707963267948966,1.5707963267948966,0,0,0,-1.5707963267948966,-1.5707963267948966,4.7889170021002005,4.7889170021002005,inter_cali_pair_pi0_prebiased
10,3,1,71,4.972,0.0,1.5707963267948966,1.5707963267948966,0,0,0,1.5707963267948966,1.5707963267948966,5.411952071401788,5.411952071401788,inter_cali_pair_pi0_prebiased
11,3,0,74,4.837,3.141592653589793,6.283185307179586,0.0,-1,0,-1,-3.141592653589793,-3.141592653589793,3.8088148953498826,3.8088148953498826,inter_cali_pair_pi0_prebiased
11,3,1,70,4.689,0.0,3.141592653589793,3.141592653589793,0,-1,-1,3.141592653589793,-3.141592653589793,5.561019262174973,3.6122716904627916,inter_cali_pair_pi0_prebiased
12,3,0,73,4.639,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,3.5319679148256715,3.5319679148256715,inter_cali_pair_pi0_prebiased
12,3,1,69,4.729,0.0,3.141592653589793,3.141592653589793,0,-1,-1,3.141592653589793,-3.141592653589793,5.6063721308131695,3.64629586441383,inter_cali_pair_pi0_prebiased
13,4,0,19,4.021,3.141592653589793,2.3561945738249066,2.3561945738249066,0,0,0,-0.7853980797648865,-0.7853980797648865,3.732129227055752,3.732129227055752,inter_cali_pair_pi0_prebiased
13,4,1,15,4.117,0.0,0.7853981912749699,0.7853981912749699,0,0,0,0.7853981912749699,0.7853981912749699,4.378028911821354,4.378028911821354,inter_cali_pair_pi0_prebiased
14,4,0,20,3.872,3.141592653589793,-2.3561944623148245,3.9269908448647617,1,0,1,0.7853981912749686,0.7853981912749686,4.149427935561493,4.149427935561493,inter_cali_pair_pi0_prebiased
14,4,1,16,3.821,0.0,-3.9269907891097198,2.3561945180698665,1,0,1,2.3561945180698665,2.3561945180698665,4.620825871001126,4.620825871001126,inter_cali_pair_pi0_prebiased
15,4,0,21,3.678,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,3.678,3.678,inter_cali_pair_pi0_prebiased
15,4,1,17,3.732,0.0,0.0,0.0,0,0,0,0.0,0.0,3.732,3.732,inter_cali_pair_pi0_prebiased
16,4,0,22,5.086,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,5.086,5.086,inter_cali_pair_pi0_prebiased
16,4,1,18,3.21,0.0,0.0,0.0,0,0,0,0.0,0.0,3.21,3.21,inter_cali_pair_pi0_prebiased
17,5,0,84,4.004,3.141592653589793,-8.36325622088907e-08,6.283185223547024,1,0,1,3.141592569957231,3.141592569957231,4.987948967141777,4.987948967141777,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
17,5,1,80,0.0,0.0,-3.1415927372223553,3.141592569957231,1,0,1,3.141592569957231,3.141592569957231,2.982471763684523,2.982471763684523,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
18,5,0,83,3.623,3.141592653589793,-8.36325620978684e-08,6.283185223547024,1,0,1,3.141592569957231,3.141592569957231,4.693905117905985,4.693905117905985,inter_cali_pair_pi0_prebiased
18,5,1,79,3.574,0.0,-8.36325620978684e-08,6.283185223547024,1,-1,0,6.283185223547024,-8.36325622088907e-08,5.53668857556994,3.573999966702349,inter_cali_pair_pi0_prebiased
19,5,0,82,3.458,3.141592653589793,-2.7877520717198873e-08,6.2831852793020655,1,0,1,3.1415926257122724,3.1415926257122724,4.567492257311345,4.567492257311345,inter_cali_pair_pi0_prebiased
19,5,1,78,3.443,0.0,-2.7877520717198873e-08,6.2831852793020655,1,0,1,6.2831852793020655,6.2831852793020655,5.473355843407937,5.473355843407937,inter_cali_pair_pi0_prebiased
20,5,0,81,3.345,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,1.5166501945450335,1.5166501945450335,inter_cali_pair_pi0_prebiased
20,5,1,77,3.469,0.0,3.141592653589793,3.141592653589793,0,0,0,3.141592653589793,3.141592653589793,4.584992033488804,4.584992033488804,inter_cali_pair_pi0_prebiased
21,6,0,27,3.371,3.141592653589793,5.497787227414699,5.497787227414699,0,0,0,2.356194573824906,2.356194573824906,4.2732905638158885,4.2732905638158885,inter_cali_pair_pi0_prebiased
