timestamp,port,voltage,current_mA,threshold_mA,min_check_voltage,attempts
2026-08-24 17:20:41,7,3.658,-0.021275527571493712,0.01,0.5,10
2026-08-24 17:20:41,8,4.616,-0.06382658271448115,0.01,0.5,10
2026-08-24 17:20:41,9,3.503,-0.011456053307728817,0.01,0.5,10
2026-08-24 17:20:41,10,3.166,-0.01472921139565665,0.01,0.5,10
2026-08-24 17:20:41,11,3.404,-0.07364605697824604,0.01,0.5,10
2026-08-24 17:20:41,12,1.831,-0.06709974080239037,0.01,0.5,10
2026-08-24 17:20:41,13,3.273,-0.011456053307728817,0.01,0.5,10
2026-08-24 17:20:41,14,5.095,-0.011456053307728817,0.01,0.5,10
2026-08-24 18:28:41,73,4.16,-0.18352015821636994,0.01,0.5,10
2026-08-24 18:28:41,74,4.394,-0.2508610597561944,0.01,0.5,10
2026-08-24 18:28:41,75,4.57,-0.25081183994754047,0.01,0.5,10
2026-08-24 18:28:41,76,4.133,-0.22596403987881986,0.01,0.5,10
2026-08-24 18:28:41,81,4.131,-0.2507626201388867,0.01,0.5,10
2026-08-24 18:28:41,82,4.255,-0.2507544168374444,0.01,0.5,10
2026-08-24 18:28:41,83,4.269,-0.2508282465504251,0.01,0.5,10
2026-08-24 18:28:41,84,4.004,-0.21840879925046341,0.01,0.5,10
2026-08-24 21:07:27,7,3.657,-0.09667180584676092,0.01,0.5,10
2026-08-24 21:07:27,8,4.626,-0.09841910905397039,0.01,0.5,10
2026-08-24 21:07:27,13,3.273,-4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,14,5.095,-4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,19,4.119,-4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,20,4.285,-4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,21,4.157,4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,22,3.957,4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,26,4.084,-4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,27,3.886,-4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,28,3.894,-4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,29,4.058,-4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,33,3.928,-0.008478112040614997,0.01,0.5,10
2026-08-24 21:07:27,36,4.0,-0.008798040796864595,0.01,0.5,10
2026-08-24 21:07:27,38,4.057,-4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,48,4.23,-0.12779513151883956,0.01,0.5,10
2026-08-24 21:07:27,49,4.294,-0.11096195695924405,0.01,0.5,10
2026-08-24 21:07:27,66,4.294,-0.19211721812789828,0.01,0.5,10
2026-08-24 21:07:27,67,4.442,-0.1853412911365601,0.01,0.5,10
2026-08-24 21:07:27,82,4.255,4.1016507211564516e-06,0.01,0.5,10
2026-08-24 21:07:27,83,4.269,-0.00794489744686564,0.01,0.5,10
2026-08-24 21:07:27,84,4.004,-0.007838254528115755,0.01,0.5,10
2026-08-24 21:07:27,101,4.228,-0.13273351898710298,0.01,0.5,10
2026-08-24 21:07:27,102,3.972,-0.13256290256083544,0.01,0.5,10
2026-08-25 00:35:49,43,4.318,0.0007916185891817496,0.01,0.5,10
2026-08-25 00:35:49,45,4.261,-0.0159020998458947,0.01,0.5,10
2026-08-25 00:35:49,46,3.082,-0.25358455583503725,0.01,0.5,10
2026-08-25 00:35:49,48,4.23,-0.0818894566477399,0.01,0.5,10
2026-08-25 00:35:49,49,4.294,-96.26521594482683,0.01,0.5,10
2026-08-25 02:00:29,7,3.611,-0.0965897728323379,0.01,0.5,10
2026-08-25 02:00:29,8,4.63,-0.0983288727381051,0.01,0.5,10
2026-08-25 02:00:29,13,3.273,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,14,5.095,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,19,4.119,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,20,4.285,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,21,4.157,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,22,3.957,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,26,4.084,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,27,3.886,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,28,3.894,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,29,4.058,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,33,3.928,-0.008469908739172685,0.01,0.5,10
2026-08-25 02:00:29,36,4.0,-0.008757024289653123,0.01,0.5,10
2026-08-25 02:00:29,38,4.057,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,48,4.23,-0.12764747209287822,0.01,0.5,10
2026-08-25 02:00:29,49,3.062,-0.11081429753328266,0.01,0.5,10
2026-08-25 02:00:29,66,4.294,-0.19197776200337924,0.01,0.5,10
2026-08-25 02:00:29,67,4.458,-0.18515261520338724,0.01,0.5,10
2026-08-25 02:00:29,82,4.255,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 02:00:29,83,4.269,-0.007895677638211855,0.01,0.5,10
2026-08-25 02:00:29,84,4.004,-0.00787106773388496,0.01,0.5,10
2026-08-25 02:00:29,101,4.228,-0.13265148597267998,0.01,0.5,10
2026-08-25 02:00:29,102,3.972,-0.12896000032364588,0.01,0.5,10
2026-08-25 04:17:20,7,3.611,-0.09710658082320271,0.01,0.5,10
2026-08-25 04:17:20,8,4.63,-0.09887849393473908,0.01,0.5,10
2026-08-25 04:17:20,13,3.273,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,14,5.095,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,19,4.119,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,20,4.285,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,21,4.157,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,22,3.957,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,26,4.084,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,27,3.886,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,28,3.894,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,29,4.058,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,33,3.928,-0.008970310127152886,0.01,0.5,10
2026-08-25 04:17:20,36,4.0,-0.009232815773306386,0.01,0.5,10
2026-08-25 04:17:20,38,4.057,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,48,4.23,-0.12818068668662755,0.01,0.5,10
2026-08-25 04:17:20,49,3.062,-0.11133930882558973,0.01,0.5,10
2026-08-25 04:17:20,66,4.294,-0.19263402611876304,0.01,0.5,10
2026-08-25 04:17:20,67,4.462,-0.18583348922309798,0.01,0.5,10
2026-08-25 04:17:20,69,3.646,-0.16327441025677847,0.01,0.5,10
2026-08-25 04:17:20,71,5.412,-0.1556453399154413,0.01,0.5,10
2026-08-25 04:17:20,82,4.255,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 04:17:20,83,4.269,-0.008371469121865116,0.01,0.5,10
2026-08-25 04:17:20,84,4.004,-0.008289436107442127,0.01,0.5,10
2026-08-25 04:17:31,7,3.611,,0.01,0.5,10
2026-08-25 04:17:31,8,4.63,,0.01,0.5,10
2026-08-25 04:17:31,9,3.503,,0.01,0.5,10
2026-08-25 04:17:31,10,3.166,,0.01,0.5,10
2026-08-25 04:17:31,11,3.412,,0.01,0.5,10
2026-08-25 04:17:31,12,1.725,,0.01,0.5,10
2026-08-25 04:17:31,13,3.273,,0.01,0.5,10
2026-08-25 04:17:31,14,5.095,,0.01,0.5,10
2026-08-25 04:17:31,19,4.119,,0.01,0.5,10
2026-08-25 04:17:31,20,4.285,,0.01,0.5,10
2026-08-25 04:17:31,21,4.157,,0.01,0.5,10
2026-08-25 04:17:31,22,3.957,,0.01,0.5,10
2026-08-25 04:17:31,26,4.084,,0.01,0.5,10
2026-08-25 04:17:31,27,3.886,,0.01,0.5,10
2026-08-25 04:17:31,28,3.894,,0.01,0.5,10
2026-08-25 04:17:31,29,4.058,,0.01,0.5,10
2026-08-25 04:17:31,33,3.928,,0.01,0.5,10
2026-08-25 04:17:31,36,4.0,,0.01,0.5,10
2026-08-25 04:17:31,38,4.057,,0.01,0.5,10
2026-08-25 04:17:31,40,3.992,,0.01,0.5,10
2026-08-25 04:17:31,41,4.164,,0.01,0.5,10
2026-08-25 04:17:31,42,3.995,,0.01,0.5,10
2026-08-25 04:17:31,43,4.318,,0.01,0.5,10
2026-08-25 04:17:31,44,3.977,,0.01,0.5,10
2026-08-25 04:17:31,45,4.261,,0.01,0.5,10
2026-08-25 04:17:31,46,4.329,,0.01,0.5,10
2026-08-25 04:17:31,48,4.23,,0.01,0.5,10
2026-08-25 04:17:31,49,3.062,,0.01,0.5,10
2026-08-25 04:17:31,65,4.694,,0.01,0.5,10
2026-08-25 04:17:31,66,4.294,,0.01,0.5,10
2026-08-25 04:17:31,67,4.462,,0.01,0.5,10
2026-08-25 04:17:31,68,4.309,,0.01,0.5,10
2026-08-25 04:17:31,69,3.646,,0.01,0.5,10
2026-08-25 04:17:31,70,3.612,,0.01,0.5,10
2026-08-25 04:17:31,71,5.412,,0.01,0.5,10
2026-08-25 04:17:31,72,4.945,,0.01,0.5,10
2026-08-25 04:17:31,73,3.532,,0.01,0.5,10
2026-08-25 04:17:31,74,3.809,,0.01,0.5,10
2026-08-25 04:17:31,75,4.788,,0.01,0.5,10
2026-08-25 04:17:31,76,4.873,,0.01,0.5,10
2026-08-25 04:17:31,81,4.131,,0.01,0.5,10
2026-08-25 04:17:31,82,4.255,,0.01,0.5,10
2026-08-25 04:17:31,83,4.269,,0.01,0.5,10
2026-08-25 04:17:31,84,4.004,,0.01,0.5,10
2026-08-25 04:17:31,99,4.196,,0.01,0.5,10
2026-08-25 04:17:31,100,3.921,,0.01,0.5,10
2026-08-25 04:17:31,101,4.228,,0.01,0.5,10
2026-08-25 04:17:31,102,3.972,,0.01,0.5,10
2026-08-25 04:17:31,105,4.628,,0.01,0.5,10
2026-08-25 04:17:31,106,4.235,,0.01,0.5,10
2026-08-25 04:17:31,107,4.604,,0.01,0.5,10
2026-08-25 04:17:31,108,4.535,,0.01,0.5,10
2026-08-25 04:46:57,72,4.945,-0.03109500183525861,0.01,0.5,10
2026-08-25 04:46:57,73,3.532,-0.11619711212123349,0.01,0.5,10
2026-08-25 04:46:57,74,3.809,-0.11292395403330563,0.01,0.5,10
2026-08-25 04:46:57,75,4.788,-15.081075890100111,0.01,0.5,10
2026-08-25 06:01:32,7,3.61,-0.09709017422031814,0.01,0.5,10
2026-08-25 06:01:32,8,4.63,-0.0988292741260853,0.01,0.5,10
2026-08-25 06:01:32,13,3.273,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,14,5.095,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,19,4.119,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,20,4.285,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,21,4.157,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,22,3.957,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,26,4.084,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,27,3.886,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,28,3.894,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,29,4.058,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,33,3.928,-0.008978513428595153,0.01,0.5,10
2026-08-25 06:01:32,36,4.0,-0.009200002567537228,0.01,0.5,10
2026-08-25 06:01:32,38,4.057,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,48,4.23,-0.12813967017941608,0.01,0.5,10
2026-08-25 06:01:32,49,4.294,-0.11126547911260908,0.01,0.5,10
2026-08-25 06:01:32,66,4.294,-0.19252738320001317,0.01,0.5,10
2026-08-25 06:01:32,67,4.462,-0.18568582979713663,0.01,0.5,10
2026-08-25 06:01:32,69,3.646,-0.16321698714668237,0.01,0.5,10
2026-08-25 06:01:32,71,5.414,-0.15555510359957603,0.01,0.5,10
2026-08-25 06:01:32,82,4.255,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 06:01:32,83,4.269,-0.008387875724749696,0.01,0.5,10
2026-08-25 06:01:32,84,4.004,-0.008289436107442127,0.01,0.5,10
2026-08-25 11:18:18,7,3.608,-0.09736088316791397,0.01,0.5,10
2026-08-25 11:18:18,8,4.63,-0.09909177977223885,0.01,0.5,10
2026-08-25 11:18:18,13,3.273,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,14,5.095,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,19,4.119,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,20,4.285,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,21,4.157,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,22,3.957,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,26,4.084,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,27,3.886,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,28,3.894,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,29,4.058,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,33,3.928,-0.009003123332922044,0.01,0.5,10
2026-08-25 11:18:18,36,4.0,-0.009323052089171687,0.01,0.5,10
2026-08-25 11:18:18,38,4.057,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,48,4.23,-0.1285252253472041,0.01,0.5,10
2026-08-25 11:18:18,49,4.294,-0.11167564418472396,0.01,0.5,10
2026-08-25 11:18:18,66,4.294,-0.19296215817645496,0.01,0.5,10
2026-08-25 11:18:18,67,4.462,-0.1861534179793476,0.01,0.5,10
2026-08-25 11:18:18,69,3.646,-0.16366816872600876,0.01,0.5,10
2026-08-25 11:18:18,71,5.418,-0.15598987857601784,0.01,0.5,10
2026-08-25 11:18:18,82,4.255,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 11:18:18,83,4.269,-0.008453502136288106,0.01,0.5,10
2026-08-25 11:18:18,84,4.004,-0.00837967242330743,0.01,0.5,10
2026-08-25 18:38:43,72,4.944,-0.02454868565942155,0.01,0.5,10
2026-08-25 18:38:43,73,3.531,-0.11619711212123349,0.01,0.5,10
2026-08-25 18:38:43,74,3.804,-0.11619711212123349,0.01,0.5,10
2026-08-25 18:38:43,75,4.783,-16.459075445115236,0.01,0.5,10
2026-08-25 19:28:11,7,3.557,-0.09782847135012493,0.01,0.5,10
2026-08-25 19:28:11,8,4.63,-0.0996414009688728,0.01,0.5,10
2026-08-25 19:28:11,13,3.278,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,14,5.095,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,15,4.402,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,16,4.632,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,17,3.732,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,18,3.21,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,19,3.702,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,20,4.133,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,21,3.678,4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,22,5.086,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,26,4.084,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,27,3.886,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,28,3.894,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,29,4.058,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,33,3.928,-0.010184398740612955,0.01,0.5,10
2026-08-25 19:28:11,36,4.0,-0.010430497783881925,0.01,0.5,10
2026-08-25 19:28:11,38,4.057,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,66,4.294,-0.19352818597597352,0.01,0.5,10
2026-08-25 19:28:11,67,4.462,-0.18673585238175075,0.01,0.5,10
2026-08-25 19:28:11,69,3.646,-0.16412755360677744,0.01,0.5,10
2026-08-25 19:28:11,71,5.423,-0.1565148898683249,0.01,0.5,10
2026-08-25 19:28:11,82,4.255,-4.1016507211564516e-06,0.01,0.5,10
2026-08-25 19:28:11,83,4.269,-0.008970310127152886,0.01,0.5,10
2026-08-25 19:28:11,84,4.004,-0.008880073811287584,0.01,0.5,10
2026-08-25 19:28:22,7,3.557,,0.01,0.5,10
2026-08-25 19:28:22,8,4.63,,0.01,0.5,10
2026-08-25 19:28:22,9,3.503,,0.01,0.5,10
2026-08-25 19:28:22,10,3.166,,0.01,0.5,10
2026-08-25 19:28:22,11,3.422,,0.01,0.5,10
2026-08-25 19:28:22,12,1.725,,0.01,0.5,10
2026-08-25 19:28:22,13,3.278,,0.01,0.5,10
2026-08-25 19:28:22,14,5.095,,0.01,0.5,10
2026-08-25 19:28:22,15,4.402,,0.01,0.5,10
2026-08-25 19:28:22,16,4.632,,0.01,0.5,10
2026-08-25 19:28:22,17,3.732,,0.01,0.5,10
2026-08-25 19:28:22,18,3.21,,0.01,0.5,10
2026-08-25 19:28:22,19,3.702,,0.01,0.5,10
2026-08-25 19:28:22,20,4.133,,0.01,0.5,10
2026-08-25 19:28:22,21,3.678,,0.01,0.5,10
2026-08-25 19:28:22,22,5.086,,0.01,0.5,10
2026-08-25 19:28:22,26,4.084,,0.01,0.5,10
2026-08-25 19:28:22,27,3.886,,0.01,0.5,10
2026-08-25 19:28:22,28,3.894,,0.01,0.5,10
2026-08-25 19:28:22,29,4.058,,0.01,0.5,10
2026-08-25 19:28:22,33,3.928,,0.01,0.5,10
2026-08-25 19:28:22,36,4.0,,0.01,0.5,10
2026-08-25 19:28:22,38,4.057,,0.01,0.5,10
2026-08-25 19:28:22,40,3.992,,0.01,0.5,10
2026-08-25 19:28:22,41,4.164,,0.01,0.5,10
2026-08-25 19:28:22,42,3.995,,0.01,0.5,10
2026-08-25 19:28:22,43,4.318,,0.01,0.5,10
2026-08-25 19:28:22,44,3.977,,0.01,0.5,10
2026-08-25 19:28:22,45,3.005,,0.01,0.5,10
2026-08-25 19:28:22,46,4.329,,0.01,0.5,10
2026-08-25 19:28:22,48,4.23,,0.01,0.5,10
2026-08-25 19:28:22,49,4.294,,0.01,0.5,10
2026-08-25 19:28:22,65,4.694,,0.01,0.5,10
2026-08-25 19:28:22,66,4.294,,0.01,0.5,10
