unique_vector_id_zero_based,first_window_row,first_window_col,source_pixel_index_one_based,physical_input_port_one_based,occurrence_count,port1_intensity,port2_intensity,port3_intensity,port4_intensity,port5_intensity,port6_intensity,port7_intensity,port8_intensity,port9_intensity
0,0,0,1,2,2573,0,1,0,0,0,0,0,0,0
1,0,0,2,3,2573,0,0,1,0,0,0,0,0,0
2,0,0,3,4,2573,0,0,0,1,0,0,0,0,0
3,0,0,4,5,2573,0,0,0,0,1,0,0,0,0
4,9,37,4,5,7,0,0,0,0,0.96862745098039205,0,0,0,0
5,9,38,3,4,7,0,0,0,0.96862745098039205,0,0,0,0,0
6,9,38,4,5,4,0,0,0,0,0.9372549019607842,0,0,0,0
7,9,39,3,4,4,0,0,0,0.9372549019607842,0,0,0,0,0
8,9,40,4,5,4,0,0,0,0,0.96078431372549034,0,0,0,0
9,9,41,3,4,4,0,0,0,0.96078431372549034,0,0,0,0,0
10,9,84,4,5,8,0,0,0,0,0.93333333333333335,0,0,0,0
11,9,85,3,4,8,0,0,0,0.93333333333333335,0,0,0,0,0
12,9,86,4,5,3,0,0,0,0,0.95686274509803937,0,0,0,0
13,9,87,3,4,3,0,0,0,0.95686274509803937,0,0,0,0,0
14,10,11,4,5,6,0,0,0,0,0.79215686274509789,0,0,0,0
15,10,12,3,4,6,0,0,0,0.79215686274509789,0,0,0,0,0
16,10,12,4,5,4,0,0,0,0,0.68627450980392146,0,0,0,0
17,10,13,3,4,4,0,0,0,0.68627450980392146,0,0,0,0,0
18,10,13,4,5,18,0,0,0,0,0.70196078431372544,0,0,0,0
19,10,14,3,4,18,0,0,0,0.70196078431372544,0,0,0,0,0
20,10,15,4,5,6,0,0,0,0,0.69803921568627458,0,0,0,0
21,10,16,3,4,6,0,0,0,0.69803921568627458,0,0,0,0,0
22,10,16,4,5,3,0,0,0,0,0.70980392156862748,0,0,0,0
23,10,17,3,4,3,0,0,0,0.70980392156862748,0,0,0,0,0
24,10,17,4,5,3,0,0,0,0,0.94509803921568614,0,0,0,0
25,10,18,3,4,3,0,0,0,0.94509803921568614,0,0,0,0,0
26,10,24,4,5,2,0,0,0,0,0.81568627450980391,0,0,0,0
27,10,25,3,4,2,0,0,0,0.81568627450980391,0,0,0,0,0
28,10,25,4,5,3,0,0,0,0,0.6823529411764705,0,0,0,0
29,10,26,3,4,3,0,0,0,0.6823529411764705,0,0,0,0,0
30,10,28,4,5,4,0,0,0,0,0.69019607843137254,0,0,0,0
31,10,29,3,4,4,0,0,0,0.69019607843137254,0,0,0,0,0
32,10,29,4,5,2,0,0,0,0,0.74117647058823521,0,0,0,0
33,10,30,3,4,2,0,0,0,0.74117647058823521,0,0,0,0,0
34,10,30,4,5,7,0,0,0,0,0.98039215686274506,0,0,0,0
35,10,31,3,4,7,0,0,0,0.98039215686274506,0,0,0,0,0
36,10,35,4,5,6,0,0,0,0,0.75294117647058822,0,0,0,0
37,10,36,3,4,6,0,0,0,0.75294117647058822,0,0,0,0,0
38,10,36,4,5,1,0,0,0,0,0.52156862745098043,0,0,0,0
39,10,37,2,3,7,0,0,0.96862745098039205,0,0,0,0,0,0
40,10,37,3,4,1,0,0,0,0.52156862745098043,0,0,0,0,0
41,10,37,4,5,5,0,0,0,0,0.3843137254901961,0,0,0,0
42,10,38,1,2,7,0,0.96862745098039205,0,0,0,0,0,0,0
43,10,38,2,3,4,0,0,0.9372549019607842,0,0,0,0,0,0
44,10,38,3,4,5,0,0,0,0.3843137254901961,0,0,0,0,0
45,10,38,4,5,4,0,0,0,0,0.33725490196078439,0,0,0,0
46,10,39,1,2,4,0,0.9372549019607842,0,0,0,0,0,0,0
47,10,39,3,4,4,0,0,0,0.33725490196078439,0,0,0,0,0
48,10,39,4,5,9,0,0,0,0,0.32156862745098042,0,0,0,0
49,10,40,2,3,4,0,0,0.96078431372549034,0,0,0,0,0,0
50,10,40,3,4,9,0,0,0,0.32156862745098042,0,0,0,0,0
51,10,40,4,5,4,0,0,0,0,0.45098039215686275,0,0,0,0
52,10,41,1,2,4,0,0.96078431372549034,0,0,0,0,0,0,0
53,10,41,3,4,4,0,0,0,0.45098039215686275,0,0,0,0,0
54,10,41,4,5,4,0,0,0,0,0.81176470588235294,0,0,0,0
55,10,42,3,4,4,0,0,0,0.81176470588235294,0,0,0,0,0
56,10,42,4,5,5,0,0,0,0,0.74901960784313726,0,0,0,0
57,10,43,3,4,5,0,0,0,0.74901960784313726,0,0,0,0,0
58,10,68,4,5,3,0,0,0,0,0.8901960784313725,0,0,0,0
59,10,69,3,4,3,0,0,0,0.8901960784313725,0,0,0,0,0
60,10,73,4,5,4,0,0,0,0,0.70588235294117641,0,0,0,0
61,10,74,3,4,4,0,0,0,0.70588235294117641,0,0,0,0,0
62,10,80,4,5,3,0,0,0,0,0.8666666666666667,0,0,0,0
63,10,81,3,4,3,0,0,0,0.8666666666666667,0,0,0,0,0
64,10,81,4,5,6,0,0,0,0,0.61568627450980395,0,0,0,0
65,10,82,3,4,6,0,0,0,0.61568627450980395,0,0,0,0,0
66,10,82,4,5,5,0,0,0,0,0.40392156862745104,0,0,0,0
67,10,83,3,4,5,0,0,0,0.40392156862745104,0,0,0,0,0
68,10,83,4,5,7,0,0,0,0,0.28627450980392155,0,0,0,0
69,10,84,2,3,8,0,0,0.93333333333333335,0,0,0,0,0,0
70,10,84,3,4,7,0,0,0,0.28627450980392155,0,0,0,0,0
71,10,84,4,5,4,0,0,0,0,0.23921568627450984,0,0,0,0
72,10,85,1,2,8,0,0.93333333333333335,0,0,0,0,0,0,0
73,10,85,3,4,4,0,0,0,0.23921568627450984,0,0,0,0,0
74,10,86,2,3,3,0,0,0.95686274509803937,0,0,0,0,0,0
75,10,86,4,5,5,0,0,0,0,0.28235294117647058,0,0,0,0
76,10,87,1,2,3,0,0.95686274509803937,0,0,0,0,0,0,0
77,10,87,3,4,5,0,0,0,0.28235294117647058,0,0,0,0,0
78,10,87,4,5,6,0,0,0,0,0.39215686274509798,0,0,0,0
79,10,88,3,4,6,0,0,0,0.39215686274509798,0,0,0,0,0
80,10,88,4,5,3,0,0,0,0,0.60000000000000009,0,0,0,0
81,10,89,3,4,3,0,0,0,0.60000000000000009,0,0,0,0,0
82,10,89,4,5,6,0,0,0,0,0.8784313725490196,0,0,0,0
83,10,90,3,4,6,0,0,0,0.8784313725490196,0,0,0,0,0
84,11,10,4,5,7,0,0,0,0,0.95294117647058818,0,0,0,0
85,11,11,2,3,6,0,0,0.79215686274509789,0,0,0,0,0,0
86,11,11,3,4,7,0,0,0,0.95294117647058818,0,0,0,0,0
87,11,11,4,5,4,0,0,0,0,0.26666666666666661,0,0,0,0
88,11,12,1,2,6,0,0.79215686274509789,0,0,0,0,0,0,0
89,11,12,2,3,4,0,0,0.68627450980392146,0,0,0,0,0,0
90,11,12,3,4,4,0,0,0,0.26666666666666661,0,0,0,0,0
91,11,12,4,5,10,0,0,0,0,0.062745098039215699,0,0,0,0
92,11,13,1,2,4,0,0.68627450980392146,0,0,0,0,0,0,0
93,11,13,2,3,18,0,0,0.70196078431372544,0,0,0,0,0,0
94,11,13,3,4,10,0,0,0,0.062745098039215699,0,0,0,0,0
95,11,13,4,5,35,0,0,0,0,0.098039215686274495,0,0,0,0
96,11,14,1,2,18,0,0.70196078431372544,0,0,0,0,0,0,0
97,11,14,3,4,35,0,0,0,0.098039215686274495,0,0,0,0,0
98,11,15,2,3,6,0,0,0.69803921568627458,0,0,0,0,0,0
99,11,15,4,5,12,0,0,0,0,0.094117647058823542,0,0,0,0
100,11,16,1,2,6,0,0.69803921568627458,0,0,0,0,0,0,0
101,11,16,2,3,3,0,0,0.70980392156862748,0,0,0,0,0,0
102,11,16,3,4,12,0,0,0,0.094117647058823542,0,0,0,0,0
103,11,16,4,5,33,0,0,0,0,0.066666666666666652,0,0,0,0
104,11,17,1,2,3,0,0.70980392156862748,0,0,0,0,0,0,0
105,11,17,2,3,3,0,0,0.94509803921568614,0,0,0,0,0,0
106,11,17,3,4,33,0,0,0,0.066666666666666652,0,0,0,0,0
107,11,17,4,5,2,0,0,0,0,0.60784313725490191,0,0,0,0
108,11,18,1,2,3,0,0.94509803921568614,0,0,0,0,0,0,0
109,11,18,3,4,2,0,0,0,0.60784313725490191,0,0,0,0,0
110,11,23,4,5,3,0,0,0,0,0.98431372549019602,0,0,0,0
