sample_index,unique_vector_id_zero_based,first_window_row,first_window_col,source_pixel_index_one_based,physical_input_port_one_based,occurrence_count,source_intensity_sum,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7
0,0,0,0,1,2,2573,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,2,3,2573,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0,0,3,4,2573,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,3,0,0,4,5,2573,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,4,9,37,4,5,7,0.968627450980392,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,5,9,38,3,4,7,0.968627450980392,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,6,9,38,4,5,4,0.9372549019607842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,7,9,39,3,4,4,0.9372549019607842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,8,9,40,4,5,4,0.9607843137254904,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,9,9,41,3,4,4,0.9607843137254904,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,10,9,84,4,5,8,0.9333333333333332,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,11,9,85,3,4,8,0.9333333333333332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,12,9,86,4,5,3,0.9568627450980391,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,13,9,87,3,4,3,0.9568627450980391,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,14,10,11,4,5,6,0.7921568627450978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,15,10,12,3,4,6,0.7921568627450978,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,16,10,12,4,5,4,0.6862745098039214,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,17,10,13,3,4,4,0.6862745098039214,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,18,10,13,4,5,18,0.7019607843137254,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,19,10,14,3,4,18,0.7019607843137254,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,20,10,15,4,5,6,0.6980392156862745,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,21,10,16,3,4,6,0.6980392156862745,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,22,10,16,4,5,3,0.7098039215686274,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,23,10,17,3,4,3,0.7098039215686274,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,24,10,17,4,5,3,0.945098039215686,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
