local_measurement_index,sample_index,output_power_sum_w,output_power_sum_uw,switch_current_failure_count,upload_attempts,target_input_power_uw,output_power_limit_uw,output_power_limit_exceeded,repair_reason,feature_0,input_voltage_0,output_power_w_0,output_power_uw_0,feature_1,input_voltage_1,output_power_w_1,output_power_uw_1,feature_2,input_voltage_2,output_power_w_2,output_power_uw_2,feature_3,input_voltage_3,output_power_w_3,output_power_uw_3,feature_4,input_voltage_4,output_power_w_4,output_power_uw_4,feature_5,input_voltage_5,output_power_w_5,output_power_uw_5,feature_6,input_voltage_6,output_power_w_6,output_power_uw_6,feature_7,input_voltage_7,output_power_w_7,output_power_uw_7
0,79,4.60296701e-05,46.0296701,0,1,47.058823529411754,,False,explicit_power_anomaly_remeasure,0.0,4.318,2.661156e-07,0.26611559999999995,0.0,4.261,2.713519e-05,27.13519,0.0,4.164,1.961792e-06,1.9617920000000002,0.3921568627450979,3.966,1.001028e-05,10.01028,0.0,3.977,1.375857e-06,1.3758569999999999,0.0,4.329,3.918163e-06,3.918163,0.0,3.995,2.507005e-07,0.2507005,0.0,4.294,1.111572e-06,1.111572
1,104,8.080594730000001e-05,80.80594729999999,0,1,85.17647058823529,,False,explicit_power_anomaly_remeasure,0.0,4.318,9.570145e-07,0.9570145,0.7098039215686274,3.912,4.170722e-05,41.70722,0.0,4.164,2.61415e-06,2.6141500000000004,0.0,4.23,2.02279e-05,20.227899999999998,0.0,3.977,1.640823e-06,1.640823,0.0,4.329,1.214872e-05,12.14872,0.0,3.995,3.843538e-07,0.38435379999999997,0.0,4.294,1.125766e-06,1.125766
2,152,8.32315962e-05,83.23159620000001,0,1,97.41176470588235,,False,explicit_power_anomaly_remeasure,0.0,4.318,3.339841e-07,0.33398409999999995,0.0,4.261,4.756147e-07,0.4756147,0.8117647058823529,3.777,3.501365e-05,35.013650000000005,0.0,4.23,3.694494e-07,0.3694494,0.0,3.977,1.926904e-05,19.26904,0.0,4.329,1.672911e-06,1.672911,0.0,3.995,2.466421e-05,24.66421,0.0,4.294,1.432737e-06,1.432737
3,200,3.017002379e-05,30.170023790000002,0,1,33.88235294117646,,False,explicit_power_anomaly_remeasure,0.0,4.318,2.55735e-07,0.255735,0.0,4.261,2.715105e-07,0.2715105,0.2823529411764705,3.935,1.035564e-05,10.355640000000001,0.0,4.23,4.445129e-08,0.04445129,0.0,3.977,6.929062e-06,6.929062,0.0,4.329,1.838501e-06,1.8385010000000002,0.0,3.995,9.220561e-06,9.220561,0.0,4.294,1.254563e-06,1.254563
4,237,0.0001064358356,106.43583559999999,0,1,113.88235294117646,,False,explicit_power_anomaly_remeasure,0.0,4.318,2.984735e-07,0.2984735,0.0,4.261,6.132088e-05,61.320879999999995,0.0,4.164,2.19318e-06,2.19318,0.9490196078431372,3.806,2.503236e-05,25.03236,0.0,3.977,1.636665e-06,1.636665,0.0,4.329,1.442185e-05,14.42185,0.0,3.995,3.568061e-07,0.3568061,0.0,4.294,1.175621e-06,1.175621
5,300,3.674283152e-05,36.74283152,0,1,10.35294117647058,,False,explicit_power_anomaly_remeasure,0.0,4.318,2.678386e-07,0.2678386,0.0,4.261,3.003866e-07,0.3003866,0.0862745098039215,3.911,1.332936e-05,13.329360000000001,0.0,4.23,7.107732e-08,0.07107732,0.0,3.977,8.449447e-06,8.449447,0.0,4.329,1.822463e-06,1.822463,0.0,3.995,1.121607e-05,11.21607,0.0,4.294,1.286189e-06,1.286189
6,302,1.1580824099999998e-05,11.5808241,0,1,10.35294117647058,,False,explicit_power_anomaly_remeasure,0.0,4.318,3.358147e-07,0.33581469999999997,0.0862745098039215,4.146,4.597849e-06,4.597849,0.0,4.164,1.828663e-06,1.828663,0.0,4.23,1.667085e-06,1.667085,0.0,3.977,1.007655e-06,1.007655,0.0,4.329,8.043219e-07,0.8043219,0.0,3.995,2.883835e-07,0.28838349999999996,0.0,4.294,1.051052e-06,1.0510519999999999
7,375,4.650779087e-05,46.50779087,0,2,39.52941176470588,,False,explicit_power_anomaly_remeasure,0.0,4.318,2.323362e-07,0.23233620000000002,0.0,4.261,1.73278e-07,0.173278,0.0,4.164,1.575525e-05,15.755250000000002,0.0,4.23,3.421087e-08,0.03421087,0.3294117647058823,3.723,1.376316e-05,13.76316,0.0,4.329,3.911075e-06,3.911075,0.0,3.995,1.177785e-05,11.777849999999999,0.0,4.294,8.606308e-07,0.8606308
8,440,8.27663398e-05,82.7663398,0,1,94.58823529411764,,False,explicit_power_anomaly_remeasure,0.0,4.318,3.350911e-07,0.3350911,0.0,4.261,4.756461e-07,0.4756461,0.788235294117647,3.778,3.474476e-05,34.74476,0.0,4.23,3.642976e-07,0.3642976,0.0,3.977,1.917647e-05,19.17647,0.0,4.329,1.675396e-06,1.6753959999999999,0.0,3.995,2.456244e-05,24.56244,0.0,4.294,1.432239e-06,1.432239
9,445,3.6502497799999996e-05,36.5024978,0,1,38.117647058823515,,False,explicit_power_anomaly_remeasure,0.0,4.318,2.568758e-07,0.25687580000000004,0.0,4.261,2.150016e-05,21.500159999999997,0.0,4.164,1.893041e-06,1.893041,0.3176470588235293,3.998,7.664314e-06,7.664314,0.0,3.977,1.325949e-06,1.325949,0.0,4.329,2.510697e-06,2.510697,0.0,3.995,2.41487e-07,0.241487,0.0,4.294,1.109974e-06,1.109974
