local_measurement_index,sample_index,output_power_sum_w,output_power_sum_uw,switch_current_failure_count,upload_attempts,target_input_power_uw,output_power_limit_uw,output_power_limit_exceeded,repair_reason,feature_0,input_voltage_0,output_power_w_0,output_power_uw_0,feature_1,input_voltage_1,output_power_w_1,output_power_uw_1,feature_2,input_voltage_2,output_power_w_2,output_power_uw_2,feature_3,input_voltage_3,output_power_w_3,output_power_uw_3,feature_4,input_voltage_4,output_power_w_4,output_power_uw_4,feature_5,input_voltage_5,output_power_w_5,output_power_uw_5,feature_6,input_voltage_6,output_power_w_6,output_power_uw_6,feature_7,input_voltage_7,output_power_w_7,output_power_uw_7
0,0,0.0001174542701,117.4542701,0,1,120.0,,False,,0.0,4.318,1.230787e-06,1.230787,1.0,3.829,6.051399e-05,60.51399,0.0,4.164,2.764994e-06,2.764994,0.0,4.23,3.011487e-05,30.11487,0.0,3.977,1.942178e-06,1.942178,0.0,4.329,1.930359e-05,19.30359,0.0,3.995,4.323181e-07,0.4323181,0.0,4.294,1.151543e-06,1.151543
1,1,0.0001057994616,105.7994616,0,1,120.0,,False,,0.0,4.318,3.633908e-07,0.3633908,0.0,4.261,5.773834e-07,0.5773834,1.0,3.722,4.575855e-05,45.75855,0.0,4.23,5.444394e-07,0.5444394,0.0,3.977,2.448459e-05,24.48459,0.0,4.329,1.630994e-06,1.630994,0.0,3.995,3.095422e-05,30.95422,0.0,4.294,1.485894e-06,1.485894
2,2,0.0001130126398,113.0126398,0,1,120.0,,False,,0.0,4.318,2.984939e-07,0.2984939,0.0,4.261,6.495666e-05,64.95666,0.0,4.164,2.155028e-06,2.155028,1.0,3.79,2.669604e-05,26.69604,0.0,3.977,1.620323e-06,1.620323,0.0,4.329,1.572419e-05,15.72419,0.0,3.995,3.813729e-07,0.3813729,0.0,4.294,1.180532e-06,1.180532
3,3,0.0001338867264,133.8867264,0,1,120.0,,False,,0.0,4.318,3.080925e-07,0.3080925,0.0,4.261,2.175474e-07,0.2175474,0.0,4.164,5.58485e-05,55.8485,0.0,4.23,4.650903e-07,0.4650903,1.0,3.498,4.061038e-05,40.61038,0.0,4.329,5.463214e-06,5.463214,0.0,3.995,3.031652e-05,30.31652,0.0,4.294,6.573822e-07,0.6573821999999999
4,4,0.0001299429612,129.9429612,0,1,116.23529411764704,,False,,0.0,4.318,3.049605e-07,0.3049605,0.0,4.261,2.164497e-07,0.2164497,0.0,4.164,5.398495e-05,53.984950000000005,0.0,4.23,4.384337e-07,0.4384337,0.968627450980392,3.507,3.937085e-05,39.37085,0.0,4.329,5.410506e-06,5.410506,0.0,3.995,2.955395e-05,29.55395,0.0,4.294,6.628613e-07,0.6628613000000001
5,5,0.0001097428143,109.7428143,0,1,116.23529411764704,,False,,0.0,4.318,2.910987e-07,0.2910987,0.0,4.261,6.318808e-05,63.18808,0.0,4.164,2.145752e-06,2.145752,0.968627450980392,3.798,2.584898e-05,25.84898,0.0,3.977,1.609236e-06,1.609236,0.0,4.329,1.510739e-05,15.10739,0.0,3.995,3.734456e-07,0.3734456,0.0,4.294,1.178832e-06,1.178832
6,6,0.0001263429952,126.3429952,0,1,112.4705882352941,,False,,0.0,4.318,3.044099e-07,0.3044099,0.0,4.261,2.14063e-07,0.214063,0.0,4.164,5.228348e-05,52.28348,0.0,4.23,4.13988e-07,0.413988,0.9372549019607842,3.516,3.831298e-05,38.31298,0.0,4.329,5.356661e-06,5.356661,0.0,3.995,2.878172e-05,28.78172,0.0,4.294,6.756933e-07,0.6756932999999999
7,7,0.0001058010148,105.8010148,0,1,112.4705882352941,,False,,0.0,4.318,2.967312e-07,0.2967312,0.0,4.261,6.099794e-05,60.99794,0.0,4.164,2.135711e-06,2.135711,0.9372549019607842,3.807,2.489677e-05,24.89677,0.0,3.977,1.599031e-06,1.599031,0.0,4.329,1.432288e-05,14.32288,0.0,3.995,3.669036e-07,0.3669036,0.0,4.294,1.185048e-06,1.185048
8,8,0.0001292809376999,129.2809377,0,1,115.29411764705884,,False,,0.0,4.318,3.062155e-07,0.3062155,0.0,4.261,2.156136e-07,0.2156136,0.0,4.164,5.368473e-05,53.68473,0.0,4.23,4.370856e-07,0.4370855999999999,0.9607843137254904,3.509,3.918721e-05,39.18721,0.0,4.329,5.408363e-06,5.4083630000000005,0.0,3.995,2.93693e-05,29.3693,0.0,4.294,6.7242e-07,0.67242
9,9,0.0001087530573,108.7530573,0,1,115.29411764705884,,False,,0.0,4.318,2.97674e-07,0.297674,0.0,4.261,6.263104e-05,62.631040000000006,0.0,4.164,2.144671e-06,2.144671,0.9607843137254904,3.8,2.561274e-05,25.61274,0.0,3.977,1.6066e-06,1.6066,0.0,4.329,1.491007e-05,14.91007,0.0,3.995,3.699213e-07,0.3699213,0.0,4.294,1.180341e-06,1.180341
10,10,0.0001257464303,125.7464303,0,1,112.0,,False,,0.0,4.318,3.026016e-07,0.3026016,0.0,4.261,2.146697e-07,0.2146697,0.0,4.164,5.19719e-05,51.971900000000005,0.0,4.23,4.123743e-07,0.4123743,0.9333333333333332,3.517,3.813405e-05,38.13405,0.0,4.329,5.356733e-06,5.356733,0.0,3.995,2.868321e-05,28.683210000000003,0.0,4.294,6.708917e-07,0.6708917
11,11,0.0001055071401,105.5071401,0,1,112.0,,False,,0.0,4.318,2.889189e-07,0.2889189,0.0,4.261,6.08564e-05,60.8564,0.0,4.164,2.132809e-06,2.1328090000000004,0.9333333333333332,3.808,2.479876e-05,24.79876,0.0,3.977,1.597401e-06,1.597401,0.0,4.329,1.429567e-05,14.29567,0.0,3.995,3.622952e-07,0.3622952,0.0,4.294,1.174886e-06,1.174886
12,12,0.0001285275551,128.5275551,0,1,114.8235294117647,,False,,0.0,4.318,3.045491e-07,0.3045490999999999,0.0,4.261,2.157462e-07,0.2157462,0.0,4.164,5.33533e-05,53.3533,0.0,4.23,4.297336e-07,0.4297336,0.9568627450980391,3.51,3.890027e-05,38.90027,0.0,4.329,5.388101e-06,5.388101000000001,0.0,3.995,2.926983e-05,29.26983,0.0,4.294,6.660252e-07,0.6660252
13,13,0.0001084705757999,108.4705758,0,1,114.8235294117647,,False,,0.0,4.318,2.944183e-07,0.2944182999999999,0.0,4.261,6.251216e-05,62.51216,0.0,4.164,2.14533e-06,2.14533,0.9568627450980391,3.801,2.553021e-05,25.53021,0.0,3.977,1.606629e-06,1.606629,0.0,4.329,1.482675e-05,14.82675,0.0,3.995,3.707035e-07,0.3707035,0.0,4.294,1.184375e-06,1.184375
14,14,0.0001073456755,107.3456755,0,1,95.05882352941174,,False,,0.0,4.318,2.881077e-07,0.2881077,0.0,4.261,2.078202e-07,0.2078202,0.0,4.164,4.341269e-05,43.41269,0.0,4.23,3.009077e-07,0.3009077,0.7921568627450978,3.56,3.243578e-05,32.435779999999994,0.0,4.329,5.087556e-06,5.087556,0.0,3.995,2.49082e-05,24.9082,0.0,4.294,7.046139e-07,0.7046139
15,15,8.988627440000001e-05,89.88627439999999,0,1,95.05882352941174,,False,,0.0,4.318,2.858178e-07,0.2858178,0.0,4.261,5.221377e-05,52.21377,0.0,4.164,2.099255e-06,2.0992550000000003,0.7921568627450978,3.846,2.087494e-05,20.87494,0.0,3.977,1.550152e-06,1.550152,0.0,4.329,1.137248e-05,11.37248,0.0,3.995,3.287746e-07,0.3287746,0.0,4.294,1.161085e-06,1.161085
16,16,9.4299068e-05,94.299068,0,1,82.35294117647057,,False,,0.0,4.318,2.769885e-07,0.2769885,0.0,4.261,2.026021e-07,0.2026021,0.0,4.164,3.728698e-05,37.28698,0.0,4.23,2.280728e-07,0.2280728,0.6862745098039214,3.592,2.84949e-05,28.4949,0.0,4.329,4.899749e-06,4.899749,0.0,3.995,2.217642e-05,22.17642,0.0,4.294,7.333556e-07,0.7333556
17,17,7.81401182e-05,78.1401182,0,1,82.35294117647057,,False,,0.0,4.318,2.847648e-07,0.2847648,0.0,4.261,4.56191e-05,45.6191,0.0,4.164,2.063203e-06,2.063203,0.6862745098039214,3.875,1.798175e-05,17.98175,0.0,3.977,1.507536e-06,1.507536,0.0,4.329,9.22459e-06,9.22459,0.0,3.995,3.093674e-07,0.3093674,0.0,4.294,1.149807e-06,1.149807
18,18,9.65325832e-05,96.5325832,0,1,84.23529411764706,,False,,0.0,4.318,2.791326e-07,0.2791326,0.0,4.261,2.032563e-07,0.2032563,0.0,4.164,3.830945e-05,38.30945,0.0,4.23,2.390818e-07,0.2390818,0.7019607843137254,3.587,2.917766e-05,29.17766,0.0,4.329,4.929503e-06,4.929503,0.0,3.995,2.266675e-05,22.66675,0.0,4.294,7.277495e-07,0.7277495
19,19,7.97056404e-05,79.70564040000001,0,1,84.23529411764706,,False,,0.0,4.318,2.873268e-07,0.2873268,0.0,4.261,4.649257e-05,46.49257,0.0,4.164,2.069933e-06,2.069933,0.7019607843137254,3.871,1.838476e-05,18.38476,0.0,3.977,1.512977e-06,1.512977,0.0,4.329,9.487157e-06,9.487157,0.0,3.995,3.109626e-07,0.3109626,0.0,4.294,1.159954e-06,1.159954
20,20,9.56449899e-05,95.6449899,0,1,83.76470588235294,,False,,0.0,4.318,2.78824e-07,0.278824,0.0,4.261,2.02984e-07,0.202984,0.0,4.164,3.789943e-05,37.89943,0.0,4.23,2.326956e-07,0.2326956,0.6980392156862745,3.589,2.890046e-05,28.90046,0.0,4.329,4.909146e-06,4.909146,0.0,3.995,2.248775e-05,22.48775,0.0,4.294,7.337003e-07,0.7337003
21,21,7.978122979999999e-05,79.7812298,0,1,83.76470588235294,,False,,0.0,4.318,2.84133e-07,0.284133,0.0,4.261,4.655916e-05,46.55916,0.0,4.164,2.071936e-06,2.071936,0.6980392156862745,3.871,1.839457e-05,18.39457,0.0,3.977,1.513902e-06,1.513902,0.0,4.329,9.500036e-06,9.500036,0.0,3.995,3.097588e-07,0.3097588,0.0,4.294,1.147734e-06,1.1477339999999998
22,22,9.70981476e-05,97.0981476,0,1,85.17647058823529,,False,,0.0,4.318,2.78045e-07,0.278045,0.0,4.261,2.039352e-07,0.2039351999999999,0.0,4.164,3.857064e-05,38.57064,0.0,4.23,2.396539e-07,0.2396539,0.7098039215686274,3.585,2.92873e-05,29.2873,0.0,4.329,4.947256e-06,4.947255999999999,0.0,3.995,2.284574e-05,22.84574,0.0,4.294,7.255775e-07,0.7255775
23,23,8.092176470000001e-05,80.92176470000001,0,1,85.17647058823529,,False,,0.0,4.318,2.796788e-07,0.2796788,0.0,4.261,4.722052e-05,47.22052,0.0,4.164,2.073559e-06,2.073559,0.7098039215686274,3.868,1.865695e-05,18.65695,0.0,3.977,1.520785e-06,1.5207849999999998,0.0,4.329,9.705939e-06,9.705939,0.0,3.995,3.125269e-07,0.3125269,0.0,4.294,1.151806e-06,1.151806
