local_sample_row,sample_index,converged,iterations_executed,final_loss_mae,final_loss_mse,final_max_abs_ratio_error,final_output_power_sum,initial_loss_mae,final_learning_rate,target_ratio_0,target_ratio_1,target_ratio_2,target_ratio_3,target_ratio_4,target_ratio_5,target_ratio_6,target_ratio_7,final_ratio_0,final_ratio_1,final_ratio_2,final_ratio_3,final_ratio_4,final_ratio_5,final_ratio_6,final_ratio_7,ratio_error_0,ratio_error_1,ratio_error_2,ratio_error_3,ratio_error_4,ratio_error_5,ratio_error_6,ratio_error_7,initial_coefficient_0,initial_coefficient_1,initial_coefficient_2,initial_coefficient_3,initial_coefficient_4,initial_coefficient_5,initial_coefficient_6,initial_coefficient_7,optimized_coefficient_0,optimized_coefficient_1,optimized_coefficient_2,optimized_coefficient_3,optimized_coefficient_4,optimized_coefficient_5,optimized_coefficient_6,optimized_coefficient_7,initial_voltage_0,initial_voltage_1,initial_voltage_2,initial_voltage_3,initial_voltage_4,initial_voltage_5,initial_voltage_6,initial_voltage_7,final_voltage_0,final_voltage_1,final_voltage_2,final_voltage_3,final_voltage_4,final_voltage_5,final_voltage_6,final_voltage_7,final_output_power_0,final_output_power_1,final_output_power_2,final_output_power_3,final_output_power_4,final_output_power_5,final_output_power_6,final_output_power_7,target_output_power_0,target_output_power_1,target_output_power_2,target_output_power_3,target_output_power_4,target_output_power_5,target_output_power_6,target_output_power_7,output_power_error_0,output_power_error_1,output_power_error_2,output_power_error_3,output_power_error_4,output_power_error_5,output_power_error_6,output_power_error_7,final_output_power_mae_uw,final_output_power_max_abs_uw
0,0,True,0,0.0007755535541575931,6.014833153664746e-07,0.0007755535541575931,0.0002424909393,0.0007755535541575931,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.619930925376295e-05,1.0007755535541576,-2.9469303037871555e-05,7.273081484399221e-06,-3.5183327257929786e-07,5.286538430463399e-06,2.5744983207889524e-05,-1.559148108963294e-05,-1.619930925376295e-05,0.0007755535541575931,-2.9469303037871555e-05,7.273081484399221e-06,-3.5183327257929786e-07,5.286538430463399e-06,2.5744983207889524e-05,-1.559148108963294e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.318,3.582,4.164,4.23,3.977,4.329,3.995,4.294,4.318,3.582,4.164,4.23,3.977,4.329,3.995,4.294,1.225832e-05,0.0002250104,2.658123e-06,1.441452e-07,1.126848e-07,7.025483e-07,7.119214e-07,8.927966e-07,1.225208e-05,0.0002248362,2.663081e-06,1.426036e-07,1.126526e-07,7.01037e-07,7.075568e-07,8.942025e-07,6.2400000000011464e-09,1.7419999999998895e-07,-4.958000000000063e-09,1.5416000000000063e-09,3.219999999999416e-11,1.5113000000000223e-09,4.364600000000031e-09,-1.405900000000014e-09,0.02428169999999878,0.17419999999998895
1,1,True,0,0.0006198730008395437,3.842425371698209e-07,0.0006198730008395437,0.00026122723729999996,0.0006198730008395437,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0672495928189527e-06,2.0619811616327463e-05,0.9993801269991605,-0.00040669168522766697,3.467649579073028e-05,1.1758231379836032e-05,-1.1490302320416707e-05,4.207226106796476e-06,-2.0672495928189527e-06,2.0619811616327463e-05,-0.0006198730008395437,-0.00040669168522766697,3.467649579073028e-05,1.1758231379836032e-05,-1.1490302320416707e-05,4.207226106796476e-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.318,4.261,3.438,4.23,3.977,4.329,3.995,4.294,4.318,4.261,3.438,4.23,3.977,4.329,3.995,4.294,3.887803e-07,6.496149e-07,0.0002401737,1.70667e-05,7.826998e-07,5.407229e-07,9.187976e-07,7.062218e-07,3.892697e-07,6.458296e-07,0.0002403256,1.718562e-05,7.782155e-07,5.390777e-07,9.212936e-07,7.064421e-07,-4.894000000000203e-10,3.785300000000007e-09,-1.5190000000000104e-07,-1.1892000000000123e-07,4.484299999999926e-09,1.6452000000000762e-09,-2.4960000000000774e-09,-2.2029999999996128e-10,0.03549256250000029,0.15190000000000103
2,2,True,0,0.0014294078399426091,2.043206772889396e-06,0.0014294078399426091,0.0002809495432,0.0014294078399426091,0.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5112360496457216e-06,2.7377839280614603e-06,0.00018328828536655697,0.9985705921600574,2.0730696682159933e-05,-1.884771224866912e-06,-1.3460689915055501e-05,-1.4775521583240215e-05,2.5112360496457216e-06,2.7377839280614603e-06,0.00018328828536655697,-0.0014294078399426091,2.0730696682159933e-05,-1.884771224866912e-06,-1.3460689915055501e-05,-1.4775521583240215e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.451,3.977,4.329,3.995,4.294,4.318,4.261,4.164,3.451,3.977,4.329,3.995,4.294,2.400351e-07,1.127924e-06,7.511641e-06,0.0002660985,3.591462e-06,7.225941e-07,7.200672e-07,9.373198e-07,2.397688e-07,1.128787e-06,7.47828e-06,0.0002664762,3.592625e-06,7.238748e-07,7.229216e-07,9.405806e-07,2.662999999999605e-10,-8.629999999998933e-10,3.336099999999953e-08,-3.776999999999947e-07,-1.1630000000001276e-09,-1.2807000000000731e-09,-2.8543999999999756e-09,-3.260799999999928e-09,0.05259364999999928,0.3776999999999947
3,3,True,0,0.015650798556704926,0.00024494749546255697,0.015650798556704926,0.0004655414442,0.015650798556704926,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0009104336429607982,-0.0029738985069923526,-0.008428043606779418,0.9759946366734087,1.015650798556705,-0.003917359997516217,-0.004535813921192269,-0.005047937593747967,-0.0009104336429607982,-0.0029738985069923526,-0.008428043606779418,0.9759946366734087,0.015650798556704926,-0.003917359997516217,-0.004535813921192269,-0.005047937593747967,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.327,4.329,3.995,4.294,4.318,4.261,4.164,4.23,3.327,4.329,3.995,4.294,3.807531e-07,1.102088e-06,6.903569e-06,0.0002627942,0.0001914157,1.013649e-06,1.017944e-06,9.135411e-07,3.675786e-07,6.845643e-07,1.632768e-06,2.819898e-06,0.0001850262,1.042765e-06,9.959532e-07,7.016536e-07,1.317449999999997e-08,4.1752370000000013e-07,5.270801e-06,0.00025997430200000004,6.389500000000017e-06,-2.9116000000000087e-08,2.1990800000000044e-08,2.118875e-07,34.0410369375,259.974302
4,4,True,0,6.570202827349547e-05,4.3167565192511986e-09,6.570202827349547e-05,0.0001873540191,6.570202827349547e-05,0.35,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,3.1730113161375096e-05,0.00010047006295885001,0.0001734010638971795,8.021227173634488e-06,0.9686931530086655,5.286044333745448e-05,0.0001504834990518828,0.00014816668788672407,3.1730113161375096e-05,0.00010047006295885001,0.0001734010638971795,8.021227173634488e-06,6.570202827349547e-05,5.286044333745448e-05,0.0001504834990518828,0.00014816668788672407,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.342,4.329,3.995,4.294,4.318,4.261,4.164,4.23,3.342,4.329,3.995,4.294,3.638546e-07,6.864606e-07,1.624191e-06,2.736831e-06,0.0001792339,1.020432e-06,9.876509e-07,7.00699e-07,3.5604672235294114e-07,6.630877729411764e-07,1.5815439058823529e-06,2.7314306117647056e-06,0.0001792214564705882,1.0100508039215687e-06,9.647076094117645e-07,6.796409380392156e-07,7.807877647058835e-09,2.3372827058823647e-08,4.264709411764713e-08,5.400388235294437e-09,1.2443529411791752e-08,1.0381196078431348e-08,2.294329058823552e-08,2.1058061960784402e-08,0.018256783137258384,0.042647094117647125
5,5,True,0,0.0017820373278210067,3.175657037747434e-06,0.0017820373278210067,0.0002729597839,0.0017820373278210067,0.35,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,2.7400873014657868e-05,0.0001014722774889179,-0.0004441301962013894,0.970409488308213,7.125813083149607e-05,6.213884789321909e-05,0.00013036464448770626,0.0001427011083412731,2.7400873014657868e-05,0.0001014722774889179,-0.0004441301962013894,0.0017820373278210067,7.125813083149607e-05,6.213884789321909e-05,0.00013036464448770626,0.0001427011083412731,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.471,3.977,4.329,3.995,4.294,4.318,4.261,4.164,3.471,3.977,4.329,3.995,4.294,2.393769e-07,1.118524e-06,7.151153e-06,0.0002585837,3.499283e-06,7.142484e-07,7.209276e-07,9.32571e-07,2.3224664156862745e-07,1.0933740745098037e-06,7.243667294117647e-06,0.0002581161623529411,3.479915196078431e-06,7.011650023529411e-07,7.002417066666666e-07,9.110721890196077e-07,7.13025843137254e-09,2.5149925490196313e-08,-9.251429411764688e-08,4.6753764705890696e-07,1.9367803921568847e-08,1.3083397647058894e-08,2.0685893333333445e-08,2.14988109803923e-08,0.08337100387255952,0.467537647058907
6,6,True,0,0.0029563160938562705,8.739804846793598e-06,0.0029563160938562705,0.00018087646140000003,0.0029563160938562705,0.35,0.0,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,8.19669122707907e-05,0.0001711825485569275,0.0003780293296831973,-5.163258955867729e-05,0.9342985858669279,0.00032081876041910925,0.00032169035525833487,0.00033275007262198453,8.19669122707907e-05,0.0001711825485569275,0.0003780293296831973,-5.163258955867729e-05,-0.0029563160938562705,0.00032081876041910925,0.00032169035525833487,0.00033275007262198453,0.0,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.357,4.329,3.995,4.294,4.318,4.261,4.164,4.23,3.357,4.329,3.995,4.294,3.624178e-07,6.799372e-07,1.617887e-06,2.627686e-06,0.0001728703,1.03551e-06,9.799737e-07,7.027497e-07,3.445148447058823e-07,6.416112458823528e-07,1.5303198117647057e-06,2.6429632235294113e-06,0.00017341671294117644,9.773366078431373e-07,9.334620188235293e-07,6.576282760784313e-07,1.790295529411768e-08,3.83259541176472e-08,8.756718823529432e-08,-1.527722352941142e-08,-5.464129411764291e-07,5.8173392156862634e-08,4.651168117647076e-08,4.512142392156877e-08,0.10691159495097524,0.5464129411764291
7,7,True,0,0.0003030282700864362,9.182613247157811e-08,0.0003030282700864362,0.0002637131949,0.0003030282700864362,0.35,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,5.393312015046416e-05,0.0002036896748610814,-0.0009743150383117391,0.9375579302308706,0.0002678333505642845,0.0001284547358238291,0.00028988861411395356,0.0003347608948961035,5.393312015046416e-05,0.0002036896748610814,-0.0009743150383117391,0.0003030282700864362,0.0002678333505642845,0.0001284547358238291,0.00028988861411395356,0.0003347608948961035,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.491,3.977,4.329,3.995,4.294,4.318,4.261,4.164,3.491,3.977,4.329,3.995,4.294,2.38073e-07,1.104836e-06,6.779279e-06,0.0002498211,3.417362e-06,7.031792e-07,7.209884e-07,9.283773e-07,2.2472448313725489e-07,1.0579611490196076e-06,7.0090545882352934e-06,0.0002497561247058823,3.3672053921568627e-06,6.784552047058823e-07,6.775618133333332e-07,8.815637780392156e-07,1.3348516862745105e-08,4.6874850980392316e-08,-2.2977558823529376e-07,6.49752941176882e-08,5.0156607843137225e-08,2.472399529411775e-08,4.342658666666677e-08,4.681352196078444e-08,0.0650118702451032,0.22977558823529376
8,8,True,0,0.0020846117113587637,4.3456059871341134e-06,0.0020846117113587637,0.00018547061310000002,0.0020846117113587637,0.35,0.0,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,4.3766133033888634e-05,0.00012569631868031587,0.00022950233176305938,-2.2405933633201647e-05,0.9586997020141317,0.00014485644954365193,0.00019591271069243664,0.00020556712832672536,4.3766133033888634e-05,0.00012569631868031587,0.00022950233176305938,-2.2405933633201647e-05,-0.0020846117113587637,0.00014485644954365193,0.00019591271069243664,0.00020556712832672536,0.0,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.346,4.329,3.995,4.294,4.318,4.261,4.164,4.23,3.346,4.329,3.995,4.294,3.629778e-07,6.855871e-07,1.621482e-06,2.70158e-06,0.0001773849,1.027478e-06,9.848073e-07,7.018009e-07,3.5316375294117656e-07,6.577186411764708e-07,1.5687378823529416e-06,2.709313764705883e-06,0.00017777027058823533,1.0018722549019612e-06,9.56896211764706e-07,6.741377725490198e-07,9.814047058823443e-09,2.7868458823529175e-08,5.274411764705841e-08,-7.733764705882979e-09,-3.8537058823532797e-07,2.560574509803877e-08,2.7911088235294072e-08,2.766312745098018e-08,0.07058886715686687,0.385370588235328
9,9,True,0,0.00041245645360932226,1.70120326123979e-07,0.00041245645360932226,0.00027038929079999997,0.00041245645360932226,0.35,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,3.0044550954953656e-05,0.00012137372143743494,-0.0005192880312606535,0.9611967701790998,0.00015142025968864145,9.173859052187154e-05,0.000175854439959257,0.0001921862992869541,3.0044550954953656e-05,0.00012137372143743494,-0.0005192880312606535,0.00041245645360932226,0.00015142025968864145,9.173859052187154e-05,0.000175854439959257,0.0001921862992869541,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.476,3.977,4.329,3.995,4.294,4.318,4.261,4.164,3.476,3.977,4.329,3.995,4.294,2.379786e-07,1.112736e-06,7.064558e-06,0.0002561277,3.481008e-06,7.132763e-07,7.21171e-07,9.308629e-07,2.303661019607844e-07,1.0845208431372552e-06,7.185014117647061e-06,0.0002560261529411765,3.45173774509804e-06,6.954875529411766e-07,6.945717333333336e-07,9.0369508627451e-07,7.612498039215596e-09,2.8215156862744907e-08,-1.2045611764706107e-07,1.0154705882349816e-07,2.9270254901959823e-08,1.7788747058823378e-08,2.6599266666666464e-08,2.7167813725490025e-08,0.04483211421568242,0.12045611764706107
