local_sample_row,sample_index,input_channel,target_ratio,final_ratio,ratio_error,initial_coefficient,optimized_coefficient,initial_voltage,final_voltage,final_output_power,converged,final_loss_mae
0,0,1,0.0,-1.619930925376295e-05,-1.619930925376295e-05,0.0,0.0,4.318,4.318,1.225832e-05,True,0.0007755535541575931
0,0,2,1.0,1.0007755535541576,0.0007755535541575931,1.0,1.0,3.582,3.582,0.0002250104,True,0.0007755535541575931
0,0,3,0.0,-2.9469303037871555e-05,-2.9469303037871555e-05,0.0,0.0,4.164,4.164,2.658123e-06,True,0.0007755535541575931
0,0,4,0.0,7.273081484399221e-06,7.273081484399221e-06,0.0,0.0,4.23,4.23,1.441452e-07,True,0.0007755535541575931
0,0,5,0.0,-3.5183327257929786e-07,-3.5183327257929786e-07,0.0,0.0,3.977,3.977,1.126848e-07,True,0.0007755535541575931
0,0,6,0.0,5.286538430463399e-06,5.286538430463399e-06,0.0,0.0,4.329,4.329,7.025483e-07,True,0.0007755535541575931
0,0,7,0.0,2.5744983207889524e-05,2.5744983207889524e-05,0.0,0.0,3.995,3.995,7.119214e-07,True,0.0007755535541575931
0,0,8,0.0,-1.559148108963294e-05,-1.559148108963294e-05,0.0,0.0,4.294,4.294,8.927966e-07,True,0.0007755535541575931
1,1,1,0.0,-2.0672495928189527e-06,-2.0672495928189527e-06,0.0,0.0,4.318,4.318,3.887803e-07,True,0.0006198730008395437
1,1,2,0.0,2.0619811616327463e-05,2.0619811616327463e-05,0.0,0.0,4.261,4.261,6.496149e-07,True,0.0006198730008395437
1,1,3,1.0,0.9993801269991605,-0.0006198730008395437,1.0,1.0,3.438,3.438,0.0002401737,True,0.0006198730008395437
1,1,4,0.0,-0.00040669168522766697,-0.00040669168522766697,0.0,0.0,4.23,4.23,1.70667e-05,True,0.0006198730008395437
1,1,5,0.0,3.467649579073028e-05,3.467649579073028e-05,0.0,0.0,3.977,3.977,7.826998e-07,True,0.0006198730008395437
1,1,6,0.0,1.1758231379836032e-05,1.1758231379836032e-05,0.0,0.0,4.329,4.329,5.407229e-07,True,0.0006198730008395437
1,1,7,0.0,-1.1490302320416707e-05,-1.1490302320416707e-05,0.0,0.0,3.995,3.995,9.187976e-07,True,0.0006198730008395437
1,1,8,0.0,4.207226106796476e-06,4.207226106796476e-06,0.0,0.0,4.294,4.294,7.062218e-07,True,0.0006198730008395437
2,2,1,0.0,2.5112360496457216e-06,2.5112360496457216e-06,0.0,0.0,4.318,4.318,2.400351e-07,True,0.0014294078399426091
2,2,2,0.0,2.7377839280614603e-06,2.7377839280614603e-06,0.0,0.0,4.261,4.261,1.127924e-06,True,0.0014294078399426091
2,2,3,0.0,0.00018328828536655697,0.00018328828536655697,0.0,0.0,4.164,4.164,7.511641e-06,True,0.0014294078399426091
2,2,4,1.0,0.9985705921600574,-0.0014294078399426091,1.0,1.0,3.451,3.451,0.0002660985,True,0.0014294078399426091
2,2,5,0.0,2.0730696682159933e-05,2.0730696682159933e-05,0.0,0.0,3.977,3.977,3.591462e-06,True,0.0014294078399426091
2,2,6,0.0,-1.884771224866912e-06,-1.884771224866912e-06,0.0,0.0,4.329,4.329,7.225941e-07,True,0.0014294078399426091
2,2,7,0.0,-1.3460689915055501e-05,-1.3460689915055501e-05,0.0,0.0,3.995,3.995,7.200672e-07,True,0.0014294078399426091
2,2,8,0.0,-1.4775521583240215e-05,-1.4775521583240215e-05,0.0,0.0,4.294,4.294,9.373198e-07,True,0.0014294078399426091
3,3,1,0.0,-0.0009104336429607982,-0.0009104336429607982,0.0,0.0,4.318,4.318,3.807531e-07,True,0.015650798556704926
3,3,2,0.0,-0.0029738985069923526,-0.0029738985069923526,0.0,0.0,4.261,4.261,1.102088e-06,True,0.015650798556704926
3,3,3,0.0,-0.008428043606779418,-0.008428043606779418,0.0,0.0,4.164,4.164,6.903569e-06,True,0.015650798556704926
3,3,4,0.0,0.9759946366734087,0.9759946366734087,0.0,0.0,4.23,4.23,0.0002627942,True,0.015650798556704926
3,3,5,1.0,1.015650798556705,0.015650798556704926,1.0,1.0,3.327,3.327,0.0001914157,True,0.015650798556704926
3,3,6,0.0,-0.003917359997516217,-0.003917359997516217,0.0,0.0,4.329,4.329,1.013649e-06,True,0.015650798556704926
3,3,7,0.0,-0.004535813921192269,-0.004535813921192269,0.0,0.0,3.995,3.995,1.017944e-06,True,0.015650798556704926
3,3,8,0.0,-0.005047937593747967,-0.005047937593747967,0.0,0.0,4.294,4.294,9.135411e-07,True,0.015650798556704926
4,4,1,0.0,3.1730113161375096e-05,3.1730113161375096e-05,0.0,0.0,4.318,4.318,3.638546e-07,True,6.570202827349547e-05
4,4,2,0.0,0.00010047006295885001,0.00010047006295885001,0.0,0.0,4.261,4.261,6.864606e-07,True,6.570202827349547e-05
4,4,3,0.0,0.0001734010638971795,0.0001734010638971795,0.0,0.0,4.164,4.164,1.624191e-06,True,6.570202827349547e-05
4,4,4,0.0,8.021227173634488e-06,8.021227173634488e-06,0.0,0.0,4.23,4.23,2.736831e-06,True,6.570202827349547e-05
4,4,5,0.968627450980392,0.9686931530086655,6.570202827349547e-05,0.968627450980392,0.968627450980392,3.342,3.342,0.0001792339,True,6.570202827349547e-05
4,4,6,0.0,5.286044333745448e-05,5.286044333745448e-05,0.0,0.0,4.329,4.329,1.020432e-06,True,6.570202827349547e-05
4,4,7,0.0,0.0001504834990518828,0.0001504834990518828,0.0,0.0,3.995,3.995,9.876509e-07,True,6.570202827349547e-05
4,4,8,0.0,0.00014816668788672407,0.00014816668788672407,0.0,0.0,4.294,4.294,7.00699e-07,True,6.570202827349547e-05
5,5,1,0.0,2.7400873014657868e-05,2.7400873014657868e-05,0.0,0.0,4.318,4.318,2.393769e-07,True,0.0017820373278210067
5,5,2,0.0,0.0001014722774889179,0.0001014722774889179,0.0,0.0,4.261,4.261,1.118524e-06,True,0.0017820373278210067
5,5,3,0.0,-0.0004441301962013894,-0.0004441301962013894,0.0,0.0,4.164,4.164,7.151153e-06,True,0.0017820373278210067
5,5,4,0.968627450980392,0.970409488308213,0.0017820373278210067,0.968627450980392,0.968627450980392,3.471,3.471,0.0002585837,True,0.0017820373278210067
5,5,5,0.0,7.125813083149607e-05,7.125813083149607e-05,0.0,0.0,3.977,3.977,3.499283e-06,True,0.0017820373278210067
5,5,6,0.0,6.213884789321909e-05,6.213884789321909e-05,0.0,0.0,4.329,4.329,7.142484e-07,True,0.0017820373278210067
5,5,7,0.0,0.00013036464448770626,0.00013036464448770626,0.0,0.0,3.995,3.995,7.209276e-07,True,0.0017820373278210067
5,5,8,0.0,0.0001427011083412731,0.0001427011083412731,0.0,0.0,4.294,4.294,9.32571e-07,True,0.0017820373278210067
6,6,1,0.0,8.19669122707907e-05,8.19669122707907e-05,0.0,0.0,4.318,4.318,3.624178e-07,True,0.0029563160938562705
6,6,2,0.0,0.0001711825485569275,0.0001711825485569275,0.0,0.0,4.261,4.261,6.799372e-07,True,0.0029563160938562705
6,6,3,0.0,0.0003780293296831973,0.0003780293296831973,0.0,0.0,4.164,4.164,1.617887e-06,True,0.0029563160938562705
6,6,4,0.0,-5.163258955867729e-05,-5.163258955867729e-05,0.0,0.0,4.23,4.23,2.627686e-06,True,0.0029563160938562705
6,6,5,0.9372549019607842,0.9342985858669279,-0.0029563160938562705,0.9372549019607842,0.9372549019607842,3.357,3.357,0.0001728703,True,0.0029563160938562705
