mzi_id,arm_index,port,state,voltage
1,0,65,BAR_PASS_THROUGH,4.694
2,0,67,BAR_PASS_THROUGH,4.427
3,0,66,BAR_PASS_THROUGH,4.294
4,0,68,BAR_PASS_THROUGH,4.309
5,0,11,BAR_PASS_THROUGH,4.0
5,1,7,LOWER_ARM_ZERO,0.0
6,0,12,BAR_PASS_THROUGH,4.191
6,1,8,LOWER_ARM_ZERO,0.0
7,0,13,BAR_PASS_THROUGH,4.039
7,1,9,LOWER_ARM_ZERO,0.0
8,0,14,BAR_PASS_THROUGH,4.0
8,1,10,LOWER_ARM_ZERO,0.0
9,0,76,BAR_PASS_THROUGH,4.133
9,1,72,LOWER_ARM_ZERO,0.0
10,0,75,BAR_PASS_THROUGH,4.57
10,1,71,LOWER_ARM_ZERO,0.0
11,0,74,BAR_PASS_THROUGH,4.394
11,1,70,LOWER_ARM_ZERO,0.0
12,0,73,BAR_PASS_THROUGH,4.16
12,1,69,LOWER_ARM_ZERO,0.0
13,0,19,BAR_PASS_THROUGH,4.119
13,1,15,LOWER_ARM_ZERO,0.0
14,0,20,BAR_PASS_THROUGH,4.285
14,1,16,LOWER_ARM_ZERO,0.0
15,0,21,BAR_PASS_THROUGH,4.157
15,1,17,LOWER_ARM_ZERO,0.0
16,0,22,BAR_PASS_THROUGH,3.957
16,1,18,LOWER_ARM_ZERO,0.0
17,0,84,BAR_PASS_THROUGH,4.004
17,1,80,LOWER_ARM_ZERO,0.0
18,0,83,BAR_PASS_THROUGH,4.269
18,1,79,LOWER_ARM_ZERO,0.0
19,0,82,BAR_PASS_THROUGH,4.255
19,1,78,LOWER_ARM_ZERO,0.0
20,0,81,BAR_PASS_THROUGH,4.131
20,1,77,LOWER_ARM_ZERO,0.0
21,0,27,BAR_PASS_THROUGH,3.886
21,1,23,LOWER_ARM_ZERO,0.0
22,0,28,BAR_PASS_THROUGH,3.894
22,1,24,LOWER_ARM_ZERO,0.0
23,0,29,BAR_PASS_THROUGH,4.058
23,1,25,LOWER_ARM_ZERO,0.0
24,0,26,BAR_PASS_THROUGH,4.084
24,1,30,LOWER_ARM_ZERO,0.0
25,0,100,BAR_PASS_THROUGH,3.921
25,1,104,LOWER_ARM_ZERO,0.0
26,0,99,BAR_PASS_THROUGH,4.196
26,1,103,LOWER_ARM_ZERO,0.0
27,0,102,BAR_PASS_THROUGH,3.972
27,1,98,LOWER_ARM_ZERO,0.0
28,0,101,BAR_PASS_THROUGH,4.228
28,1,97,LOWER_ARM_ZERO,0.0
29,0,33,BAR_PASS_THROUGH,3.928
29,1,34,LOWER_ARM_ZERO,0.0
30,0,38,BAR_PASS_THROUGH,4.057
30,1,35,LOWER_ARM_ZERO,0.0
31,0,36,BAR_PASS_THROUGH,4.0
31,1,37,LOWER_ARM_ZERO,0.0
32,0,40,BAR_PASS_THROUGH,3.992
32,1,39,LOWER_ARM_ZERO,0.0
33,0,106,BAR_PASS_THROUGH,4.235
34,0,108,BAR_PASS_THROUGH,4.535
35,0,105,BAR_PASS_THROUGH,4.628
36,0,107,BAR_PASS_THROUGH,4.604
