local_sample_row,sample_index,converged,iterations_executed,final_loss_mae,final_loss_mse,final_max_abs_ratio_error,final_output_power_sum,initial_loss_mae,final_learning_rate,target_ratio_0,target_ratio_1,target_ratio_2,target_ratio_3,target_ratio_4,target_ratio_5,target_ratio_6,target_ratio_7,final_ratio_0,final_ratio_1,final_ratio_2,final_ratio_3,final_ratio_4,final_ratio_5,final_ratio_6,final_ratio_7,ratio_error_0,ratio_error_1,ratio_error_2,ratio_error_3,ratio_error_4,ratio_error_5,ratio_error_6,ratio_error_7,initial_coefficient_0,initial_coefficient_1,initial_coefficient_2,initial_coefficient_3,initial_coefficient_4,initial_coefficient_5,initial_coefficient_6,initial_coefficient_7,optimized_coefficient_0,optimized_coefficient_1,optimized_coefficient_2,optimized_coefficient_3,optimized_coefficient_4,optimized_coefficient_5,optimized_coefficient_6,optimized_coefficient_7,initial_voltage_0,initial_voltage_1,initial_voltage_2,initial_voltage_3,initial_voltage_4,initial_voltage_5,initial_voltage_6,initial_voltage_7,final_voltage_0,final_voltage_1,final_voltage_2,final_voltage_3,final_voltage_4,final_voltage_5,final_voltage_6,final_voltage_7,final_output_power_0,final_output_power_1,final_output_power_2,final_output_power_3,final_output_power_4,final_output_power_5,final_output_power_6,final_output_power_7,target_total_power_uw,measured_total_power_uw,total_power_error_uw,final_output_power_mae_uw,final_output_power_max_abs_uw
0,0,True,4,0.0155780991666667,0.0002426771736465,0.0155780991666667,0.0001218693719,1.0220424308333331,0.4254271875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0155780991666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155780991666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3838093768603802,0.0,0.0,0.0,0.0,0.0,0.0,4.318,3.582,4.164,4.23,3.977,4.329,3.995,4.294,4.318,3.829,4.164,4.23,3.977,4.329,3.995,4.294,6.391952e-06,0.0001108403,2.173148e-06,1.399349e-07,1.206734e-07,6.545799e-07,7.099369e-07,8.388468e-07,120.0,121.8693719,1.8693719000000044,1.8693719000000044,1.8693719000000044
1,1,True,3,0.0178652233333334,0.0003191662047498,0.0178652233333334,0.0001221438268,1.1890770575,0.40516875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0178652233333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178652233333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39193664326875,0.0,0.0,0.0,0.0,0.0,4.318,4.261,3.438,4.23,3.977,4.329,3.995,4.294,4.318,4.261,3.722,4.23,3.977,4.329,3.995,4.294,3.37622e-07,6.544554e-07,0.0001090361,9.550403e-06,4.550322e-07,5.58889e-07,8.296324e-07,7.216928e-07,120.0,122.1438268,2.1438268,2.1438268,2.1438268
2,2,True,3,0.0089264325,7.96811971770567e-05,0.0089264325,0.0001210711718999,1.3499812125000004,0.40516875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0089264325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089264325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409517599323125,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.451,3.977,4.329,3.995,4.294,4.318,4.261,4.164,3.79,3.977,4.329,3.995,4.294,2.35105e-07,9.417492e-07,1.96862e-06,0.0001139297,1.833416e-06,5.918802e-07,7.232084e-07,8.474931e-07,120.0,121.0711719,1.071171899999996,1.071171899999996,1.071171899999996
3,3,True,4,0.0129860799999999,0.0001686382737663,0.0129860799999999,0.0001215583296,0.6215150075000002,0.4254271875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01298608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129860799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6312371853818127,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.327,4.329,3.995,4.294,4.318,4.261,4.164,4.23,3.498,4.329,3.995,4.294,3.339944e-07,6.840998e-07,1.558329e-06,1.774675e-06,0.0001145805,1.00753e-06,9.095201e-07,7.096813e-07,120.0,121.5583296,1.558329599999993,1.558329599999993,1.558329599999993
4,4,True,4,0.0120894573529413,0.0001461549790885,0.0120894573529413,0.000117686029,0.6005636540196082,0.4254271875,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807169083333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120894573529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6124455756909811,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.342,4.329,3.995,4.294,4.318,4.261,4.164,4.23,3.507,4.329,3.995,4.294,3.28295e-07,6.863522e-07,1.551017e-06,1.725307e-06,0.0001107793,1.003282e-06,9.031543e-07,7.093215e-07,116.23529411764704,117.686029,1.450734882352961,1.450734882352961,1.450734882352961
5,5,True,3,0.0100516048529414,0.0001010347601196,0.0100516048529414,0.0001174414867,1.312853982352941,0.40516875,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9786790558333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100516048529414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3953697607964029,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.471,3.977,4.329,3.995,4.294,4.318,4.261,4.164,3.798,3.977,4.329,3.995,4.294,2.335573e-07,9.292486e-07,1.87307e-06,0.0001104794,1.779592e-06,5.853694e-07,7.211386e-07,8.401108e-07,116.23529411764704,117.4414867,1.2061925823529691,1.2061925823529691,1.2061925823529691
6,6,True,4,0.0127395030392157,0.0001622949376861,0.0127395030392157,0.0001139993286,0.5777657980392158,0.4254271875,0.0,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949994405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127395030392157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5926636769239317,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.357,4.329,3.995,4.294,4.318,4.261,4.164,4.23,3.516,4.329,3.995,4.294,3.276323e-07,6.793535e-07,1.544041e-06,1.668615e-06,0.0001071674,1.007492e-06,8.96135e-07,7.086598e-07,112.4705882352941,113.9993286,1.5287403647058966,1.5287403647058966,1.5287403647058966
7,7,True,3,0.0062160522058825,3.863930502625676e-05,0.0062160522058825,0.0001132165145,1.2635391255392163,0.40516875,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9434709541666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062160522058825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3817943302523893,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.491,3.977,4.329,3.995,4.294,4.318,4.261,4.164,3.807,3.977,4.329,3.995,4.294,2.328695e-07,9.201282e-07,1.768988e-06,0.0001064283,1.727297e-06,5.801585e-07,7.216113e-07,8.37162e-07,112.4705882352941,113.2165145,0.7459262647059006,0.7459262647059006,0.7459262647059006
8,8,True,4,0.0136831079411762,0.0001872274429298,0.0136831079411762,0.0001169360906,0.5945275271078428,0.4254271875,0.0,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9744674216666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136831079411762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6072798159393424,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.346,4.329,3.995,4.294,4.318,4.261,4.164,4.23,3.509,4.329,3.995,4.294,3.249454e-07,6.825591e-07,1.543321e-06,1.710082e-06,0.0001100625,1.006191e-06,8.998003e-07,7.066918e-07,115.29411764705884,116.9360906,1.6419729529411455,1.6419729529411455,1.6419729529411455
9,9,True,3,0.0063381987745094,4.017276370519339e-05,0.0063381987745094,0.0001160547015,1.2914229679411768,0.40516875,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671225125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063381987745094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3919818962346449,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.476,3.977,4.329,3.995,4.294,4.318,4.261,4.164,3.8,3.977,4.329,3.995,4.294,2.32275e-07,9.266835e-07,1.85189e-06,0.0001091346,1.769064e-06,5.832053e-07,7.167438e-07,8.402399e-07,115.29411764705884,116.0547015,0.7605838529411386,0.7605838529411386,0.7605838529411386
