mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,iteration
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,6,6,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,6,6,4
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,6,6,4
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,6,6,4
5,44,3.516,6.797282765056012,,6.117554488550411,7.477011041561614,6,6,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,6,6,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,6,6,4
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,6,6,4
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,30,30,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,30,30,4
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,30,30,4
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,30,30,4
5,44,3.592,6.944209241206256,,6.24978831708563,7.638630165326881,30,30,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,30,30,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,30,30,4
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,30,30,4
5,44,3.977,7.688507837493675,6.619962232822027,6.919657053744308,8.457358621243042,57,57,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,60,60,0
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,60,60,0
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,60,60,0
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,60,60,0
5,44,3.464,6.69675412347953,,6.027078711131577,7.366429535827483,60,60,0
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,60,60,0
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,60,60,0
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,60,60,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,62,62,0
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,62,62,0
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,62,62,0
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,62,62,0
5,44,3.39,6.553694133543767,,5.898324720189391,7.209063546898144,62,62,0
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,62,62,0
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,62,62,0
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,62,62,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,71,71,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,71,71,1
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,71,71,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,71,71,1
5,44,3.734,7.218729762434343,,6.496856786190909,7.940602738677777,71,71,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,71,71,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,71,71,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,71,71,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,72,72,1
2,45,3.747,7.356760850093462,,6.621084765084116,8.092436935102809,72,72,1
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,72,72,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,72,72,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,72,72,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,72,72,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,72,72,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,72,72,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,85,85,0
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,85,85,0
3,41,3.535,6.871044375122678,,6.18393993761041,7.558148812634946,85,85,0
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,85,85,0
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,85,85,0
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,85,85,0
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,85,85,0
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,85,85,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,87,87,2
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,87,87,2
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,87,87,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,87,87,2
5,44,3.741,7.232262464185024,,6.509036217766521,7.955488710603527,87,87,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,87,87,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,87,87,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,87,87,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,100,100,0
2,45,3.702,7.26840903844302,,6.541568134598719,7.995249942287322,100,100,0
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,100,100,0
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,100,100,0
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,100,100,0
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,100,100,0
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,100,100,0
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,100,100,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,116,116,2
2,45,3.891,7.639486647374877,,6.87553798263739,8.403435312112364,116,116,2
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,116,116,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,116,116,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,116,116,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,116,116,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,116,116,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,116,116,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,123,123,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,123,123,1
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,123,123,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,123,123,1
5,44,3.679,7.112401391536141,,6.401161252382527,7.823641530689755,123,123,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,123,123,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,123,123,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,123,123,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,138,138,2
2,45,3.946,7.747472194947639,,6.972724975452874,8.522219414442402,138,138,2
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,138,138,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,138,138,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,138,138,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,138,138,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,138,138,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,138,138,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,147,147,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,147,147,3
3,41,3.893,7.566895545219967,,6.810205990697971,8.323585099741964,147,147,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,147,147,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,147,147,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,147,147,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,147,147,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,147,147,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,160,160,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,160,160,1
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,160,160,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,160,160,1
5,44,3.667,7.08920247424926,,6.380282226824334,7.7981227216741855,160,160,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,160,160,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,160,160,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,160,160,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,217,217,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,217,217,3
3,41,3.957,7.6912935197625,,6.922164167786249,8.46042287173875,217,217,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,217,217,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,217,217,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,217,217,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,217,217,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,217,217,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,226,226,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,226,226,3
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,226,226,3
4,48,4.076,8.002639584119242,,7.202375625707318,8.802903542531165,226,226,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,226,226,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,226,226,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,226,226,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,226,226,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,236,236,0
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,236,236,0
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,236,236,0
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,236,236,0
5,44,3.352,6.480230895468645,,5.83220780592178,7.128253985015509,236,236,0
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,236,236,0
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,236,236,0
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,236,236,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,237,237,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,237,237,3
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,237,237,3
4,48,3.806,7.472533429135877,,6.7252800862222895,8.219786772049465,237,237,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,237,237,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,237,237,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,237,237,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,237,237,3
3,41,4.164,8.093643218673503,6.927639093086684,7.284278896806152,8.903007540540854,239,239,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,242,242,0
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,242,242,0
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,242,242,0
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,242,242,0
5,44,3.742,7.234195707292264,,6.510776136563037,7.95761527802149,242,242,0
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,242,242,0
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,242,242,0
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,242,242,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,252,252,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,252,252,1
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,252,252,1
4,48,4.164,8.175414923521227,,7.357873431169104,8.99295641587335,252,252,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,252,252,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,252,252,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,252,252,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,252,252,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,257,257,0
2,45,3.587,7.042621075336336,,6.338358967802702,7.746883182869969,257,257,0
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,257,257,0
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,257,257,0
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,257,257,0
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,257,257,0
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,257,257,0
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,257,257,0
4,48,4.23,8.304996428072716,7.258228059966802,7.474496785265444,9.135496070879988,283,283,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,298,298,2
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,298,298,2
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,298,298,2
4,48,3.94,7.73562315049799,,6.962060835448192,8.50918546554779,298,298,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,298,298,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,298,298,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,298,298,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,298,298,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,318,318,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,318,318,1
3,41,4.039,7.850678424645119,,7.065610582180607,8.635746267109631,318,318,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,318,318,1
