local_sample_row,sample_index,iteration,accepted,learning_rate,loss_mae,loss_mse,max_abs_ratio_error,output_power_sum,target_ratio_0,target_ratio_1,target_ratio_2,target_ratio_3,target_ratio_4,target_ratio_5,target_ratio_6,target_ratio_7,measured_ratio_0,measured_ratio_1,measured_ratio_2,measured_ratio_3,measured_ratio_4,measured_ratio_5,measured_ratio_6,measured_ratio_7,ratio_error_0,ratio_error_1,ratio_error_2,ratio_error_3,ratio_error_4,ratio_error_5,ratio_error_6,ratio_error_7,optimized_coefficient_0,optimized_coefficient_1,optimized_coefficient_2,optimized_coefficient_3,optimized_coefficient_4,optimized_coefficient_5,optimized_coefficient_6,optimized_coefficient_7,upload_voltage_0,upload_voltage_1,upload_voltage_2,upload_voltage_3,upload_voltage_4,upload_voltage_5,upload_voltage_6,upload_voltage_7,output_power_0,output_power_1,output_power_2,output_power_3,output_power_4,output_power_5,output_power_6,output_power_7,target_total_power_uw,measured_total_power_uw,total_power_error_uw
0,0,0,True,0.35,1.0220424308333331,1.044570730423709,1.0220424308333331,0.0002426450917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0220424308333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0220424308333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.318,3.582,4.164,4.23,3.977,4.329,3.995,4.294,1.22674e-05,0.0002251015,2.680329e-06,1.450343e-07,1.154337e-07,7.154536e-07,7.13357e-07,9.065841e-07,120.0,242.6450917,122.6450917
0,0,1,True,0.35,0.4513599541666664,0.2037258082253352,0.4513599541666664,0.0001741631944999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4513599541666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4513599541666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422851492083334,0.0,0.0,0.0,0.0,0.0,0.0,4.318,3.724,4.164,4.23,3.977,4.329,3.995,4.294,8.985376e-06,0.0001602519,2.408353e-06,1.412959e-07,1.198786e-07,6.792456e-07,7.10796e-07,8.663494e-07,120.0,174.16319449999995,54.163194499999975
0,0,2,True,0.3675,0.1822450400000002,0.0332132546046016,0.1822450400000002,0.0001418694048,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1822450400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1822450400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4764103660520834,0.0,0.0,0.0,0.0,0.0,0.0,4.318,3.789,4.164,4.23,3.977,4.329,3.995,4.294,7.394556e-06,0.0001297256,2.264357e-06,1.404723e-07,1.212867e-07,6.634426e-07,7.098189e-07,8.498713e-07,120.0,141.8694048,21.86940480000001
0,0,3,True,0.385875,0.0549824841666666,0.0030230735651377,0.0549824841666666,0.0001265978981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0549824841666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0549824841666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4060865612420833,0.0,0.0,0.0,0.0,0.0,0.0,4.318,3.819,4.164,4.23,3.977,4.329,3.995,4.294,6.620522e-06,0.0001153043,2.206712e-06,1.390274e-07,1.197355e-07,6.569405e-07,7.120761e-07,8.385846e-07,120.0,126.5978981,6.597898099999995
0,0,4,True,0.40516875,0.0155780991666667,0.0002426771736465,0.0155780991666667,0.0001218693719,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0155780991666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155780991666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3838093768603802,0.0,0.0,0.0,0.0,0.0,0.0,4.318,3.829,4.164,4.23,3.977,4.329,3.995,4.294,6.391952e-06,0.0001108403,2.173148e-06,1.399349e-07,1.206734e-07,6.545799e-07,7.099369e-07,8.388468e-07,120.0,121.8693719,1.8693719000000044
1,1,0,True,0.35,1.1890770575,1.4139042486728584,1.1890770575,0.0002626892469,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1890770575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1890770575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.318,4.261,3.438,4.23,3.977,4.329,3.995,4.294,3.914774e-07,6.60714e-07,0.0002413597,1.729945e-05,7.896232e-07,5.481974e-07,9.258126e-07,7.142723e-07,120.0,262.6892469,142.6892469
1,1,1,True,0.35,0.402971425,0.1623859693665306,0.402971425,0.000168356571,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402971425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402971425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583823029875,0.0,0.0,0.0,0.0,0.0,4.318,4.261,3.63,4.23,3.977,4.329,3.995,4.294,3.538248e-07,6.519594e-07,0.0001523766,1.227819e-05,5.646226e-07,5.547019e-07,8.569107e-07,7.197616e-07,120.0,168.356571,48.356571
1,1,2,True,0.3675,0.1134937166666667,0.0128808237228136,0.1134937166666667,0.000133619246,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1134937166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1134937166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4357310311875,0.0,0.0,0.0,0.0,0.0,4.318,4.261,3.699,4.23,3.977,4.329,3.995,4.294,3.418188e-07,6.562911e-07,0.0001198136,1.021243e-05,4.81604e-07,5.574921e-07,8.39739e-07,7.16271e-07,120.0,133.619246,13.619246000000004
1,1,3,True,0.385875,0.0178652233333334,0.0003191662047498,0.0178652233333334,0.0001221438268,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0178652233333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178652233333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39193664326875,0.0,0.0,0.0,0.0,0.0,4.318,4.261,3.722,4.23,3.977,4.329,3.995,4.294,3.37622e-07,6.544554e-07,0.0001090361,9.550403e-06,4.550322e-07,5.58889e-07,8.296324e-07,7.216928e-07,120.0,122.1438268,2.1438268
2,2,0,True,0.35,1.3499812125000004,1.8224492741029712,1.3499812125000004,0.0002819977455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3499812125000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3499812125000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.451,3.977,4.329,3.995,4.294,2.428665e-07,1.134625e-06,7.515407e-06,0.0002670792,3.608656e-06,7.408071e-07,7.269305e-07,9.492534e-07,120.0,281.9977455,161.9977455
2,2,1,True,0.35,0.2737150991666663,0.074919955511818,0.2737150991666663,0.0001528458118999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2737150991666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737150991666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5275065756249999,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.724,3.977,4.329,3.995,4.294,2.35238e-07,9.799494e-07,2.872833e-06,0.000144345,2.205984e-06,6.127162e-07,7.257552e-07,8.683361e-07,120.0,152.84581189999997,32.84581189999997
2,2,2,True,0.3675,0.0450888950000001,0.002033008452321,0.0450888950000001,0.0001254106674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.045088895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0450888950000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42691627668125,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.781,3.977,4.329,3.995,4.294,2.348677e-07,9.502588e-07,2.086693e-06,0.0001180821,1.885762e-06,5.94454e-07,7.236056e-07,8.529263e-07,120.0,125.41066740000002,5.410667400000023
2,2,3,True,0.385875,0.0089264325,7.96811971770567e-05,0.0089264325,0.0001210711718999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0089264325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089264325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409517599323125,0.0,0.0,0.0,0.0,4.318,4.261,4.164,3.79,3.977,4.329,3.995,4.294,2.35105e-07,9.417492e-07,1.96862e-06,0.0001139297,1.833416e-06,5.918802e-07,7.232084e-07,8.474931e-07,120.0,121.0711719,1.071171899999996
3,3,0,True,0.35,0.6215150075000002,0.3862809045477253,0.6215150075000002,0.0001945818009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6215150075000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6215150075000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.327,4.329,3.995,4.294,3.68702e-07,6.930973e-07,1.641815e-06,2.830529e-06,0.0001862819,1.054346e-06,1.004911e-06,7.065006e-07,120.0,194.5818009,74.58180090000002
3,3,1,True,0.35,0.2559792791666666,0.0655253913626862,0.2559792791666666,0.0001507175134999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2559792791666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559792791666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782469747375,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.429,4.329,3.995,4.294,3.458852e-07,6.917331e-07,1.592683e-06,2.19582e-06,0.000143199,1.037629e-06,9.460775e-07,7.086857e-07,120.0,150.7175135,30.717513499999995
3,3,2,True,0.3675,0.103535593333333,0.0107196190868853,0.103535593333333,0.0001324242711999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103535593333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103535593333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68839736228125,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.472,4.329,3.995,4.294,3.3669e-07,6.921557e-07,1.572307e-06,1.937166e-06,0.0001252307,1.022e-06,9.244376e-07,7.088149e-07,120.0,132.42427119999996,12.424271199999964
3,3,3,True,0.385875,0.0424721299999999,0.0018038818267368,0.0424721299999999,0.0001250966556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04247213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424721299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6484455652037502,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.49,4.329,3.995,4.294,3.316229e-07,6.902334e-07,1.560149e-06,1.826857e-06,0.0001180361,1.025354e-06,9.14751e-07,7.115883e-07,120.0,125.0966556,5.096655600000005
3,3,4,True,0.40516875,0.0129860799999999,0.0001686382737663,0.0129860799999999,0.0001215583296,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01298608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129860799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6312371853818127,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.498,4.329,3.995,4.294,3.339944e-07,6.840998e-07,1.558329e-06,1.774675e-06,0.0001145805,1.00753e-06,9.095201e-07,7.096813e-07,120.0,121.5583296,1.558329599999993
4,4,0,True,0.35,0.6005636540196082,0.3606767025293836,0.6005636540196082,0.0001883029326,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5691911050000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6005636540196082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,4.318,4.261,4.164,4.23,3.342,4.329,3.995,4.294,3.659649e-07,6.874303e-07,1.632879e-06,2.725935e-06,0.0001801394,1.050718e-06,9.937585e-07,7.068469e-07,116.23529411764704,188.3029326,72.06763848235298
