sample_index,measured_output_power_0,measured_output_power_1,measured_output_power_2,measured_output_power_3,measured_output_power_4,measured_output_power_5,measured_output_power_6,measured_output_power_7,measured_output_power_sum
0,6.391952e-06,0.0001108403,2.173148e-06,1.399349e-07,1.206734e-07,6.545799e-07,7.099369e-07,8.388468e-07,0.00012186937190000001
1,3.37622e-07,6.544554e-07,0.0001090361,9.550403e-06,4.550322e-07,5.58889e-07,8.296324e-07,7.216928e-07,0.0001221438268
2,2.35105e-07,9.417492e-07,1.96862e-06,0.0001139297,1.833416e-06,5.918802e-07,7.232084e-07,8.474931e-07,0.00012107117189999999
3,3.339944e-07,6.840998e-07,1.558329e-06,1.774675e-06,0.0001145805,1.00753e-06,9.095201e-07,7.096813e-07,0.0001215583296
4,3.28295e-07,6.863522e-07,1.551017e-06,1.725307e-06,0.0001107793,1.003282e-06,9.031543e-07,7.093215e-07,0.000117686029
5,2.335573e-07,9.292486e-07,1.87307e-06,0.0001104794,1.779592e-06,5.853694e-07,7.211386e-07,8.401108e-07,0.0001174414867
6,3.276323e-07,6.793535e-07,1.544041e-06,1.668615e-06,0.0001071674,1.007492e-06,8.96135e-07,7.086598e-07,0.0001139993286
7,2.328695e-07,9.201282e-07,1.768988e-06,0.0001064283,1.727297e-06,5.801585e-07,7.216113e-07,8.37162e-07,0.0001132165145
8,3.249454e-07,6.825591e-07,1.543321e-06,1.710082e-06,0.0001100625,1.006191e-06,8.998003e-07,7.066918e-07,0.0001169360906
9,2.32275e-07,9.266835e-07,1.85189e-06,0.0001091346,1.769064e-06,5.832053e-07,7.167438e-07,8.402399e-07,0.0001160547015
10,3.262768e-07,6.79417e-07,1.535673e-06,1.658344e-06,0.0001067276,9.921877e-07,8.933185e-07,7.070958e-07,0.0001135199128
11,2.300329e-07,9.227703e-07,1.758402e-06,0.000105544,1.719908e-06,5.796515e-07,7.190925e-07,8.30949e-07,0.00011230480620000002
12,3.27475e-07,6.738402e-07,1.538859e-06,1.691147e-06,0.0001096037,1.003739e-06,8.956493e-07,7.024041e-07,0.0001164368136
13,2.29502e-07,9.182332e-07,1.850458e-06,0.0001089835,1.752914e-06,5.779037e-07,7.184851e-07,8.331206e-07,0.0001158641166
14,3.139309e-07,6.754874e-07,1.512313e-06,1.414419e-06,8.969253e-05,9.682868e-07,8.678434e-07,7.030863e-07,9.614789680000001e-05
15,2.28448e-07,8.927789e-07,1.346928e-06,8.941138e-05,1.511419e-06,5.67585e-07,7.160277e-07,8.217139e-07,9.54962805e-05
16,3.071104e-07,6.731988e-07,1.492236e-06,1.242381e-06,7.765733e-05,9.499652e-07,8.524176e-07,7.064136e-07,8.388105259999999e-05
