local_sample_row,sample_index,input_channel,target_ratio,final_ratio,ratio_error,initial_coefficient,optimized_coefficient,initial_voltage,final_voltage,final_output_power,converged,final_loss_mae
0,0,1,0.0,0.0,0.0,0.0,0.0,4.318,4.318,6.391952e-06,True,0.0155780991666667
0,0,2,1.0,1.0155780991666667,0.0155780991666667,1.0,0.3838093768603802,3.582,3.829,0.0001108403,True,0.0155780991666667
0,0,3,0.0,0.0,0.0,0.0,0.0,4.164,4.164,2.173148e-06,True,0.0155780991666667
0,0,4,0.0,0.0,0.0,0.0,0.0,4.23,4.23,1.399349e-07,True,0.0155780991666667
0,0,5,0.0,0.0,0.0,0.0,0.0,3.977,3.977,1.206734e-07,True,0.0155780991666667
0,0,6,0.0,0.0,0.0,0.0,0.0,4.329,4.329,6.545799e-07,True,0.0155780991666667
0,0,7,0.0,0.0,0.0,0.0,0.0,3.995,3.995,7.099369e-07,True,0.0155780991666667
0,0,8,0.0,0.0,0.0,0.0,0.0,4.294,4.294,8.388468e-07,True,0.0155780991666667
1,1,1,0.0,0.0,0.0,0.0,0.0,4.318,4.318,3.37622e-07,True,0.0178652233333334
1,1,2,0.0,0.0,0.0,0.0,0.0,4.261,4.261,6.544554e-07,True,0.0178652233333334
1,1,3,1.0,1.0178652233333334,0.0178652233333334,1.0,0.39193664326875,3.438,3.722,0.0001090361,True,0.0178652233333334
1,1,4,0.0,0.0,0.0,0.0,0.0,4.23,4.23,9.550403e-06,True,0.0178652233333334
1,1,5,0.0,0.0,0.0,0.0,0.0,3.977,3.977,4.550322e-07,True,0.0178652233333334
1,1,6,0.0,0.0,0.0,0.0,0.0,4.329,4.329,5.58889e-07,True,0.0178652233333334
1,1,7,0.0,0.0,0.0,0.0,0.0,3.995,3.995,8.296324e-07,True,0.0178652233333334
1,1,8,0.0,0.0,0.0,0.0,0.0,4.294,4.294,7.216928e-07,True,0.0178652233333334
2,2,1,0.0,0.0,0.0,0.0,0.0,4.318,4.318,2.35105e-07,True,0.0089264325
2,2,2,0.0,0.0,0.0,0.0,0.0,4.261,4.261,9.417492e-07,True,0.0089264325
2,2,3,0.0,0.0,0.0,0.0,0.0,4.164,4.164,1.96862e-06,True,0.0089264325
2,2,4,1.0,1.0089264325,0.0089264325,1.0,0.409517599323125,3.451,3.79,0.0001139297,True,0.0089264325
2,2,5,0.0,0.0,0.0,0.0,0.0,3.977,3.977,1.833416e-06,True,0.0089264325
2,2,6,0.0,0.0,0.0,0.0,0.0,4.329,4.329,5.918802e-07,True,0.0089264325
2,2,7,0.0,0.0,0.0,0.0,0.0,3.995,3.995,7.232084e-07,True,0.0089264325
2,2,8,0.0,0.0,0.0,0.0,0.0,4.294,4.294,8.474931e-07,True,0.0089264325
3,3,1,0.0,0.0,0.0,0.0,0.0,4.318,4.318,3.339944e-07,True,0.0129860799999999
3,3,2,0.0,0.0,0.0,0.0,0.0,4.261,4.261,6.840998e-07,True,0.0129860799999999
3,3,3,0.0,0.0,0.0,0.0,0.0,4.164,4.164,1.558329e-06,True,0.0129860799999999
3,3,4,0.0,0.0,0.0,0.0,0.0,4.23,4.23,1.774675e-06,True,0.0129860799999999
3,3,5,1.0,1.01298608,0.0129860799999999,1.0,0.6312371853818127,3.327,3.498,0.0001145805,True,0.0129860799999999
3,3,6,0.0,0.0,0.0,0.0,0.0,4.329,4.329,1.00753e-06,True,0.0129860799999999
3,3,7,0.0,0.0,0.0,0.0,0.0,3.995,3.995,9.095201e-07,True,0.0129860799999999
3,3,8,0.0,0.0,0.0,0.0,0.0,4.294,4.294,7.096813e-07,True,0.0129860799999999
