local_measurement_index,sample_index,output_power_sum_w,output_power_sum_uw,switch_current_failure_count,upload_attempts,target_input_power_uw,output_power_limit_uw,output_power_limit_exceeded,repair_reason,feature_0,input_voltage_0,output_power_w_0,output_power_uw_0,feature_1,input_voltage_1,output_power_w_1,output_power_uw_1,feature_2,input_voltage_2,output_power_w_2,output_power_uw_2,feature_3,input_voltage_3,output_power_w_3,output_power_uw_3,feature_4,input_voltage_4,output_power_w_4,output_power_uw_4,feature_5,input_voltage_5,output_power_w_5,output_power_uw_5,feature_6,input_voltage_6,output_power_w_6,output_power_uw_6,feature_7,input_voltage_7,output_power_w_7,output_power_uw_7
0,0,0.0001107235754,110.7235754,0,1,120.0,,False,,0.0,4.318,2.872121e-06,2.872121,1.0,3.829,5.902362e-05,59.02362,0.0,4.164,6.262406e-07,0.6262406,0.0,4.23,1.714845e-05,17.14845,0.0,3.977,6.630011e-06,6.6300110000000005,0.0,4.329,6.472758e-07,0.6472758000000001,0.0,3.995,2.229819e-05,22.29819,0.0,4.294,1.477667e-06,1.477667
1,1,0.00011028754753,110.28754752999998,0,1,120.0,,False,,0.0,4.318,5.136993e-07,0.5136993,0.0,4.261,5.782334e-06,5.7823340000000005,1.0,3.722,5.121074e-05,51.21074,0.0,4.23,9.234564e-07,0.9234564,0.0,3.977,5.068235e-05,50.68235,0.0,4.329,4.706073e-08,0.04706073,0.0,3.995,1.326639e-07,0.1326639,0.0,4.294,9.952432e-07,0.9952432
2,2,0.0001129274291,112.9274291,0,1,120.0,,False,,0.0,4.318,4.706627e-07,0.4706627,0.0,4.261,1.518395e-06,1.518395,0.0,4.164,2.632995e-05,26.32995,1.0,3.79,5.203581e-06,5.203581,0.0,3.977,6.988839e-06,6.988839,0.0,4.329,7.021963e-05,70.21963000000001,0.0,3.995,1.201899e-06,1.201899,0.0,4.294,9.944724e-07,0.9944724
3,3,0.0001276256217,127.6256217,0,1,120.0,,False,,0.0,4.318,1.590082e-06,1.590082,0.0,4.261,3.674057e-05,36.740570000000005,0.0,4.164,1.221906e-06,1.2219060000000002,0.0,4.23,2.831127e-05,28.31127,1.0,3.498,4.445276e-06,4.445276,0.0,4.329,1.011988e-06,1.011988,0.0,3.995,5.337589e-05,53.37589,0.0,4.294,9.286397e-07,0.9286397
4,4,0.0001240068729,124.0068729,0,1,116.23529411764704,,False,,0.0,4.318,1.509449e-06,1.509449,0.0,4.261,3.555679e-05,35.55679,0.0,4.164,1.174127e-06,1.174127,0.0,4.23,2.738363e-05,27.38363,0.968627450980392,3.507,4.406966e-06,4.406966,0.0,4.329,9.664847e-07,0.9664847,0.0,3.995,5.208426e-05,52.08426,0.0,4.294,9.251662e-07,0.9251662
5,5,0.0001094382889,109.4382889,0,1,116.23529411764704,,False,,0.0,4.318,4.717209e-07,0.4717209,0.0,4.261,1.508546e-06,1.508546,0.0,4.164,2.55546e-05,25.5546,0.968627450980392,3.798,5.091938e-06,5.091938,0.0,3.977,6.688088e-06,6.6880880000000005,0.0,4.329,6.798899e-05,67.98899,0.0,3.995,1.141223e-06,1.141223,0.0,4.294,9.93183e-07,0.993183
6,6,0.0001203609785,120.3609785,0,1,112.4705882352941,,False,,0.0,4.318,1.432683e-06,1.432683,0.0,4.261,3.433589e-05,34.33589,0.0,4.164,1.147569e-06,1.147569,0.0,4.23,2.665522e-05,26.65522,0.9372549019607842,3.516,4.354758e-06,4.354758,0.0,4.329,9.288248e-07,0.9288248,0.0,3.995,5.058793e-05,50.58793,0.0,4.294,9.181037e-07,0.9181037
7,7,0.0001055413219,105.5413219,0,1,112.4705882352941,,False,,0.0,4.318,4.757859e-07,0.4757859,0.0,4.261,1.488482e-06,1.488482,0.0,4.164,2.455336e-05,24.55336,0.9372549019607842,3.807,4.963982e-06,4.963982000000001,0.0,3.977,6.339663e-06,6.339663,0.0,4.329,6.564579e-05,65.64579,0.0,3.995,1.081592e-06,1.081592,0.0,4.294,9.92667e-07,0.992667
8,8,0.0001232487857,123.2487857,0,1,115.29411764705884,,False,,0.0,4.318,1.496963e-06,1.496963,0.0,4.261,3.526832e-05,35.26832,0.0,4.164,1.179265e-06,1.179265,0.0,4.23,2.730889e-05,27.30889,0.9607843137254904,3.509,4.385271e-06,4.385271,0.0,4.329,9.59858e-07,0.959858,0.0,3.995,5.172925e-05,51.72925,0.0,4.294,9.209687e-07,0.9209687
9,9,0.0001084480436,108.4480436,0,1,115.29411764705884,,False,,0.0,4.318,4.699523e-07,0.4699523,0.0,4.261,1.503936e-06,1.5039360000000002,0.0,4.164,2.532173e-05,25.32173,0.9607843137254904,3.8,5.069526e-06,5.069526,0.0,3.977,6.586497e-06,6.586497,0.0,4.329,6.737276e-05,67.37276,0.0,3.995,1.128517e-06,1.128517,0.0,4.294,9.951253e-07,0.9951253
10,10,0.0001200093394,120.0093394,0,1,112.0,,False,,0.0,4.318,1.424026e-06,1.424026,0.0,4.261,3.416066e-05,34.16066,0.0,4.164,1.142607e-06,1.1426070000000002,0.0,4.23,2.6525e-05,26.525,0.9333333333333332,3.517,4.342104e-06,4.342104,0.0,4.329,9.234515e-07,0.9234515,0.0,3.995,5.056804e-05,50.56804,0.0,4.294,9.234509e-07,0.9234509
11,11,0.0001054992596,105.4992596,0,1,112.0,,False,,0.0,4.318,4.720754e-07,0.4720754,0.0,4.261,1.489541e-06,1.489541,0.0,4.164,2.45678e-05,24.5678,0.9333333333333332,3.808,4.980038e-06,4.980038,0.0,3.977,6.358636e-06,6.358636,0.0,4.329,6.55663e-05,65.5663,0.0,3.995,1.076323e-06,1.076323,0.0,4.294,9.885462e-07,0.9885462
12,12,0.0001228180655,122.81806550000002,0,1,114.8235294117647,,False,,0.0,4.318,1.484978e-06,1.484978,0.0,4.261,3.510363e-05,35.10363,0.0,4.164,1.173836e-06,1.173836,0.0,4.23,2.71933e-05,27.1933,0.9568627450980391,3.51,4.387794e-06,4.387794,0.0,4.329,9.552211e-07,0.9552211,0.0,3.995,5.159164e-05,51.59164,0.0,4.294,9.276664e-07,0.9276664
13,13,0.0001079902183,107.9902183,0,1,114.8235294117647,,False,,0.0,4.318,4.730374e-07,0.4730374,0.0,4.261,1.504418e-06,1.504418,0.0,4.164,2.512957e-05,25.12957,0.9568627450980391,3.801,5.04905e-06,5.04905,0.0,3.977,6.537367e-06,6.537367,0.0,4.329,6.717646e-05,67.17646,0.0,3.995,1.120512e-06,1.120512,0.0,4.294,9.998039e-07,0.9998039
14,14,0.0001021129405,102.1129405,0,1,95.05882352941174,,False,,0.0,4.318,1.076182e-06,1.0761820000000002,0.0,4.261,2.836776e-05,28.36776,0.0,4.164,9.621131e-07,0.9621131,0.0,4.23,2.2536e-05,22.536,0.7921568627450978,3.56,4.13269e-06,4.13269,0.0,4.329,7.366143e-07,0.7366142999999999,0.0,3.995,4.340422e-05,43.40422,0.0,4.294,8.973611e-07,0.8973611
15,15,8.98234254e-05,89.82342539999999,0,1,95.05882352941174,,False,,0.0,4.318,4.74945e-07,0.474945,0.0,4.261,1.412086e-06,1.412086,0.0,4.164,2.077217e-05,20.77217,0.7921568627450978,3.846,4.487411e-06,4.487411,0.0,3.977,5.122557e-06,5.122557,0.0,4.329,5.575166e-05,55.75166,0.0,3.995,8.288409e-07,0.8288409,0.0,4.294,9.737555e-07,0.9737555
16,16,8.969142769999999e-05,89.69142769999999,0,1,82.35294117647057,,False,,0.0,4.318,8.4684e-07,0.84684,0.0,4.261,2.429247e-05,24.29247,0.0,4.164,8.399721e-07,0.8399721,0.0,4.23,1.968371e-05,19.68371,0.6862745098039214,3.592,3.972746e-06,3.972746,0.0,4.329,6.089257e-07,0.6089256999999999,0.0,3.995,3.855896e-05,38.55896,0.0,4.294,8.878039e-07,0.8878039
17,17,7.8287101e-05,78.287101,0,1,82.35294117647057,,False,,0.0,4.318,4.75422e-07,0.475422,0.0,4.261,1.346693e-06,1.346693,0.0,4.164,1.805994e-05,18.05994,0.6862745098039214,3.875,4.11497e-06,4.11497,0.0,3.977,4.252367e-06,4.252367,0.0,4.329,4.841103e-05,48.41103,0.0,3.995,6.603766e-07,0.6603766,0.0,4.294,9.663024e-07,0.9663024
18,18,9.18301211e-05,91.8301211,0,1,84.23529411764706,,False,,0.0,4.318,8.826755e-07,0.8826755,0.0,4.261,2.499075e-05,24.99075,0.0,4.164,8.532403e-07,0.8532403000000001,0.0,4.23,2.014367e-05,20.14367,0.7019607843137254,3.587,3.999567e-06,3.999567,0.0,4.329,6.281944e-07,0.6281944,0.0,3.995,3.944132e-05,39.44132,0.0,4.294,8.907039e-07,0.8907039
19,19,7.980028509999999e-05,79.8002851,0,1,84.23529411764706,,False,,0.0,4.318,4.72089e-07,0.472089,0.0,4.261,1.356777e-06,1.356777,0.0,4.164,1.850105e-05,18.501050000000003,0.7019607843137254,3.871,4.169015e-06,4.169015,0.0,3.977,4.361591e-06,4.361591000000001,0.0,4.329,4.929054e-05,49.29054,0.0,3.995,6.824949e-07,0.6824948999999999,0.0,4.294,9.667282e-07,0.9667282
