theta1,theta2
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
1.227916481694490436e+01,1.227916481694490258e+01
5.995979509765316351e+00,5.995979509765316351e+00
1.786876988872620152e-16,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
-2.854386856175523235e+00,-5.995979509765316351e+00
-3.282739112561170458e-01,-2.238907147505135420e+00
2.356194490192346613e+00,7.853981633974493892e-01
0.000000000000000000e+00,3.141592653589793116e+00
8.668688447611090882e-16,4.440892098500626162e-16
-3.141592653589794004e+00,-3.141592653589794004e+00
8.010350400023503142e-17,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.611152944690423805e+00,4.695602911006306890e-01
4.672193907304139415e+00,3.441234489963363785e+00
1.530601253714346521e+00,2.996418363735715018e-01
0.000000000000000000e+00,3.141592653589793116e+00
3.011869271943283355e+00,-1.297233816465097611e-01
-2.485917871838854598e+00,-2.485917871838855042e+00
8.032317087517525398e-32,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
2.186276035465283485e+00,-9.553166181245096311e-01
5.327868689055076601e+00,2.186276035465283485e+00
2.617993877991493967e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141592653589793116e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
3.141592653589793116e+00,0.000000000000000000e+00
