port,R,w,phi,A,b,theta
7,508.459478626738,189.8359456458425,-1.4587305962676638,-79.17334025309158,84.41152251008131,
8,512.731828574078,191.21500294359848,-1.6512113026424105,-77.20432216237188,77.29266914845098,
9,509.72933986201065,191.38000406973072,-1.6422985106588015,-73.76594587506086,74.88290270808058,
10,511.867795628793,192.8018909143638,-1.6633388608260773,-58.445023358160086,58.427382116071385,
11,510.1579432296919,189.5502649837068,-1.095363111991518,-82.71827595336633,84.99169231018344,-2.6661594387864147
12,511.8677956287928,193.126602103948,-1.801674943350612,-74.38966130180562,73.82867661410039,2.9107140370340776
13,509.297268936096,192.35332286040347,-1.4064524733450183,-62.8605038654515,63.34973988222639,-2.9772488001399147
14,512.3022006846066,193.5772541203408,-1.1518705258217476,-71.31304832143856,71.45877422870909,-2.722666852616644
15,511.4363060431499,193.2217183214497,-1.559726349166621,-74.51080660840319,79.7604268752994,
16,506.77228840600617,190.10050569780933,-1.8121688881092963,-76.16415847935565,77.08168949666063,
17,508.4594786267405,192.5445535804841,-1.6308701309994311,-72.39095862584922,74.16443995376258,
18,507.186886040046,191.2649388972237,-1.5572235431214736,-57.60170210805277,57.235981346709735,
19,513.5891507646306,191.3071805848396,-1.297997871329867,-78.21948307871696,77.24516529320417,-2.8687941981247636
20,510.1757073554294,193.91790108258223,-2.1297449922970326,-74.54785065719226,75.98706780404682,2.582643988087657
21,508.90280960659584,192.50205080971807,-1.531959951485374,-72.0597553433129,72.48490422061778,-3.1027562782802702
22,503.86568999339295,191.1192558328407,-1.1072803022483888,-70.19717812265844,70.39297238163034,-2.6780766290432854
23,512.7318285740755,190.5232043743977,-1.2588351690612631,-81.27417711816896,83.12271975702332,
24,512.731828574078,194.4120103398184,-1.911047056383348,-72.7873110267342,73.04690365878889,
25,509.320152920334,192.4392500217617,-1.6133684526710586,-71.51598864350103,73.5855610992745,
26,507.2042942514034,192.11980729237243,-1.4101180979524202,-69.77670662135657,69.42549939645265,-2.9809144247473167
27,514.0148967765249,192.86465199539,-0.5557880047581255,-79.26304430526397,78.74607278440365,-2.126584331553022
28,514.4674316416358,178.24176509071236,-0.5452104286907672,-71.58576314192592,72.17039948718805,-2.116006755485664
29,508.4594786267381,193.6787031764553,-1.4634884964536463,-76.95005978239519,76.22042079158253,-3.0342848232485427
30,508.4770635947016,192.69078444876803,-1.6306756254848211,-56.92194951849769,56.423805498470365,
33,511.8677956287929,189.6896934623436,-0.9308416340139176,-81.39243794050829,79.47970713268276,-2.5016379608088144
34,511.4476792697833,189.31479151839693,-1.273792955028617,-81.34085936200651,83.0724873759379,
35,508.9028096065958,188.9237330820311,-1.8145642174501844,-74.77497015190073,74.80205203655987,
36,507.2126137521021,190.8161663270298,-1.082677772062706,-77.15920814279724,76.88481514746597,-2.6534740988576027
37,509.7405999159513,190.897292756068,-1.6841432538364969,-72.53693284903754,72.54997333809615,
38,508.4594786267404,188.8291417028965,-1.1175131461774686,-85.94062989680712,85.6671838415224,-2.688309472972365
39,512.3117122150659,191.26042491546968,-1.6994656970053807,-57.01630364091949,56.65051979450303,
40,508.4594786267404,189.61618929517888,-1.0666679725334032,-67.1135281236675,66.87694659946727,-2.6374642993282995
65,513.1662336298918,189.40755529326609,0.1354595202130045,90.27003636157733,93.53353069463353,1.7062558470079008
66,490.1435041373708,187.77267049947005,-2.225886164627622,-65.51765056419099,66.76679656185166,2.486502815757068
67,512.7167983186514,188.83543038124623,0.5013126399668526,79.19362853569838,82.05958386053815,2.072108966761749
68,512.3172309400356,188.3255672946836,-2.209553492251455,-70.74946227829518,71.11436308233763,2.5028354881332344
69,515.32212513021,191.1368863399493,-1.8534623171450373,-73.15838913888382,72.78043404919227,
70,513.1547457088143,192.0768965113716,1.3265429577328756,75.15782990208919,74.84641450567366,
71,514.8963791183182,190.00254499566603,-1.1981964690796107,-73.64384396124548,77.75934672105014,
72,514.8847749553738,194.41559175358825,-1.7368857218256533,-90.88869919528004,91.30119445352845,
73,516.1979080835058,192.17145416968663,-1.5683339588613396,-66.62720587344197,65.83646045739975,-3.139130285656236
74,509.31199654827503,191.2984919688575,0.6113655698864728,73.217614667258,74.39764544973957,2.18216189668137
75,502.2087418559689,193.28757981961348,-1.6936011350692155,-78.35367797259686,79.18846828240068,3.018787845315474
76,513.5891507646281,194.6188052901714,-1.6098827087826806,-90.01428739146237,90.62594012777646,3.1025062716020093
77,511.00131177636473,192.92947839481585,-1.837922997192924,-68.97427800152091,69.09404434288977,
78,515.32212513021,192.0762208765503,1.3325214245319967,74.37969107993295,73.74365640096573,
79,510.1579432296919,191.13786883234465,-1.034238270274605,-72.32830479571426,80.86054547317322,
80,514.0064940783686,194.2845698553691,-1.6785012816871094,-89.40135264413746,90.42374467447297,
81,509.729339862013,191.88331941858888,-1.5221265565012505,-74.69128330776253,75.1978837857155,-3.092922883296147
82,514.0416856297413,193.8208271722108,1.180343514635131,71.09896072113656,71.25990384019761,2.751139841430028
83,513.1662336298917,201.3056610177832,1.1190035693322076,77.32814429029787,79.67397040686849,2.689799896127104
84,509.7405999159513,189.56932215635368,-1.047539585893151,-87.12347595703405,92.00276745517992,-2.618335912688048
97,514.47903580458,191.69547127030395,-1.5240928088614558,-71.00510646420663,71.0629957234337,
98,506.77228840600594,190.69022384401748,-1.685279114018584,-73.25500232089085,73.21164495400214,
99,514.0064940783662,192.89056895669063,-1.7519100954828766,-79.38023765567496,76.81134327526973,2.9604788849018133
100,485.8408498559971,191.1319660213742,-1.1029584029280488,-85.82172113863083,92.22345426960928,-2.6737547297229454
101,511.4363060431501,190.91513204989087,1.2237230623856314,70.87971421471279,70.71062879605812,2.794519389180528
102,510.6043107231079,192.46875115350952,-0.9605970282618708,-85.90412594124076,84.31080139422409,-2.5313933550567675
103,511.4363060431499,192.8744290133797,-1.3960955041183905,-61.71926046252095,80.12203330605445,
104,511.0161896841404,192.6741468138113,-1.5129245868239811,-88.75173981021646,93.53993873086173,
105,516.1825668353156,186.801196663973,0.4176465910499893,79.51535065314515,80.73302222610941,1.9884429178448855
106,514.896379118318,191.5672285529264,-1.974974210633185,-86.02506451486346,91.43500281040912,2.7374147697515046
107,514.0265009394668,187.7906106687309,0.5244513336116624,74.34398834179595,74.93160481150525,2.0952476604065584
108,513.6072805739277,187.75939536359363,0.7032297979076844,94.17429828078728,94.2752295614975,2.274026124702581
