stage,perturb_label,scan_kind,observed_mzi,scan_file,valid,try_count,point_count,median_power_uW,min_power_uW,max_power_uW,curve_range_uW,unstable_point_count,near_zero_point_count,neighbor_jump_count,edge_jump_count,warning,failure_reason
baseline,baseline,delta,5,Scandata\J_remeasure\run_20260602_094108\baseline\delta\obs5_probe_try1.txt,True,1,9,73.21728999999999,65.87335999999999,79.74454,13.87118000000001,0,0,0,0,,
baseline,baseline,delta,6,Scandata\J_remeasure\run_20260602_094108\baseline\delta\obs6_probe_try1.txt,False,1,9,52.68441,3.694753,81.36084,77.66608699999999,0,0,1,1,,neighbor jump; edge jump
baseline,baseline,delta,6,Scandata\J_remeasure\run_20260602_094108\baseline\delta\obs6_probe_try2.txt,True,2,9,52.50228,51.96363,52.76702,0.8033900000000003,0,0,0,0,low delta curve range,
baseline,baseline,delta,7,Scandata\J_remeasure\run_20260602_094108\baseline\delta\obs7_probe_try1.txt,True,1,9,76.02201,73.20575,77.58154,4.375790000000009,0,0,0,0,,
baseline,baseline,delta,8,Scandata\J_remeasure\run_20260602_094108\baseline\delta\obs8_probe_try1.txt,True,1,9,80.62564,75.61871000000001,84.65526,9.036549999999991,0,0,0,0,,
baseline,baseline,sigma,5,Scandata\J_remeasure\run_20260602_094108\baseline\sigma\obs5_inter_scan_try1.txt,True,1,9,95.18005,19.50559,147.0576,127.55201000000001,0,0,0,0,,
baseline,baseline,sigma,6,Scandata\J_remeasure\run_20260602_094108\baseline\sigma\obs6_inter_scan_try1.txt,True,1,9,53.88512,0.22614510000000002,106.8628,106.6366549,0,2,0,0,,
baseline,baseline,sigma,7,Scandata\J_remeasure\run_20260602_094108\baseline\sigma\obs7_inter_scan_try1.txt,True,1,9,3.8296889999999997,0.4506667,10.31553,9.864863300000001,0,3,0,0,,
baseline,baseline,sigma,8,Scandata\J_remeasure\run_20260602_094108\baseline\sigma\obs8_inter_scan_try1.txt,True,1,9,2.026009,0.1318491,4.700347,4.5684979,0,3,0,0,,
perturb,5u,delta,5,Scandata\J_remeasure\run_20260602_094108\perturb_5u\delta\obs5_probe_try1.txt,True,1,9,65.37515,57.64234,72.67045,15.028110000000005,0,0,0,0,,
perturb,5u,delta,6,Scandata\J_remeasure\run_20260602_094108\perturb_5u\delta\obs6_probe_try1.txt,True,1,9,48.732549999999996,48.243230000000004,48.97553,0.7322999999999951,0,0,0,0,low delta curve range,
perturb,5u,delta,7,Scandata\J_remeasure\run_20260602_094108\perturb_5u\delta\obs7_probe_try1.txt,True,1,9,75.15646,72.47116,76.69029,4.219130000000007,0,0,0,0,,
perturb,5u,delta,8,Scandata\J_remeasure\run_20260602_094108\perturb_5u\delta\obs8_probe_try1.txt,True,1,9,80.42173000000001,75.37783999999999,84.37823,9.00039000000001,0,0,0,0,,
perturb,5u,sigma,5,Scandata\J_remeasure\run_20260602_094108\perturb_5u\sigma\obs5_inter_scan_try1.txt,True,1,9,94.73351,19.39124,146.448,127.05676000000001,0,0,0,0,,
perturb,5u,sigma,6,Scandata\J_remeasure\run_20260602_094108\perturb_5u\sigma\obs6_inter_scan_try1.txt,True,1,9,53.9495,0.04002015,108.7858,108.74577984999999,0,1,0,0,,
perturb,5u,sigma,7,Scandata\J_remeasure\run_20260602_094108\perturb_5u\sigma\obs7_inter_scan_try1.txt,True,1,9,3.8240649999999996,0.5160701,10.59464,10.0785699,0,3,0,0,,
perturb,5u,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_5u\sigma\obs8_inter_scan_try1.txt,True,1,9,2.014768,0.1602924,4.802474,4.6421816,0,3,0,0,,
perturb,5d,delta,5,Scandata\J_remeasure\run_20260602_094108\perturb_5d\delta\obs5_probe_try1.txt,True,1,9,79.89309,73.20669,85.57788000000001,12.371190000000013,0,0,0,0,,
perturb,5d,delta,6,Scandata\J_remeasure\run_20260602_094108\perturb_5d\delta\obs6_probe_try1.txt,True,1,9,50.80183,50.30848,51.08874,0.7802599999999984,0,0,0,0,low delta curve range,
perturb,5d,delta,7,Scandata\J_remeasure\run_20260602_094108\perturb_5d\delta\obs7_probe_try1.txt,True,1,9,74.66089,71.9518,76.24403,4.292229999999989,0,0,0,0,,
perturb,5d,delta,8,Scandata\J_remeasure\run_20260602_094108\perturb_5d\delta\obs8_probe_try1.txt,True,1,9,80.01273,74.96771,83.94690999999999,8.979199999999992,0,0,0,0,,
perturb,5d,sigma,5,Scandata\J_remeasure\run_20260602_094108\perturb_5d\sigma\obs5_inter_scan_try1.txt,True,1,9,97.25587999999999,22.9063,139.4034,116.4971,0,0,0,0,,
perturb,5d,sigma,6,Scandata\J_remeasure\run_20260602_094108\perturb_5d\sigma\obs6_inter_scan_try1.txt,True,1,9,47.700919999999996,0.36636779999999997,101.2397,100.8733322,0,2,0,0,,
perturb,5d,sigma,7,Scandata\J_remeasure\run_20260602_094108\perturb_5d\sigma\obs7_inter_scan_try1.txt,True,1,9,3.743538,0.42404949999999997,10.14649,9.7224405,0,3,0,0,,
perturb,5d,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_5d\sigma\obs8_inter_scan_try1.txt,True,1,9,2.0156549999999998,0.10815280000000001,4.624428,4.5162752,0,3,0,0,,
