stage,perturb_label,scan_kind,observed_mzi,scan_file,valid,try_count,point_count,median_power_uW,min_power_uW,max_power_uW,curve_range_uW,unstable_point_count,near_zero_point_count,neighbor_jump_count,edge_jump_count,route_lower_policy,route_lower_zero_applied,warning,failure_reason
baseline,baseline,delta,5,Scandata\J_remeasure\run_20260603_104130\baseline\delta\obs5_probe_try1.txt,True,1,9,73.65752,66.26771000000001,80.30431,14.036599999999993,0,0,0,0,,,,
baseline,baseline,delta,6,Scandata\J_remeasure\run_20260603_104130\baseline\delta\obs6_probe_try1.txt,True,1,9,52.93268,52.43191,53.23329,0.8013799999999947,0,0,0,0,,,low delta curve range,
baseline,baseline,delta,7,Scandata\J_remeasure\run_20260603_104130\baseline\delta\obs7_probe_try1.txt,True,1,9,76.46336,73.76972,77.9961,4.226379999999992,0,0,0,0,,,,
baseline,baseline,delta,8,Scandata\J_remeasure\run_20260603_104130\baseline\delta\obs8_probe_try1.txt,True,1,9,81.25866,76.17148,85.31227,9.140789999999996,0,0,0,0,,,,
baseline,baseline,sigma,5,Scandata\J_remeasure\run_20260603_104130\baseline\sigma\obs5_inter_scan_try1.txt,True,1,9,96.29215,19.79601,147.7561,127.96009000000001,0,0,0,0,zero,True,MZI1 has no lower route port for state H; MZI33 has no lower route port for state B,
baseline,baseline,sigma,6,Scandata\J_remeasure\run_20260603_104130\baseline\sigma\obs6_inter_scan_try1.txt,True,1,9,54.01709,0.22738629999999999,108.01950000000001,107.7921137,0,2,0,0,zero,True,MZI2 has no lower route port for state H; MZI33 has no lower route port for state B,
baseline,baseline,sigma,7,Scandata\J_remeasure\run_20260603_104130\baseline\sigma\obs7_inter_scan_try1.txt,True,1,9,3.8777960000000005,0.4679926,10.40317,9.935177399999999,0,3,0,0,zero,True,MZI3 has no lower route port for state H; MZI33 has no lower route port for state B,
baseline,baseline,sigma,8,Scandata\J_remeasure\run_20260603_104130\baseline\sigma\obs8_inter_scan_try1.txt,True,1,9,2.079023,0.13366509999999998,4.794467,4.6608019,0,3,0,0,zero,True,MZI4 has no lower route port for state H; MZI33 has no lower route port for state C,
perturb,5u,delta,5,Scandata\J_remeasure\run_20260603_104130\perturb_5u\delta\obs5_probe_try1.txt,True,1,9,66.42286,58.59024,73.51941,14.929169999999992,0,0,0,0,,,,
perturb,5u,delta,6,Scandata\J_remeasure\run_20260603_104130\perturb_5u\delta\obs6_probe_try1.txt,True,1,9,48.866260000000004,48.23536,49.15348,0.9181200000000018,0,0,0,0,,,low delta curve range,
perturb,5u,delta,7,Scandata\J_remeasure\run_20260603_104130\perturb_5u\delta\obs7_probe_try1.txt,True,1,9,75.53925,73.37744,77.29623000000001,3.9187900000000013,0,0,0,0,,,,
perturb,5u,delta,8,Scandata\J_remeasure\run_20260603_104130\perturb_5u\delta\obs8_probe_try1.txt,True,1,9,81.37248,76.35032,85.44033,9.090010000000007,0,0,0,0,,,,
perturb,5u,sigma,5,Scandata\J_remeasure\run_20260603_104130\perturb_5u\sigma\obs5_inter_scan_try1.txt,True,1,9,96.29366,19.74196,147.8006,128.05864,0,0,0,0,zero,True,MZI1 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,5u,sigma,6,Scandata\J_remeasure\run_20260603_104130\perturb_5u\sigma\obs6_inter_scan_try1.txt,True,1,9,54.74764,0.1435388,110.1987,110.0551612,0,2,0,0,zero,True,MZI2 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,5u,sigma,7,Scandata\J_remeasure\run_20260603_104130\perturb_5u\sigma\obs7_inter_scan_try1.txt,True,1,9,3.8883669999999997,0.5373952,10.75688,10.2194848,0,3,0,0,zero,True,MZI3 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,5u,sigma,8,Scandata\J_remeasure\run_20260603_104130\perturb_5u\sigma\obs8_inter_scan_try1.txt,True,1,9,2.091408,0.1678928,4.929984,4.7620912,0,3,0,0,zero,True,MZI4 has no lower route port for state H; MZI33 has no lower route port for state C,
perturb,5d,delta,5,Scandata\J_remeasure\run_20260603_104130\perturb_5d\delta\obs5_probe_try1.txt,True,1,9,81.31169,74.64372999999999,87.04552,12.401790000000005,0,0,0,0,,,,
perturb,5d,delta,6,Scandata\J_remeasure\run_20260603_104130\perturb_5d\delta\obs6_probe_try1.txt,False,1,9,51.19917,0.02590883,51.52113,51.49522117,0,1,1,1,,,,near-zero isolated point; neighbor jump; edge jump
perturb,5d,delta,6,Scandata\J_remeasure\run_20260603_104130\perturb_5d\delta\obs6_probe_try2.txt,True,2,9,51.18736,50.61909,51.616839999999996,0.9977499999999964,0,0,0,0,,,low delta curve range,
perturb,5d,delta,7,Scandata\J_remeasure\run_20260603_104130\perturb_5d\delta\obs7_probe_try1.txt,True,1,9,76.17577,74.10466,77.65986000000001,3.5552000000000135,0,0,0,0,,,,
perturb,5d,delta,8,Scandata\J_remeasure\run_20260603_104130\perturb_5d\delta\obs8_probe_try1.txt,True,1,9,81.3192,76.37666999999999,85.50312000000001,9.12645000000002,0,0,0,0,,,,
perturb,5d,sigma,5,Scandata\J_remeasure\run_20260603_104130\perturb_5d\sigma\obs5_inter_scan_try1.txt,True,1,9,99.24483000000001,23.44546,141.1956,117.75014000000002,0,0,0,0,zero,True,MZI1 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,5d,sigma,6,Scandata\J_remeasure\run_20260603_104130\perturb_5d\sigma\obs6_inter_scan_try1.txt,True,1,9,48.73079,0.5956364,103.03529999999999,102.43966359999999,0,2,0,0,zero,True,MZI2 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,5d,sigma,7,Scandata\J_remeasure\run_20260603_104130\perturb_5d\sigma\obs7_inter_scan_try1.txt,True,1,9,3.8142400000000003,0.4430558,10.27496,9.8319042,0,3,0,0,zero,True,MZI3 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,5d,sigma,8,Scandata\J_remeasure\run_20260603_104130\perturb_5d\sigma\obs8_inter_scan_try1.txt,True,1,9,2.093467,0.11436629999999999,4.74216,4.6277937,0,3,0,0,zero,True,MZI4 has no lower route port for state H; MZI33 has no lower route port for state C,
perturb,6u,delta,5,Scandata\J_remeasure\run_20260603_104130\perturb_6u\delta\obs5_probe_try1.txt,True,1,9,73.5627,66.26634,80.20130999999999,13.934969999999993,0,0,0,0,,,,
perturb,6u,delta,6,Scandata\J_remeasure\run_20260603_104130\perturb_6u\delta\obs6_probe_try1.txt,True,1,9,52.589020000000005,52.36207,52.67261,0.31053999999999604,0,0,0,0,,,low delta curve range,
perturb,6u,delta,7,Scandata\J_remeasure\run_20260603_104130\perturb_6u\delta\obs7_probe_try1.txt,True,1,9,73.55866999999999,70.86267000000001,75.21304,4.350369999999998,0,0,0,0,,,,
perturb,6u,delta,8,Scandata\J_remeasure\run_20260603_104130\perturb_6u\delta\obs8_probe_try1.txt,True,1,9,81.53650999999999,76.39267000000001,85.56851,9.175839999999994,0,0,0,0,,,,
perturb,6u,sigma,5,Scandata\J_remeasure\run_20260603_104130\perturb_6u\sigma\obs5_inter_scan_try1.txt,True,1,9,96.45327,19.73618,147.7785,128.04232000000002,0,0,0,0,zero,True,MZI1 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,6u,sigma,6,Scandata\J_remeasure\run_20260603_104130\perturb_6u\sigma\obs6_inter_scan_try1.txt,True,1,9,32.271460000000005,0.2017337,107.8104,107.6086663,0,2,0,0,zero,True,MZI2 has no lower route port for state H; MZI33 has no lower route port for state B,
