iter,max_abs_theta_error_rad,norm_theta_error,model_output_rmse,model_output_mae,model_output_max_abs,measured_output_rmse,measured_output_mae,measured_output_max_abs,alpha_used,lambda_reg,step_scale,num_clipped,theta_converged,output_converged,converged,warning
0,1.9956747831813928,3.147496382091404,0.20237743816532194,0.07450457288153664,0.7478779196850157,,,,0.3,0.0001,0.7940440426097964,0,False,False,False,
1,1.9095169379761794,2.730690491621172,0.10056170775696739,0.04410981216456229,0.2495902957823315,,,,0.3,0.0001,0.9761951328858456,0,False,False,False,
2,1.7277117884987288,2.399724660381382,0.07532454327279513,0.029450994882962236,0.24872003725428082,,,,0.3,0.0001,1.0,0,False,False,False,
3,1.5837291579602208,2.3329025700992996,0.08532757108526537,0.036768494594359866,0.24954709389271168,,,,0.3,0.0001,0.8742503956308001,0,False,False,False,
4,1.4982456309781131,2.195660559200138,0.1458801774499296,0.057856656251682154,0.50284945393803,,,,0.3,0.0001,1.0,0,False,False,False,
5,1.8244962316143223,2.2122469391770454,0.13875513483465457,0.05500008159699952,0.4545482520038685,,,,0.3,0.0001,0.95520220647726,0,False,False,False,
6,1.334307669816873,1.944784693538202,0.06935292585854867,0.0269576726234194,0.24738862770107461,,,,0.3,0.0001,1.0,0,False,False,False,
7,1.2077323994634952,1.7213269622946379,0.08194869645955989,0.03480639868777843,0.24789802461680965,,,,0.3,0.0001,1.0,0,False,False,False,
8,1.1739505162482917,1.745583072278414,0.09933662173159864,0.0429432447633573,0.2580364323622272,,,,0.3,0.0001,1.0,0,False,False,False,
9,1.1764179064425342,1.6461487438537783,0.12120039390420087,0.04264802267804806,0.411093048088941,,,,0.3,0.0001,1.0,0,False,False,False,
