iter,max_abs_theta_error_rad,norm_theta_error,model_output_rmse,model_output_mae,model_output_max_abs,measured_output_rmse,measured_output_mae,measured_output_max_abs,alpha_used,lambda_reg,line_search_metric,step_scale,num_clipped,num_voltage_clipped,allow_hardware_update,theta_source,scan_profile,delta_points,sigma_points,estimated_points,estimated_measure_time_s,actual_measure_time_s,theta_converged,output_converged,convergence_mode,converged,warning
0,3.141592653589793,3.6275987284684352,0.1653594569415369,0.06249999999999997,1.0,,,,0.3,0.0001,theta,0.6264624203165169,0,0,True,measured_auto,fast,20,20,40,260.0,271.60181819996797,False,False,theta_only,False,
1,2.007116855305682,2.792925457316455,0.07800137412699913,0.03221080491057994,0.24970165454419035,,,,0.3,0.0001,theta,0.9519507056900338,0,0,True,measured_auto,fast,20,20,40,260.0,272.87468320003245,False,False,theta_only,False,
2,1.847141186935147,2.7351759223291428,0.17276480587000548,0.0598358680396019,0.6421024979233186,,,,0.3,0.0001,theta,0.869623794566379,0,0,True,measured_auto,fast,20,20,40,260.0,275.4459503000253,False,False,theta_only,False,
3,1.701598875718533,2.244422744751476,0.05417921427137019,0.019219255946771832,0.200350986088005,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,274.2573254999588,False,False,theta_only,False,
4,1.6094991724786762,2.593458947751136,0.2015029426086232,0.07379638237569183,0.7463383977159648,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,266.8963489999878,False,False,theta_only,False,
5,1.5756654510427133,2.475496269121291,0.1960399664944244,0.07451432378722227,0.7091286764444574,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,279.8706144000171,False,False,theta_only,False,
6,1.2494317138142534,2.0478846638852217,0.14354133850365283,0.053996295396705744,0.5081400362040787,,,,0.3,0.0001,theta,0.8573780064057965,0,0,True,measured_auto,fast,20,20,40,260.0,272.5151068000123,False,False,theta_only,False,
7,1.3888373018300406,2.078025341448283,0.14115840009321898,0.05180401897327685,0.5014679864359711,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,270.1920327000553,False,False,theta_only,False,
8,1.2917870465758625,1.9018865001362883,0.07722618404310251,0.031078244766124467,0.22925636962168539,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,272.2727201000089,False,False,theta_only,False,
9,1.218078610139262,1.7017971988584415,0.08462529466386202,0.03598702275997044,0.24830866346236524,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,275.1909806000185,False,False,theta_only,False,
10,1.1197904980726072,1.9686122409255107,0.13864366206073525,0.05253392774580788,0.48622197055459093,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,285.38367469998775,False,False,theta_only,False,
11,1.1167223641540183,1.6038761824774561,0.06621784841602994,0.02387486846241823,0.23928268547310272,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,279.94940310000675,False,False,theta_only,False,
12,2.620253306269701,3.326144207708442,0.19394837328900338,0.06457153456295216,0.7499212610445426,,,,0.3,0.0001,theta,0.43390326648466593,0,0,True,measured_auto,fast,20,20,40,260.0,274.99015480000526,False,False,theta_only,False,
13,2.5030944678221765,3.4621918120189235,0.04661239130218586,0.0179133902276983,0.16779375652314865,,,,0.3,0.0001,theta,0.6590870054054154,0,0,True,measured_auto,fast,20,20,40,260.0,269.16844830004266,False,False,theta_only,False,
14,1.2492913216641073,1.7220875369055315,0.19016431181263113,0.0650457240972446,0.7268676021249614,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,267.59475580003345,False,False,theta_only,False,
15,1.1789779366524087,1.6956433529213055,0.13873768865770914,0.052015034436079965,0.5079890238383216,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,272.04180199996335,False,False,theta_only,False,
16,1.085676245330255,1.3775595174317,0.043425843130364836,0.015198391627344106,0.15648683213111858,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,272.67083890002687,False,False,theta_only,False,
17,1.0764526917884432,1.8520119668475339,0.1897887523503721,0.06705807420597808,0.7177536691147396,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,273.8233839000459,False,False,theta_only,False,
18,1.3196357515204618,2.0544155674356834,0.1352993989541406,0.055720694835544836,0.44294659332287134,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,269.9514060000074,False,False,theta_only,False,
19,1.1705087019795375,1.6610691046954744,0.17814124204405898,0.06080342043143454,0.6826279208001459,,,,0.3,0.0001,theta,1.0,0,0,True,measured_auto,fast,20,20,40,260.0,280.22061919997213,False,False,theta_only,False,
