iter,max_abs_theta_error_rad,norm_theta_error,model_output_rmse,model_output_mae,model_output_max_abs,measured_output_rmse,measured_output_mae,measured_output_max_abs,alpha_used,lambda_reg,line_search_metric,step_scale,num_clipped,num_voltage_clipped,theta_source,scan_quality_ok,allow_hardware_update,prediction_consistency_ok,prediction_inconsistent_mzi_ids,prediction_inconsistent_parts,outlier_mzi_ids,outlier_scan_types,sigma_reference_mode,current_theta_measurement_dir,stopped_by_measurement_quality,current_theta_warnings,scan_profile,delta_points,sigma_points,estimated_points,estimated_measure_time_s,actual_measure_time_s,theta_converged,output_converged,convergence_mode,converged,warning
0,2.755338104954296,3.0545788061966612,0.14488853442968205,0.04704207213632712,0.9846701370204852,,,,0.3,0.0001,theta,0.4089562797710152,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_000\current_theta_measurement,False,[],fast,20,20,40,260.0,531.6565788000007,False,False,theta_only,False,
1,3.1364330758848986,3.620952845152762,0.14474308750072773,0.04982442082739246,0.9479832157596069,,,,0.3,0.0001,theta,0.2083138353341253,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_001\current_theta_measurement,False,[],fast,20,20,40,260.0,532.8968272999991,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
2,2.372615904435694,2.7074739733155178,0.14633344756740504,0.04588108436569893,0.9937959093143071,,,,0.3,0.0001,theta,0.47240911653152134,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_002\current_theta_measurement,False,[],fast,20,20,40,260.0,522.6140422999997,False,False,theta_only,False,
3,2.369950112751604,2.6934587190521277,0.14363562213444392,0.04140709799949715,0.9887349877109343,,,,0.3,0.0001,theta,0.3347490492868219,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_003\current_theta_measurement,False,[],fast,20,20,40,260.0,534.4947573000027,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
4,1.926502906672928,2.2703617553757725,0.13785079104148693,0.04396471947186384,0.9255435225761616,,,,0.3,0.0001,theta,0.5139251437915229,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_004\current_theta_measurement,False,[],fast,20,20,40,260.0,532.4003570000023,False,False,theta_only,False,
5,1.908911996839545,2.2412813042455078,0.1357061901301677,0.05013786991868178,0.8055884544880487,,,,0.3,0.0001,theta,0.3596862155730015,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_005\current_theta_measurement,False,[],fast,20,20,40,260.0,525.4745557000024,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
6,1.9098654778531703,2.2745393917253316,0.14635670754340194,0.04941324366259744,0.9701592493861407,,,,0.3,0.0001,theta,0.46014323774057647,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_006\current_theta_measurement,False,"[""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,527.701357599999,False,False,theta_only,False,
7,1.7334669771739026,2.214123382067776,0.10454768149612098,0.04365415064361125,0.47726599910206613,,,,0.3,0.0001,theta,0.31543318007970533,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_007\current_theta_measurement,False,"[""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,538.0503102999974,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
8,1.0268262886639796,1.4136715845709031,0.10482993223105934,0.04466285997767899,0.43095865629839025,,,,0.3,0.0001,theta,0.559709186522702,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_008\current_theta_measurement,False,"[""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,527.1571519999998,False,False,theta_only,False,
9,1.3539092669282224,1.7501843726858421,0.09839756210233755,0.04149984300803737,0.41372339147099846,,,,0.3,0.0001,theta,0.36425491112711395,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_009\current_theta_measurement,False,"[""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,530.992492100002,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
10,0.763952525594719,1.4746791650379327,0.11345094760744509,0.050939973039357614,0.32506809029038763,,,,0.3,0.0001,theta,0.421166995772355,0,0,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_010\current_theta_measurement,False,"[""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,536.1899822999949,False,False,theta_only,False,
11,0.9987879809527076,1.7058698268582562,0.08535519289427881,0.0356803761641495,0.24642367765351847,,,,0.3,0.0001,theta,0.26355026622423766,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_011\current_theta_measurement,False,"[""MZI 6: Delta phase jump may be too large"", ""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,533.0010275999957,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
12,1.7256716195285016,2.3204913076992226,0.19806221949455366,0.06920324218098442,0.7478550329536601,,,,0.3,0.0001,theta,0.20165478359162867,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_012\current_theta_measurement,False,"[""MZI 6: Delta phase jump may be too large"", ""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,530.9508929999938,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
13,2.108091395626523,3.3275803679529945,0.1955092691527757,0.06698495856777886,0.7474807745955901,,,,0.3,0.0001,theta,0.49238223083266247,1,1,measured_auto,True,True,True,[],[],[6],"[""Delta""]",chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_013\current_theta_measurement,False,"[""MZI 5: Delta phase jump may be too large"", ""MZI 6: Delta outlier removed and refit"", ""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,535.4078850000005,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
14,1.7609416157905056,2.7727452522543934,0.16753442273034203,0.05987839193943749,0.6152351896191067,,,,0.3,0.0001,theta,0.21623251865787127,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_014\current_theta_measurement,False,"[""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,524.5046718000012,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
15,1.3571847740083927,2.1245370027125787,0.10037441791187472,0.04487721122446546,0.2926859082929536,,,,0.3,0.0001,theta,0.5991387194132777,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_015\current_theta_measurement,False,"[""MZI 5: Delta phase jump may be too large"", ""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,534.6792180000048,False,False,theta_only,False,
16,1.8027699171969727,3.0775373913991304,0.17118084463691866,0.06019172963950343,0.6156060347982507,,,,0.3,0.0001,theta,0.2504055202633083,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_016\current_theta_measurement,False,[],fast,20,20,40,260.0,529.4024152999991,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
17,2.602048575644715,3.321486806853904,0.14006024844216103,0.040272842286833935,0.9936090811845463,,,,0.3,0.0001,theta,0.45922353836319774,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_017\current_theta_measurement,False,"[""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,543.1386407999962,False,False,theta_only,False,
18,1.4198565547668074,1.9637046731594094,0.0699349699914727,0.020701795702602298,0.4059362374345835,,,,0.3,0.0001,theta,0.5858169157371022,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_018\current_theta_measurement,False,"[""MZI 6: Delta phase jump may be too large"", ""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,533.7703884000002,False,False,theta_only,False,
19,1.8496240479747619,2.6495799534562687,0.13436216268907383,0.05729368137057827,0.47560889410530216,,,,0.3,0.0001,theta,0.667900236237932,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_019\current_theta_measurement,False,"[""MZI 6: Delta phase jump may be too large"", ""MZI 8: Delta phase jump may be too large""]",fast,20,20,40,260.0,531.4474470000059,False,False,theta_only,False,
20,1.0560387215077647,2.229549846297919,0.19334609687159224,0.06969604155642387,0.7244660153360603,,,,0.3,0.0001,theta,0.7095800622276631,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_020\current_theta_measurement,False,"[""MZI 6: Delta phase jump may be too large""]",fast,20,20,40,260.0,530.2674593000047,False,False,theta_only,False,
21,2.395126646280382,3.6353021850241958,0.2037139810631988,0.07240475541257027,0.74125742937233,,,,0.3,0.0001,theta,0.472171839454117,1,1,measured_auto,True,True,True,[],[],[],[],chained_bmzi,results\ColumnPhaseOptimize\run_20260609_162958\iter_021\current_theta_measurement,False,"[""MZI 6: Delta phase jump may be too large""]",fast,20,20,40,260.0,528.9584220999968,False,False,theta_only,False,
