iter,max_abs_theta_error_rad,norm_theta_error,model_output_rmse,model_output_mae,model_output_max_abs,alpha_used,lambda_reg,step_scale,num_clipped,theta_converged,output_converged,convergence_mode,converged,warning
0,2.0943951023931957,3.627598728468436,0.32475952641916456,0.14062500000000003,0.7500000000000003,0.1,0.001,0.36117296409749416,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
1,2.018751226623385,3.4965796887890974,0.3241403973983975,0.1403569092698978,0.7485701828089621,0.1,0.001,0.3747063422638982,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
2,1.9431073507589554,3.365560649079443,0.32228655130551476,0.13955417036432632,0.744288908751318,0.1,0.001,0.38929341127568934,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
3,1.867463474796225,3.2345416093382933,0.3192085907910985,0.13822137436566134,0.7371806635943479,0.1,0.001,0.4050622142193148,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
4,1.7918195987312122,3.1035225695643724,0.3149241195454651,0.13636614389541013,0.7272861013131353,0.1,0.001,0.42216241616974326,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
5,1.7161757225595975,2.9725035297562963,0.3094576416183668,0.13399908951836312,0.7146618115794627,0.1,0.001,0.4407700693524989,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
6,1.6405318462766834,2.84148448991256,0.30284042127368077,0.13113374905789443,0.699379996110166,0.1,0.001,0.46109369661722005,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
7,1.5648879698773375,2.7104654500315193,0.29511030418061285,0.1277865101694819,0.6815280557260068,0.1,0.001,0.48338213929645274,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
8,1.4892440933559314,2.5794464101113705,0.2863115009640764,0.1239765166152715,0.6612080904827887,0.1,0.001,0.5079347967844521,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
9,1.4136002167062645,2.448427370150127,0.276494334352175,0.119725558775726,0.6385363157335858,0.1,0.001,0.5351151537277997,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
10,1.337956339921475,2.3174083301455903,0.26571495136692663,0.11505794902455257,0.6136423974618082,0.1,0.001,0.5653688959270882,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
11,1.2623124629939226,2.186389290095312,0.25403500220428554,0.11000038267967358,0.5866687106864901,0.1,0.001,0.5992485397942814,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
12,1.1866685859150519,2.055370249996552,0.2415212876400359,0.1045817853254998,0.557769525181196,0.1,0.001,0.6374474818001264,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
13,1.1110247086752176,1.9243512098462197,0.22824537697814012,0.0988331473797126,0.5271101231636418,0.1,0.001,0.6808479574176795,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
14,1.0353808312634607,1.793332169640803,0.21428319872659835,0.09278734685071173,0.4948658540021913,0.1,0.001,0.7305900230583318,0,False,False,theta_only,False,large delta_P; consider increasing lambda_reg or decreasing alpha
15,0.9597369536672202,1.6623131293762776,0.19971460634185834,0.08647896129942906,0.4612211313456358,0.1,0.001,0.7881731598296378,0,False,False,theta_only,False,
16,0.8840930758719567,1.531294089047986,0.1846229215254049,0.07994407008095075,0.4263683784119392,0.1,0.001,0.8556100372029636,0,False,False,theta_only,False,
17,0.8084491978606412,1.4002750486504707,0.16909445768454484,0.07322004799698431,0.3905069274681401,0.1,0.001,0.9356665995860857,0,False,False,theta_only,False,
18,0.7328053196130577,1.2692560081772557,0.15321802628285375,0.06634535153933158,0.35384187979560133,0.1,0.001,1.0,0,False,False,theta_only,False,
19,0.6595248001898408,1.142330425622908,0.1375914730003729,0.05957885548122181,0.3177539008434701,0.1,0.001,1.0,0,False,False,theta_only,False,
20,0.5935723314551371,1.0280973994976583,0.12339052187137486,0.053429663263415,0.28495820896755486,0.1,0.001,1.0,0,False,False,theta_only,False,
21,0.5342151084654763,0.9252876743412295,0.11055162311567526,0.04787025702388887,0.2553080422532925,0.1,0.001,1.0,0,False,False,theta_only,False,
22,0.480793606759196,0.8327589202211106,0.09898840216044051,0.04286323547548594,0.22860392718324896,0.1,0.001,1.0,0,False,False,theta_only,False,
23,0.43271425430951727,0.7494830401816027,0.08860316516425401,0.038366295943976184,0.20462024950667257,0.1,0.001,1.0,0,False,False,theta_only,False,
24,0.3894428362821829,0.6745347469477859,0.07929459918268568,0.03433556863755528,0.18312303701026889,0.1,0.001,1.0,0,False,False,theta_only,False,
25,0.35049855931722007,0.6070812819589168,0.0709627479901822,0.030727771240925447,0.16388145068685367,0.1,0.001,1.0,0,False,False,theta_only,False,
26,0.3154487093824283,0.5463731624983438,0.0635120733557691,0.0275015344865584,0.14667485444902317,0.1,0.001,1.0,0,False,False,theta_only,False,
27,0.28390384384142253,0.4917358541102962,0.05685319609895744,0.024618156054017726,0.13129683592580876,0.1,0.001,1.0,0,False,False,theta_only,False,
28,0.2555134643147934,0.44256227577487456,0.05090374576572356,0.022041968490450564,0.11755716870554755,0.1,0.001,1.0,0,False,False,theta_only,False,
29,0.22996212225507584,0.39830605456543483,0.04558862372556266,0.01974045313495361,0.1052824199327208,0.1,0.001,1.0,0,False,False,theta_only,False,
30,0.20696591396415442,0.3584754548401347,0.040839893231978834,0.017684192513368904,0.09431569641371917,0.1,0.001,1.0,0,False,False,theta_only,False,
31,0.18626932610886637,0.3226279145142399,0.03659644384845002,0.01584672503046422,0.08451586964195945,0.1,0.001,1.0,0,False,False,theta_only,False,
32,0.16764239668499492,0.29036512770512324,0.03280353031855853,0.014204345294842349,0.07575651086419777,0.1,0.001,1.0,0,False,False,theta_only,False,
33,0.15087815988480813,0.261328619112687,0.029412252493561313,0.012735878920973137,0.06792469002480062,0.1,0.001,1.0,0,False,False,theta_only,False,
34,0.13579034647781008,0.23519576096168732,0.026379019534011672,0.011422450521690015,0.06091973839247511,0.1,0.001,1.0,0,False,False,theta_only,False,
35,0.12221131415336295,0.21167618824976078,0.02366502543895297,0.010247256605669115,0.054652037346892945,0.1,0.001,1.0,0,False,False,theta_only,False,
36,0.10999018482902656,0.1905085724706021,0.02123575193853975,0.009195350323620018,0.04904187035842189,0.1,0.001,1.0,0,False,False,theta_only,False,
37,0.09899116822802512,0.1714577179647785,0.019060507394471262,0.008253441806316613,0.04401835812433086,0.1,0.001,1.0,0,False,True,theta_only,False,
38,0.0890920530989332,0.15431194863541325,0.01711200549316545,0.007409715733390058,0.039518485602384024,0.1,0.001,1.0,0,False,True,theta_only,False,
39,0.08018284931338027,0.13888075599227345,0.01536598440783305,0.00665366642566949,0.0354862225033486,0.1,0.001,1.0,0,False,True,theta_only,False,
40,0.07216456575394758,0.12499268239140743,0.013800865193978466,0.005975949926094891,0.031871734389214534,0.1,0.001,1.0,0,False,True,theta_only,False,
41,0.06494811041326809,0.11249341595079163,0.012397447079100765,0.005368252056287213,0.028630678974915114,0.1,0.001,1.0,0,False,True,theta_only,False,
42,0.0584533004831842,0.10124407597438485,0.011138636739834656,0.004823171190111735,0.025723580920675948,0.1,0.001,1.0,0,False,True,theta_only,False,
43,0.05260797143498497,0.0911196698337522,0.010009208440466126,0.004334114390608634,0.02311527789565304,0.1,0.001,1.0,0,False,True,theta_only,False,
44,0.047347175191593927,0.0820077041615017,0.008995591906744255,0.0038952055566591013,0.020774430693489943,0.1,0.001,1.0,0,True,True,theta_only,True,
