iter,theta5u,theta5d,theta6u,theta6d,theta7u,theta7d,theta8u,theta8d
0,3.141592653589793,0.0,3.141592653589793,0.0,3.141592653589793,0.0,3.141592653589793,0.0
1,3.0659487778199823,4.946080406353914e-09,3.065948776444494,3.512496626889572e-09,3.065948773021406,2.9033076394402446e-09,3.141592651528059,2.2042247506404156e-09
2,2.990304901955553,9.70682850764959e-09,2.9903048992561176,6.893377930972111e-09,2.9903048925382065,5.6978262316653705e-09,3.1415926495435795,4.32585640919303e-09
3,2.9146610259928227,1.4275028853427685e-08,2.9146610220229867,1.0137519546038476e-08,2.914661012143511,8.379321101564807e-09,3.141592647639362,6.361678638738821e-09
4,2.83901714992781,1.8642881405295242e-08,2.8390171447432877,1.3239383499230595e-08,2.8390171318409037,1.0943213765712834e-08,3.1415926458186565,8.308215036084698e-09
5,2.763373273756195,2.2801929955296174e-08,2.763373267415055,1.6192963005201566e-08,2.7633732516342735,1.3384540198391193e-08,3.141592644084991,1.0161698007354891e-08
6,2.687729397473281,2.6742969214121892e-08,2.68772939003615,1.8991722576522374e-08,2.6877293715278503,1.56978981757927e-08,3.1415926424422005,1.1918025275003963e-08
7,2.612085521073935,3.045594777761895e-08,2.612085512604236,2.162852271586635e-08,2.6120854915262544,1.7877386116610383e-08,3.141592640894475,1.3572717141169255e-08
8,2.536441644552529,3.39298417278977e-08,2.5364416351167502,2.409553546967036e-08,2.536441611634553,1.9916533592484464e-08,3.14159263944641,1.512086009528013e-08
9,2.460797767902862,3.7152508708393484e-08,2.460797757570871,2.6384136264656632e-08,2.4607977318583285,2.180821135830402e-08,3.1415926381030683,1.6557044315440583e-08
10,2.3851538911180725,4.011050172558761e-08,2.3851538799634726,2.848477760608592e-08,2.385153852203759,2.3544528500452078e-08,3.1415926368700515,1.787527633551056e-08
11,2.3095100141905203,4.278885902542218e-08,2.3095100022910775,3.038683316081148e-08,2.309509972677723,2.5116701732330604e-08,3.1415926357535993,1.906888845090715e-08
12,2.2338661371116495,4.517082384525306e-08,2.2338661245497904,3.207840370417214e-08,2.233866093287924,2.6514895383467074e-08,3.141592634760697,2.0130413079522125e-08
13,2.158222259871815,4.7237501826780104e-08,2.15822224673522,3.354607094191442e-08,2.1582222140430454,2.7728018336253824e-08,3.1415926338992195,2.1051430265650595e-08
14,2.082578382460058,4.896742679394439e-08,2.082578368842377,3.4774590915165327e-08,2.082578334952954,2.874347012488121e-08,3.141592633178114,2.1822373331981115e-08
15,2.006934504863818,5.0335996537587135e-08,2.0069344908655427,3.5746490753552074e-08,2.0069344560289584,2.9546808846814265e-08,3.1415926326076367,2.2432278028172714e-08
16,1.9312906270685544,5.131472949337912e-08,1.9312906127980967,3.6441545329946035e-08,1.9312905772841502,3.012131729457357e-08,3.1415926321996603,2.286845132357107e-08
17,1.8556467490572388,5.1870270426079834e-08,1.8556467346322858,3.683606703691611e-08,1.8556466987338607,3.044741562346909e-08,3.141592631968088,2.3116028240871556e-08
18,1.7800028708096554,5.196302309273815e-08,1.7800028563589079,3.690193620814464e-08,1.7800028203962899,3.05018606275298e-08,3.141592631929424,2.3157363446962842e-08
19,1.7067223513864387,5.1558270083851276e-08,1.7067223370482514,3.661449780173465e-08,1.706722301365755,3.026427386129682e-08,3.141592632098142,2.2976985224187896e-08
20,1.6407698826517347,5.071483773211316e-08,1.6407698685481031,3.60155281292629e-08,1.640769833449331,2.9769186383338253e-08,3.1415926324497203,2.260110882473798e-08
21,1.5814126596620737,4.9524508716203286e-08,1.581412645889468,3.517020737142662e-08,1.5814126116145002,2.9070473797285223e-08,3.1415926329459,2.2070637512028313e-08
22,1.5279911579557934,4.8065097651983635e-08,1.5279911445890455,3.4133795331903194e-08,1.527991111324108,2.8213811889207796e-08,3.141592633554244,2.1420250094494886e-08
