iter,max_abs_theta_error_rad,norm_theta_error,model_output_rmse,model_output_mae,model_output_max_abs,alpha_used,lambda_reg,step_scale,num_clipped,theta_converged,output_converged,convergence_mode,converged,warning
0,3.141592653589793,3.6275987284684352,0.1653594569415369,0.06249999999999997,1.0,0.3,0.0001,0.6264624203165169,0,False,False,theta_only,False,
1,2.5511657337094062,2.9458324467182364,0.15467067170335722,0.059367575271573866,0.9153515411658735,0.3,0.0001,0.7714472298506673,0,False,False,theta_only,False,
2,1.9607388136059338,2.2640661645925744,0.12589181600700647,0.05048801029517043,0.6900676107904807,0.3,0.0001,1.0,0,False,False,theta_only,False,
3,1.372517170863679,1.5848463172689373,0.08751026157080583,0.03731533313141071,0.40150875318694135,0.3,0.0001,1.0,0,False,False,theta_only,False,
4,0.9607620205422442,1.1093924235261527,0.05980981272037554,0.026512613524457898,0.21355221147390657,0.3,0.0001,1.0,0,False,False,theta_only,False,
5,0.6725334150359377,0.7765746974748327,0.04128128575565484,0.018577162220252942,0.10887703212892863,0.3,0.0001,1.0,0,False,False,theta_only,False,
6,0.470773390984613,0.5436022889369504,0.028786974671658788,0.012962341939552233,0.06459989735686092,0.3,0.0001,1.0,0,False,False,theta_only,False,
7,0.3295413740108497,0.3805216027490633,0.020184625929925953,0.009038412352375319,0.04596281850475917,0.3,0.0001,1.0,0,False,False,theta_only,False,
8,0.2306789620327283,0.26636512226958214,0.014180337245603938,0.006305218050401393,0.03252413736497828,0.3,0.0001,1.0,0,False,True,theta_only,False,
9,0.1614752735805034,0.18645558583037383,0.009963785913153838,0.004401689102464368,0.02293364081073332,0.3,0.0001,1.0,0,False,True,theta_only,False,
10,0.1130326916166684,0.13051891025042933,0.0069974185631129174,0.0030748999687493445,0.01613357510196889,0.3,0.0001,1.0,0,False,True,theta_only,False,
