iter,theta5u,theta5d,theta6u,theta6d,theta7u,theta7d,theta8u,theta8d
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.19680897214406856,-1.3746788915525165e-09,0.19680897269884695,-4.4002814326288275e-10,0.19680897327324884,-5.007646797228205e-10,-0.590426919880387,-9.512717003001825e-10
2,0.39361794462850813,-2.431211853365367e-09,0.39361794560967067,-7.782183092386319e-10,0.3936179466255377,-8.856339966945015e-10,-1.1808538399838595,-1.682386570334149e-09
3,0.5896918250073254,-3.071394142489803e-09,0.589691826246847,-9.83136278116803e-10,0.5896918275302092,-1.1188380777404916e-09,-1.7690754827261141,-2.125389357565677e-09
4,0.7269435417499805,-3.1086567209293037e-09,0.726943543004539,-9.950654636207978e-10,0.726943544303473,-1.1324108040167147e-09,-2.1808306330475498,-2.1511768651116814e-09
5,0.8230197438040769,-2.8471361605136858e-09,0.8230197449530945,-9.113552720645124e-10,0.8230197461427539,-1.0371445369194987e-09,-2.4690592385538555,-1.9702071502036844e-09
6,0.8902730854759121,-2.4627498200480158e-09,0.8902730864698026,-7.883142584888536e-10,0.890273087498847,-8.971231188481532e-10,-2.6708192626051797,-1.7042121394639231e-09
7,0.9373504248099732,-2.0527536259348778e-09,0.9373504256384017,-6.57075221489889e-10,0.9373504264961302,-7.477711783110408e-10,-2.8120512795789434,-1.4204965727987462e-09
8,0.9703045624584592,-1.6671073540738823e-09,0.970304563131252,-5.336320269130543e-10,0.9703045638278416,-6.072880844032458e-10,-2.9109136915570644,-1.1536311185847414e-09
9,0.99337245889265,-1.3281017583431642e-09,0.9933724594286302,-4.251174350695594e-10,0.9933724599835684,-4.837969504178918e-10,-2.9801173800092897,-9.190411209836213e-10
10,1.0095199864527582,-1.042458652820294e-09,1.009519986873462,-3.336846066386706e-10,1.0095199873090461,-3.7974487790415346e-10,-3.0285599619731247,-7.213777877997096e-10
11,1.0208232557841563,-8.086722676041436e-10,1.0208232561105124,-2.588508927602734e-10,1.020823256448411,-2.945809481763595e-10,-3.0624697693809053,-5.596001726240751e-10
12,1.0287355443436614,-6.213366708076803e-10,1.028735544594415,-1.9888613637399598e-10,1.0287355448540354,-2.2633998668364352e-10,-3.0862066345895167,-4.299637716177751e-10
13,1.0342741463545833,-4.736209262235988e-10,1.0342741465457235,-1.5160339821083772e-10,1.0342741467436223,-1.7253126488245285e-10,-3.1028224402517615,-3.27745822235187e-10
