scenario,point_index,target_heater,target_port,target_voltage_v,target_current_a,other_second_column_voltage_v,current_read_attempts,warning,timestamp
others_0v,0,6d,8,0.0,-0.0004060634213937426,0.0,1,,2026-06-11T11:11:09.066835
others_0v,1,6d,8,0.1,0.19950839272740878,0.0,1,,2026-06-11T11:11:11.258495
others_0v,2,6d,8,0.2,0.39768870768250636,0.0,1,,2026-06-11T11:11:13.550136
others_0v,3,6d,8,0.3,0.5973513510457508,0.0,1,,2026-06-11T11:11:15.830787
others_0v,4,6d,8,0.4,0.7970139944089766,0.0,1,,2026-06-11T11:11:17.995221
others_0v,5,6d,8,0.5,0.9966766377722208,0.0,1,,2026-06-11T11:11:20.670532
others_0v,6,6d,8,0.6,1.1963392811354467,0.0,1,,2026-06-11T11:11:22.863980
others_0v,7,6d,8,0.7,1.3927287664107635,0.0,1,,2026-06-11T11:11:25.044179
others_0v,8,6d,8,0.8,1.592391409773989,0.0,1,,2026-06-11T11:11:27.226667
others_0v,9,6d,8,0.9,1.7920540531372335,0.0,1,,2026-06-11T11:11:29.405304
others_0v,10,6d,8,1.0,1.98844353841255,0.0,1,,2026-06-11T11:11:32.095433
others_0v,11,6d,8,1.1,2.1848330236878484,0.0,1,,2026-06-11T11:11:34.768752
others_0v,12,6d,8,1.2,2.384495667051093,0.0,1,,2026-06-11T11:11:36.928661
others_0v,13,6d,8,1.3,2.580885152326409,0.0,1,,2026-06-11T11:11:39.093760
others_0v,14,6d,8,1.4,2.777274637601707,0.0,1,,2026-06-11T11:11:41.772219
others_0v,15,6d,8,1.5,2.9736641228770235,0.0,1,,2026-06-11T11:11:43.937915
others_0v,16,6d,8,1.6,3.1667804500644126,0.0,1,,2026-06-11T11:11:46.121037
others_0v,17,6d,8,1.7,3.363169935339747,0.0,1,,2026-06-11T11:11:48.814551
others_0v,18,6d,8,1.8,3.5562862625271547,0.0,1,,2026-06-11T11:11:50.994562
others_0v,19,6d,8,1.9,3.752675747802453,0.0,1,,2026-06-11T11:11:53.172481
others_0v,20,6d,8,2.0,3.942518916901932,0.0,1,,2026-06-11T11:11:55.844318
others_0v,21,6d,8,2.1,4.135635244089321,0.0,1,,2026-06-11T11:11:58.011631
others_0v,22,6d,8,2.2,4.32875157127671,0.0,1,,2026-06-11T11:12:00.234590
others_0v,23,6d,8,2.3,4.51859474037619,0.0,1,,2026-06-11T11:12:03.437073
others_0v,24,6d,8,2.4,4.70843790947565,0.0,1,,2026-06-11T11:12:05.614836
others_0v,25,6d,8,2.5,4.898281078575112,0.0,1,,2026-06-11T11:12:07.793577
others_0v,26,6d,8,2.6,5.084851089586662,0.0,1,,2026-06-11T11:12:09.977820
others_0v,27,6d,8,2.7,5.274694258686143,0.0,1,,2026-06-11T11:12:12.666296
others_0v,28,6d,8,2.8,5.461264269697675,0.0,1,,2026-06-11T11:12:14.832739
others_0v,29,6d,8,2.9,5.647834280709228,0.0,1,,2026-06-11T11:12:17.510592
others_0v,30,6d,8,3.0,5.8311311336328515,0.0,1,,2026-06-11T11:12:19.673769
others_0v,31,6d,8,3.1,6.014427986556474,0.0,1,,2026-06-11T11:12:22.356850
others_0v,32,6d,8,3.2,6.200997997568027,0.0,1,,2026-06-11T11:12:25.044266
others_0v,33,6d,8,3.3,6.3810216924037215,0.0,1,,2026-06-11T11:12:28.754713
others_0v,34,6d,8,3.4,6.564318545327366,0.0,1,,2026-06-11T11:12:30.917123
others_0v,35,6d,8,3.5,6.7443422401630615,0.0,1,,2026-06-11T11:12:33.081445
others_0v,36,6d,8,3.6,6.924365934998757,0.0,1,,2026-06-11T11:12:35.261770
others_0v,37,6d,8,3.7,7.104389629834472,0.0,1,,2026-06-11T11:12:37.425577
others_0v,38,6d,8,3.8,7.281140166582239,0.0,1,,2026-06-11T11:12:39.593111
others_0v,39,6d,8,3.9,7.457890703330026,0.0,1,,2026-06-11T11:12:41.758172
others_0v,40,6d,8,4.0,7.634641240077814,0.0,1,,2026-06-11T11:12:43.924935
others_0v,41,6d,8,4.1,7.808118618737672,0.0,1,,2026-06-11T11:12:46.087641
others_0v,42,6d,8,4.2,7.98486915548546,0.0,1,,2026-06-11T11:12:48.790737
others_0v,43,6d,8,4.3,8.158346534145318,0.0,1,,2026-06-11T11:12:50.955446
others_0v,44,6d,8,4.4,8.328550754717249,0.0,1,,2026-06-11T11:12:54.669728
others_0v,45,6d,8,4.5,8.498754975289181,0.0,1,,2026-06-11T11:12:56.838879
others_0v,46,6d,8,4.6,8.672232353949038,0.0,1,,2026-06-11T11:12:59.511801
others_0v,47,6d,8,4.7,8.842436574520988,0.0,1,,2026-06-11T11:13:01.675632
others_0v,48,6d,8,4.8,9.009367637004992,0.0,1,,2026-06-11T11:13:04.364918
others_0v,49,6d,8,4.9,9.179571857576942,0.0,1,,2026-06-11T11:13:06.530057
others_0v,50,6d,8,5.0,9.343229761973035,0.0,1,,2026-06-11T11:13:08.697719
others_0v,51,6d,8,5.1,9.510160824457058,0.0,1,,2026-06-11T11:13:11.386174
others_0v,52,6d,8,5.2,9.673818728853153,0.0,1,,2026-06-11T11:13:13.555064
others_0v,53,6d,8,5.3,9.837476633249246,0.0,1,,2026-06-11T11:13:15.715734
others_0v,54,6d,8,5.4,10.00113453764534,0.0,1,,2026-06-11T11:13:17.882837
others_0v,55,6d,8,5.5,10.161519283953524,0.0,1,,2026-06-11T11:13:20.049383
