port,current_sample_1_mA,current_sample_2_mA,current_sample_3_mA,current_sample_4_mA,current_sample_5_mA,current_sample_6_mA,current_sample_7_mA,current_sample_8_mA,current_sample_9_mA,current_sample_10_mA
1,-0.00759215548484679,-0.007583952183404523,-0.007551138977635318,-0.007559342279077631,-0.007559342279077631,-0.007567545580519898,-0.007551138977635318,-0.007567545580519898,-0.007567545580519898,-0.007551138977635318
2,-0.007485512566096955,-0.007493715867539221,-0.007493715867539221,-0.007477309264654642,-0.007477309264654642,-0.007469105963212329,-0.007469105963212329,-0.007485512566096955,-0.007485512566096955,-0.0074609026617700625
3,-0.0074444960588854366,-0.007403479551673965,-0.007403479551673965,-0.007411682853116278,-0.007428089456000857,-0.0074444960588854366,-0.0074444960588854366,-0.0074526993603277495,-0.0074526993603277495,-0.007428089456000857
4,-0.00757574888196221,-0.007559342279077631,-0.007551138977635318,-0.007559342279077631,-0.007559342279077631,-0.007567545580519898,-0.007559342279077631,-0.007542935676193005,-0.007567545580519898,-0.007551138977635318
5,-0.0074444960588854366,-0.0074526993603277495,-0.0074609026617700625,-0.0074609026617700625,-0.0074609026617700625,-0.0074609026617700625,-0.0074444960588854366,-0.0074444960588854366,-0.0074444960588854366,-0.0074444960588854366
6,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
7,-0.15580940594428727,-0.15578479603996037,-0.15576018613563347,-0.15578479603996037,-0.15580940594428727,-0.15579299934140264,-0.15580120264284497,-0.15580940594428727,-0.15580120264284497,-0.15580940594428727
8,-0.14644943899862523,-0.14642482909429835,-0.14643303239574065,-0.14640021918997143,-0.14643303239574065,-0.14641662579285603,-0.14644943899862523,-0.14644943899862523,-0.14643303239574065,-0.14644123569718293
9,-0.13535037214719603,-0.13536677875008063,-0.13536677875008063,-0.1353585754486383,-0.13535037214719603,-0.1353585754486383,-0.13535037214719603,-0.1353585754486383,-0.13535037214719603,-0.13535037214719603
10,-0.1284185824284542,-0.1284103791270119,-0.12839397252412732,-0.1284103791270119,-0.1284103791270119,-0.12837756592124272,-0.12837756592124272,-0.12837756592124272,-0.12837756592124272,-0.12839397252412732
11,7.546265971703929,7.549539129791838,7.546265971703929,7.549539129791838,7.546265971703929,7.549539129791838,7.546265971703929,7.549539129791838,7.549539129791838,7.549539129791838
12,7.860489148144424,7.860489148144424,7.860489148144424,7.860489148144424,7.860489148144424,7.860489148144424,7.860489148144424,7.860489148144424,7.860489148144424,7.860489148144424
13,7.647733872429506,7.647733872429506,7.647733872429506,7.651007030517416,7.647733872429506,7.651007030517416,7.647733872429506,7.651007030517416,7.647733872429506,7.647733872429506
14,7.493895442297178,7.493895442297178,7.493895442297178,7.493895442297178,7.493895442297178,7.493895442297178,7.493895442297178,7.493895442297178,7.493895442297178,7.493895442297178
15,-0.13352923922700588,-0.13354564582989048,-0.13354564582989048,-0.13352923922700588,-0.13352923922700588,-0.13352923922700588,-0.13351283262412128,-0.13352103592556358,-0.13352923922700588,-0.13353744252844815
16,-0.12730293343230165,-0.12730293343230165,-0.12731113673374397,-0.1272619169250902,-0.12730293343230165,-0.12730293343230165,-0.12729473013085935,-0.12729473013085935,-0.12729473013085935,-0.12730293343230165
17,-0.11051077537991764,-0.11051077537991764,-0.11051077537991764,-0.11052718198280224,-0.11052718198280224,-0.11050257207847534,-0.11049436877703306,-0.11051077537991764,-0.11051897868135994,-0.11051897868135994
18,-0.10271763900973455,-0.10269302910540766,-0.10269302910540766,-0.10270123240684995,-0.10269302910540766,-0.10270123240684995,-0.10269302910540766,-0.10271763900973455,-0.10270943570829223,-0.10270943570829223
19,7.709923876100023,7.709923876100023,7.709923876100023,7.709923876100023,7.709923876100023,7.709923876100023,7.709923876100023,7.709923876100023,7.709923876100023,7.706650718012096
20,8.050332317243885,8.050332317243885,8.050332317243885,8.050332317243885,8.050332317243885,8.050332317243885,8.050332317243885,8.050332317243885,8.050332317243885,8.050332317243885
21,7.87030862240819,7.87030862240819,7.87030862240819,7.87030862240819,7.87030862240819,7.87030862240819,7.87030862240819,7.87030862240819,7.87030862240819,7.87030862240819
22,7.562631762143532,7.562631762143532,7.562631762143532,7.562631762143532,7.562631762143532,7.562631762143532,7.562631762143532,7.562631762143532,7.562631762143532,7.56590492023146
23,-0.2798550165173275,-0.2798550165173275,-0.28312817460523676,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275,-0.28312817460523676,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275
24,-0.2798550165173275,-0.2798550165173275,-0.2765818584293997,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275,-0.2765818584293997,-0.2798550165173275,-0.2798550165173275
25,-0.11342294739193345,-0.11344755729626035,-0.11343935399481805,-0.11343115069337574,-0.11345576059770267,-0.11344755729626035,-0.11343115069337574,-0.11344755729626035,-0.11345576059770267,-0.11344755729626035
26,7.77538703785845,7.77538703785845,7.77538703785845,7.77538703785845,7.77538703785845,7.77538703785845,7.77538703785845,7.77538703785845,7.77538703785845,7.77538703785845
27,7.186218582032518,7.186218582032518,7.186218582032518,7.186218582032518,7.186218582032518,7.186218582032518,7.186218582032518,7.186218582032518,7.186218582032518,7.186218582032518
28,7.176399107768754,7.176399107768754,7.176399107768754,7.176399107768754,7.176399107768754,7.176399107768754,7.176399107768754,7.176399107768754,7.176399107768754,7.176399107768754
29,7.683738611396637,7.683738611396637,7.683738611396637,7.683738611396637,7.683738611396637,7.683738611396637,7.683738611396637,7.683738611396637,7.683738611396637,7.683738611396637
30,-0.1058348935578078,-0.1058184869549232,-0.1058184869549232,-0.1058430968592501,-0.1058266902563655,-0.1058266902563655,-0.1058266902563655,-0.10585130016069239,-0.10585130016069239,-0.1058595034621347
31,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
32,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
33,7.379334909219907,7.379334909219907,7.379334909219907,7.379334909219907,7.379334909219907,7.379334909219907,7.382608067307835,7.379334909219907,7.379334909219907,7.379334909219907
34,-0.19219925114232123,-0.19218284453943665,-0.19216643793655205,-0.19216643793655205,-0.19219104784087895,-0.19219104784087895,-0.19219925114232123,-0.19222386104664815,-0.19220745444376355,-0.19222386104664815
35,-0.1850213623803105,-0.1850295656817528,-0.1850213623803105,-0.1850295656817528,-0.1850295656817528,-0.1850213623803105,-0.1850213623803105,-0.1850213623803105,-0.1850213623803105,-0.1850459722846374
36,7.598636501110663,7.598636501110663,7.598636501110663,7.598636501110663,7.598636501110663,7.598636501110663,7.598636501110663,7.598636501110663,7.598636501110663,7.598636501110663
37,-0.1626755692514907,-0.16266736595004838,-0.16266736595004838,-0.16265916264860608,-0.1626755692514907,-0.16265916264860608,-0.16266736595004838,-0.1626919758543753,-0.1626919758543753,-0.1627001791558176
38,7.6248217658140485,7.6248217658140485,7.6248217658140485,7.6248217658140485,7.6248217658140485,7.6248217658140485,7.6248217658140485,7.6248217658140485,7.6248217658140485,7.6248217658140485
39,-0.15516954843178804,-0.15516134513034577,-0.1551777517332303,-0.15516134513034577,-0.15516954843178804,-0.15516954843178804,-0.1551777517332303,-0.1551859550346726,-0.15516954843178804,-0.15516954843178804
40,7.539719655528074,7.539719655528074,7.539719655528074,7.539719655528074,7.539719655528074,7.539719655528074,7.539719655528074,7.539719655528074,7.539719655528074,7.539719655528074
41,7.7001044018362395,7.7001044018362395,7.7001044018362395,7.7001044018362395,7.7001044018362395,7.7001044018362395,7.7001044018362395,7.7001044018362395,7.7001044018362395,7.7001044018362395
42,7.464437019505883,7.461163861417955,7.464437019505883,7.464437019505883,7.464437019505883,7.461163861417955,7.464437019505883,7.464437019505883,7.461163861417955,7.461163861417955
43,8.060151791507652,8.060151791507652,8.060151791507652,8.05687863341974,8.060151791507652,8.05687863341974,8.060151791507652,8.05687863341974,8.05687863341974,8.060151791507652
44,7.340057012164848,7.340057012164848,7.340057012164848,7.336783854076919,7.340057012164848,7.336783854076919,7.340057012164848,7.340057012164848,7.340057012164848,7.340057012164848
45,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238
46,8.00123494592506,8.00123494592506,8.00123494592506,8.00123494592506,8.00123494592506,8.00123494592506,8.00123494592506,8.00123494592506,8.00123494592506,8.00123494592506
47,-0.2373039613743401,-0.2373039613743401,-0.2373039613743401,-0.2373039613743401,-0.2373039613743401,-0.2373039613743401,-0.2373039613743401,-0.2373039613743401,-0.2373039613743401,-0.2373039613743401
48,7.893220729023646,7.893220729023646,7.893220729023646,7.893220729023646,7.893220729023646,7.893220729023646,7.896493887111555,7.893220729023646,7.893220729023646,7.893220729023646
49,5.723116916731437,5.723116916731437,5.723116916731437,5.723116916731437,5.723116916731437,5.723116916731437,5.723116916731437,5.723116916731437,5.723116916731437,5.723116916731437
50,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
51,-0.007198397015616516,-0.007206600317058829,-0.0072148036185010955,-0.007206600317058829,-0.007198397015616516,-0.007198397015616516,-0.007198397015616516,-0.007190193714174203,-0.007206600317058829,-0.00718199041273189
52,-0.007247616824270301,-0.007247616824270301,-0.0072230069199434085,-0.0072312102213857215,-0.0072312102213857215,-0.0072312102213857215,-0.0072312102213857215,-0.0072312102213857215,-0.0072312102213857215,-0.0072312102213857215
53,-0.007206600317058829,-0.0072230069199434085,-0.007206600317058829,-0.007198397015616516,-0.0072148036185010955,-0.007198397015616516,-0.007190193714174203,-0.007173787111289624,-0.00718199041273189,-0.007190193714174203
54,-0.0072148036185010955,-0.007198397015616516,-0.007190193714174203,-0.007198397015616516,-0.007190193714174203,-0.007198397015616516,-0.007190193714174203,-0.007190193714174203,-0.007206600317058829,-0.0072230069199434085
55,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
56,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
57,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
58,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
59,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
60,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
61,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06
62,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
63,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
64,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
65,8.616588666454378,8.616588666454378,8.616588666454378,8.616588666454378,8.616588666454378,8.616588666454378,8.616588666454378,8.616588666454378,8.616588666454378,8.616588666454378
66,8.187804956936613,8.187804956936613,8.187804956936613,8.187804956936613,8.187804956936613,8.187804956936613,8.187804956936613,8.187804956936613,8.187804956936613,8.187804956936613
67,8.05687863341974,8.05687863341974,8.05687863341974,8.05687863341974,8.05687863341974,8.05687863341974,8.05687863341974,8.05687863341974,8.05687863341974,8.05687863341974
68,7.9783228393096035,7.9783228393096035,7.9783228393096035,7.9783228393096035,7.9783228393096035,7.9783228393096035,7.9783228393096035,7.9783228393096035,7.9783228393096035,7.9783228393096035
69,-0.13286477181017978,-0.13285656850873745,-0.13287297511162202,-0.13285656850873745,-0.13285656850873745,-0.13284836520729515,-0.13283195860441052,-0.13284836520729515,-0.13284016190585285,-0.13283195860441052
70,-0.1296408743433566,-0.12964907764479888,-0.1296572809462412,-0.1296326710419143,-0.12961626443902968,-0.12961626443902968,-0.1296080611375874,-0.12962446774047198,-0.12962446774047198,-0.12961626443902968
