heater_type,mzi_id,arm_index,port,configured_resistance_ohm,focus_3_4_path,voltage_v,measured_current_mA,current_std_mA,expected_current_mA,measured_resistance_ohm,relative_current_error,relative_current_std,status
input_switch,1,0,43,509.3274168280728,False,4.318,8.060151791507652,0.001603513432569082,8.477847171257958,535.721920838952,-0.049269038626504,0.00018914158278358656,OK
input_switch,2,0,45,509.3274168280728,False,4.261,7.952137574606238,8.881784197001252e-16,8.36593487650073,535.8307700317912,-0.04946217105476377,1.0616606904208043e-16,OK
input_switch,3,0,41,514.4778300077395,True,4.164,7.7001044018362395,8.881784197001252e-16,8.093643218673503,540.771888626213,-0.04862319800918549,1.0973777762416517e-16,OK
input_switch,4,0,48,509.33194693518095,True,4.23,7.893220729023646,0.00098194742637272,8.304996428072716,535.9029153265844,-0.04958168285987183,0.0001182357433717276,OK
input_switch,5,0,44,517.265519403624,False,3.977,7.340057012164848,0.001309263235171443,7.688507837493675,541.8214045761259,-0.04532099500888541,0.00017028833979809547,OK
input_switch,6,0,46,513.6059485938734,False,4.329,8.00123494592506,1.7763568394002505e-15,8.428640695949365,541.0414803785648,-0.05070874004982898,2.107524692865282e-16,OK
input_switch,7,0,42,510.1755478693103,False,3.995,7.464437019505883,0.0016035134325777846,7.8306379376366815,535.2044621128645,-0.04676514494058182,0.0002047743038751363,OK
input_switch,8,0,49,514.6445493655262,False,3.062,5.723116916731437,8.881784197001252e-16,5.949737549489162,535.023142904576,-0.03808918139207373,1.4928026863577928e-16,OK
network,1,0,65,514.1361980539363,False,4.694,8.616588666454378,0.0,9.129876514758777,544.7631518346024,-0.05622067806444597,0.0,OK
network,2,0,67,503.9554826555818,True,4.427,8.05687863341974,0.0,8.784506077147975,549.4683737243986,-0.08283077470013772,0.0,OK
network,3,0,66,498.3646816458423,False,4.294,8.187804956936613,1.7763568394002505e-15,8.616180395888259,524.4384816912587,-0.04971755688356657,2.0616523305941324e-16,OK
network,4,0,68,514.1361980539345,False,4.309,7.9783228393096035,0.0,8.38104769963692,540.0884480093156,-0.04805185160141289,0.0,OK
network,5,0,11,512.0640000350635,True,4.0,7.549539129791838,0.001603513432568212,7.811523559020164,529.8336668281222,-0.03353819869438987,0.0002052753755977084,OK
network,5,1,7,509.8400242919656,True,0.0,-0.15580120264284497,1.5214857595888517e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,6,0,12,514.1361980539365,True,4.191,7.860489148144424,0.0,8.151536530326805,533.1729261389977,-0.03570460380071587,0.0,OK
network,6,1,8,514.6538964400621,True,0.0,-0.14643303239574065,1.5126140468770383e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,7,0,13,511.3774400151507,False,4.039,7.647733872429506,0.0014999494699404292,7.898275684356228,528.130302044219,-0.031721077098253087,0.00018990847241649392,OK
network,7,1,9,511.5557342129538,False,0.0,-0.13535447379791715,6.4069832431055955e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,8,0,14,514.1317715531885,False,4.0,7.493895442297178,0.0,7.780106621141167,533.7677888355806,-0.03678756510434666,0.0,OK
network,8,1,10,513.6152391977142,False,0.0,-0.12839397252412732,1.575802748763521e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,9,0,76,515.3478903835618,False,4.133,7.755748089330919,8.881784197001252e-16,8.019825203754888,532.8950801903302,-0.032928038668514535,1.1074785261956575e-16,OK
network,9,1,72,516.2115913566885,False,0.0,-0.10463721154723227,1.0664291874986438e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,10,0,75,542.2481278088666,True,4.332,7.124028578362003,0.0,7.988962576053296,608.0829059498296,-0.10826612209749358,0.0,ANOMALY
network,10,1,71,516.7381927827229,True,0.0,-0.10713921848713318,7.337255865955714e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,11,0,74,513.2659336360618,False,4.394,8.220536537815835,0.0009819474263780493,8.560864285054278,534.5149893546327,-0.039753900529949156,0.000114701903181943,OK
network,11,1,70,515.6908871618543,False,0.0,-0.12962446774047198,1.5236956166138212e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,12,0,73,518.8484989600095,False,4.16,7.765567563594685,0.0,8.017754717106033,535.6981271404114,-0.03145358799431748,0.0,OK
network,12,1,69,517.6158092222656,False,0.0,-0.1328524668580163,1.2734948467641092e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,13,0,19,515.872379734469,True,4.119,7.709923876100023,0.0009819474263780491,7.98453292289101,534.2465199648053,-0.03439262502177241,0.0001229811982568054,OK
network,13,1,15,513.2659336360617,True,0.0,-0.13352923922700588,9.566611217791335e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,14,0,20,512.4072808050088,True,4.285,8.050332317243885,0.0,8.362488513567026,532.2761634102347,-0.037328146498103856,0.0,OK
network,14,1,16,508.4817550515487,True,0.0,-0.12730293343230165,1.273494846762232e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
