observed_mzi,bmzi,perturbed_heater,delta_power_w,beta_base,beta_pert,delta_beta,sigma_coeff,relative_sigma_link_rad,J_sigma_link_rad_per_w,baseline_rmse_uW,perturbed_rmse_uW,baseline_outlier_removed,baseline_excluded_index,baseline_full_rmse_before_outlier_removal_uW,perturbed_outlier_removed,perturbed_excluded_index,perturbed_full_rmse_before_outlier_removal_uW,warning,bmzi_global_delta_sigma_rad,global_delta_sigma_rad,J_sigma_global_rad_per_w
5,0,5u,0.001,0.19488860793125573,0.19503363671339757,0.00014502878214184278,2.0,0.00029005756428368556,0.29005756428368556,0.9565399830778847,0.9640709506787342,False,,,False,,,sigma_coeff default +2,0.0,0.00029005756428368556,0.29005756428368556
6,5,5u,0.001,-1.5276321638393258,-1.593312856504425,-0.06568069266509902,2.0,-0.13136138533019803,-131.36138533019803,0.8110106059533148,1.57198010852156,False,,,False,,,sigma_coeff default +2,0.00029005756428368556,-0.13107132776591437,-131.07132776591436
7,6,5u,0.001,-1.2875200005544654,-1.2710436302278811,0.016476370326584444,2.0,0.03295274065316889,32.95274065316889,0.05883477636996996,0.07536892017595835,False,,,False,,,sigma_coeff default +2,-0.13107132776591437,-0.09811858711274547,-98.11858711274547
8,7,5u,0.001,-0.9502147465506217,-0.9791302736215717,-0.02891552707095002,2.0,-0.05783105414190004,-57.83105414190004,0.026893529375338242,0.027628323226879557,False,,,False,,,sigma_coeff default +2,-0.09811858711274547,-0.15594964125464553,-155.9496412546455
5,0,5d,0.001,0.19488860793125573,0.28843636004031215,0.09354775210905641,2.0,0.18709550421811283,187.09550421811284,0.9565399830778847,0.9409130551119108,False,,,False,,,sigma_coeff default +2,0.0,0.18709550421811283,187.09550421811284
6,5,5d,0.001,-1.5276321638393258,-1.6473562464985219,-0.1197240826591961,2.0,-0.2394481653183922,-239.4481653183922,0.8110106059533148,0.9816164603936467,False,,,False,,,sigma_coeff default +2,0.18709550421811283,-0.05235266110027936,-52.35266110027936
7,6,5d,0.001,-1.2875200005544654,-1.2841557794431926,0.0033642211112727693,2.0,0.006728442222545539,6.728442222545539,0.05883477636996996,0.06396833327321023,False,,,False,,,sigma_coeff default +2,-0.05235266110027936,-0.045624218877733824,-45.624218877733824
8,7,5d,0.001,-0.9502147465506217,-0.9275155616388084,0.02269918491181322,2.0,0.04539836982362644,45.39836982362644,0.026893529375338242,0.029955545740851963,False,,,False,,,sigma_coeff default +2,-0.045624218877733824,-0.00022584905410738543,-0.22584905410738543
5,0,6u,0.001,0.19488860793125573,0.1955508177815224,0.0006622098502666596,2.0,0.0013244197005333191,1.3244197005333191,0.9565399830778847,0.9343862182115665,False,,,False,,,sigma_coeff default +2,0.0,0.0013244197005333191,1.3244197005333191
6,5,6u,0.001,-1.5276321638393258,-1.5300509431811082,-0.0024187793417826953,2.0,-0.0048375586835653905,-4.8375586835653905,0.8110106059533148,0.8632143926486008,False,,,False,,,sigma_coeff default +2,0.0013244197005333191,-0.0035131389830320714,-3.5131389830320714
7,6,6u,0.001,-1.2875200005544654,-1.364253122283717,-0.07673312172925151,2.0,-0.15346624345850302,-153.46624345850302,0.05883477636996996,0.06952108486115066,False,,,False,,,sigma_coeff default +2,-0.0035131389830320714,-0.1569793824415351,-156.97938244153508
8,7,6u,0.001,-0.9502147465506217,-0.9401176734656866,0.010097073084935015,2.0,0.02019414616987003,20.19414616987003,0.026893529375338242,0.03945273475844507,False,,,False,,,sigma_coeff default +2,-0.1569793824415351,-0.13678523627166506,-136.78523627166504
5,0,6d,0.001,0.19488860793125573,0.17126616122881178,-0.023622446702443956,2.0,-0.04724489340488791,-47.24489340488791,0.9565399830778847,2.458342207832243,False,,,False,,,sigma_coeff default +2,0.0,-0.04724489340488791,-47.24489340488791
