iter,label,mzi_id,arm_index,port,voltage_before,voltage_after,accepted
0,MZI5_arm0,5,0,11,3.817,3.887575088472058,True
0,MZI5_arm1,5,1,7,3.658,3.659326380250982,True
0,MZI6_arm0,6,0,12,3.897,3.978921661501902,True
0,MZI6_arm1,6,1,8,3.525,3.525,False
0,MZI7_arm0,7,0,13,3.698,3.698,False
0,MZI7_arm1,7,1,9,3.503,3.507316641383234,True
0,MZI8_arm0,8,0,14,5.5,5.5,False
0,MZI8_arm1,8,1,10,3.166,3.166,False
1,MZI5_arm0,5,0,11,3.888,3.960591006316971,True
1,MZI5_arm1,5,1,7,3.659,3.5949912691938692,True
1,MZI6_arm0,6,0,12,3.979,3.9778908427247144,True
1,MZI6_arm1,6,1,8,3.525,3.462625950285841,True
1,MZI7_arm0,7,0,13,3.698,3.798,True
1,MZI7_arm1,7,1,9,3.507,3.445252222310573,True
1,MZI8_arm0,8,0,14,5.5,5.5,True
1,MZI8_arm1,8,1,10,3.166,3.166,False
2,MZI5_arm0,5,0,11,3.961,4.020428128758259,True
2,MZI5_arm1,5,1,7,3.595,3.5741482794517516,True
2,MZI6_arm0,6,0,12,3.978,3.978012367330086,True
2,MZI6_arm1,6,1,8,3.463,3.41224590929867,True
2,MZI7_arm0,7,0,13,3.798,3.798,False
2,MZI7_arm1,7,1,9,3.445,3.445,False
2,MZI8_arm0,8,0,14,5.5,5.5,False
2,MZI8_arm1,8,1,10,3.166,3.166,False
3,MZI5_arm0,5,0,11,4.02,4.063695691891604,True
3,MZI5_arm1,5,1,7,3.574,3.4739999999999998,True
3,MZI6_arm0,6,0,12,3.978,3.9842485570219757,True
3,MZI6_arm1,6,1,8,3.412,3.3722773220271343,True
3,MZI7_arm0,7,0,13,3.798,3.827746514072781,True
3,MZI7_arm1,7,1,9,3.445,3.4219826345503357,True
3,MZI8_arm0,8,0,14,5.5,5.499208734015068,True
3,MZI8_arm1,8,1,10,3.166,3.066,True
4,MZI5_arm0,5,0,11,4.064,4.064,False
4,MZI5_arm1,5,1,7,3.474,3.474,False
4,MZI6_arm0,6,0,12,3.984,3.9847675967322003,True
4,MZI6_arm1,6,1,8,3.372,3.339312720727354,True
4,MZI7_arm0,7,0,13,3.828,3.828,False
4,MZI7_arm1,7,1,9,3.422,3.322,True
4,MZI8_arm0,8,0,14,5.499,5.499,False
4,MZI8_arm1,8,1,10,3.066,3.066,False
5,MZI5_arm0,5,0,11,4.064,4.025511974880382,True
5,MZI5_arm1,5,1,7,3.474,3.4650345474706916,True
5,MZI6_arm0,6,0,12,3.985,3.985,False
5,MZI6_arm1,6,1,8,3.339,3.325947667060289,True
5,MZI7_arm0,7,0,13,3.828,3.854193401537175,True
5,MZI7_arm1,7,1,9,3.322,3.3054422078799464,True
5,MZI8_arm0,8,0,14,5.499,5.498753775742754,True
5,MZI8_arm1,8,1,10,3.066,3.0302187874633613,True
6,MZI5_arm0,5,0,11,4.026,4.04571167346554,True
6,MZI5_arm1,5,1,7,3.465,3.4524644485140414,True
6,MZI6_arm0,6,0,12,3.985,4.000272019043302,True
6,MZI6_arm1,6,1,8,3.326,3.305480575954882,True
6,MZI7_arm0,7,0,13,3.854,3.854,False
6,MZI7_arm1,7,1,9,3.305,3.2181587267312715,True
6,MZI8_arm0,8,0,14,5.499,5.499,False
6,MZI8_arm1,8,1,10,3.03,3.03,False
7,MZI5_arm0,5,0,11,4.046,4.059010573630899,True
7,MZI5_arm1,5,1,7,3.452,3.4521458957514715,True
7,MZI6_arm0,6,0,12,4.0,4.1,True
7,MZI6_arm1,6,1,8,3.305,3.3064273820360826,True
7,MZI7_arm0,7,0,13,3.854,3.854,False
7,MZI7_arm1,7,1,9,3.218,3.2128344267552422,True
7,MZI8_arm0,8,0,14,5.499,5.499,False
7,MZI8_arm1,8,1,10,3.03,3.03,False
8,MZI5_arm0,5,0,11,4.059,4.159,True
8,MZI5_arm1,5,1,7,3.452,3.552,True
8,MZI6_arm0,6,0,12,4.1,4.085580650781453,True
8,MZI6_arm1,6,1,8,3.306,3.29218978422179,True
8,MZI7_arm0,7,0,13,3.854,3.8538083895760527,True
8,MZI7_arm1,7,1,9,3.213,3.2130174852094147,True
8,MZI8_arm0,8,0,14,5.499,5.499,False
8,MZI8_arm1,8,1,10,3.03,3.03,False
9,MZI5_arm0,5,0,11,4.159,4.16081342941273,True
9,MZI5_arm1,5,1,7,3.552,3.552,False
9,MZI6_arm0,6,0,12,4.086,4.0857883676208555,True
9,MZI6_arm1,6,1,8,3.292,3.2926820656391755,True
9,MZI7_arm0,7,0,13,3.854,3.853994585068555,True
9,MZI7_arm1,7,1,9,3.213,3.213,False
9,MZI8_arm0,8,0,14,5.499,5.499,False
9,MZI8_arm1,8,1,10,3.03,3.03,False
