mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,phase_offset,initial_voltage,mode
5,2,0,11,3.404,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.3715672471954217,inter_cali_pair_pi0_prebiased
5,2,1,7,3.658,0.0,0.0,0.0,3.658,inter_cali_pair_pi0_prebiased
6,2,0,12,3.497,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.5120654254806616,inter_cali_pair_pi0_prebiased
6,2,1,8,3.525,0.0,0.0,0.0,3.525,inter_cali_pair_pi0_prebiased
7,2,0,13,3.273,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.188727628358539,inter_cali_pair_pi0_prebiased
7,2,1,9,3.503,0.0,0.0,0.0,3.503,inter_cali_pair_pi0_prebiased
8,2,0,14,5.095,3.141592653589793,3.141592653589793,0.0,5.095,inter_cali_pair_pi0_prebiased
8,2,1,10,3.166,0.0,0.0,0.0,3.166,inter_cali_pair_pi0_prebiased
9,3,0,76,4.133,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.3392109709317777,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
9,3,1,72,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
10,3,0,75,4.293,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.502115091987512,inter_cali_pair_pi0_prebiased
10,3,1,71,4.193,0.0,0.0,0.0,4.193,inter_cali_pair_pi0_prebiased
11,3,0,74,4.149,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.3597423916166687,inter_cali_pair_pi0_prebiased
11,3,1,70,3.972,0.0,0.0,0.0,3.972,inter_cali_pair_pi0_prebiased
12,3,0,73,3.822,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.928708742928414,inter_cali_pair_pi0_prebiased
12,3,1,69,3.928,0.0,0.0,0.0,3.928,inter_cali_pair_pi0_prebiased
13,4,0,19,4.021,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.193122903556309,inter_cali_pair_pi0_prebiased
13,4,1,15,4.117,0.0,0.0,0.0,4.117,inter_cali_pair_pi0_prebiased
14,4,0,20,3.872,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.009662610801326,inter_cali_pair_pi0_prebiased
14,4,1,16,3.821,0.0,0.0,0.0,3.821,inter_cali_pair_pi0_prebiased
15,4,0,21,3.678,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.758616072596224,inter_cali_pair_pi0_prebiased
15,4,1,17,3.732,0.0,0.0,0.0,3.732,inter_cali_pair_pi0_prebiased
16,4,0,22,5.086,3.141592653589793,3.141592653589793,0.0,5.086,inter_cali_pair_pi0_prebiased
16,4,1,18,3.21,0.0,0.0,0.0,3.21,inter_cali_pair_pi0_prebiased
