port,voltage
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,3.647
8,3.525
9,3.495
10,3.166
11,2.381
12,2.512
13,2.189
14,5.095
15,4.126
16,3.801
17,3.732
18,3.21
19,3.189
20,3.023
21,2.759
22,5.086
23,0.0
24,0.0
25,0.0
26,4.084
27,3.886
28,3.894
29,4.058
30,0.0
31,0.0
32,0.0
33,3.928
34,0.0
35,0.0
36,4.0
37,0.0
38,4.057
39,0.0
40,3.992
41,4.164
42,3.995
43,4.318
44,3.977
45,4.261
46,4.329
47,0.0
48,4.23
49,3.062
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,4.694
66,4.294
67,4.427
68,4.309
69,3.901
70,3.97
71,4.139
72,0.033
73,2.949
74,3.397
75,3.545
76,3.368
77,3.469
78,3.417
79,3.549
80,0.0
81,2.294
82,2.47
83,2.695
84,3.179
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,4.196
100,3.921
101,4.228
102,3.972
103,0.0
104,0.0
105,4.628
106,4.235
107,4.604
108,4.535
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
