port,current_sample_1_mA,current_sample_2_mA,current_sample_3_mA,current_sample_4_mA,current_sample_5_mA
1,-0.0077152050064812966,-0.007707001705038984,-0.007698798403596671,-0.007698798403596671,-0.007707001705038984
2,-0.007756221513692768,-0.007772628116577347,-0.00778083141801966,-0.00778083141801966,-0.007764424815135079
3,-0.007772628116577347,-0.007797238020904239,-0.007821847925231176,-0.007789034719461971,-0.007764424815135079
4,-0.007830051226673445,-0.007805441322346552,-0.007830051226673445,-0.007813644623788866,-0.007813644623788866
5,-0.0077152050064812966,-0.0077152050064812966,-0.007739814910808189,-0.007739814910808189,-0.007739814910808189
6,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06
7,-0.15541564747505698,-0.15543205407794156,-0.15542385077649926,-0.15541564747505698,-0.15540744417361466
8,-0.1489286930004374,-0.1489286930004374,-0.1489286930004374,-0.1489286930004374,-0.1489286930004374
9,-0.13583606064876327,-0.13583606064876327,-0.13583606064876327,-0.13583606064876327,-0.13583606064876327
10,-0.1292897444729076,-0.1292897444729076,-0.1292897444729076,-0.1292897444729076,-0.1292897444729076
11,7.549539129791838,7.546265971703929,7.546265971703929,7.549539129791838,7.549539129791838
12,7.860489148144424,7.860489148144424,7.860489148144424,7.860489148144424,7.860489148144424
13,7.651007030517416,7.651007030517416,7.651007030517416,7.647733872429506,7.647733872429506
14,7.493895442297178,7.493895442297178,7.493895442297178,7.493895442297178,7.493895442297178
15,-0.13392299769623617,-0.13392299769623617,-0.13394760760056304,-0.13395581090200537,-0.13394760760056304
16,-0.13256290256083544,-0.13256290256083544,-0.13256290256083544,-0.13256290256083544,-0.13256290256083544
17,-0.12274342829707055,-0.12274342829707055,-0.12274342829707055,-0.12274342829707055,-0.12274342829707055
18,-0.1096507959453778,-0.1096507959453778,-0.1096507959453778,-0.1096507959453778,-0.1096507959453778
19,7.706650718012096,7.709923876100023,7.706650718012096,7.706650718012096,7.709923876100023
20,8.050332317243885,8.050332317243885,8.050332317243885,8.050332317243885,8.050332317243885
21,7.860489148144424,7.8572159900564955,7.8572159900564955,7.8572159900564955,7.8572159900564955
22,7.56590492023146,7.56590492023146,7.56590492023146,7.56590492023146,7.56590492023146
23,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275
24,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275,-0.2798550165173275
25,-0.11619711212123349,-0.11619711212123349,-0.11292395403330563,-0.11619711212123349,-0.11292395403330563
26,7.778660195946379,7.77538703785845,7.778660195946379,7.778660195946379,7.77538703785845
27,7.182945423944591,7.182945423944591,7.182945423944591,7.182945423944591,7.182945423944591
28,7.176399107768754,7.176399107768754,7.176399107768754,7.176399107768754,7.176399107768754
