port,voltage_v,measured_current_mA,current_std_mA
1,0.0,-0.007707001705038984,6.138788687512738e-06
2,0.0,-0.007772628116577347,9.566611217787766e-06
3,0.0,-0.007789034719461971,2.0093902739873362e-05
4,0.0,-0.007813644623788866,9.84396173075395e-06
5,0.0,-0.007739814910808189,1.2056341643919512e-05
6,0.0,-4.1016507211564516e-06,4.018780547980781e-06
7,0.0,-0.15541564747505698,8.365758826029922e-06
8,0.0,-0.1489286930004374,0.0
9,0.0,-0.13583606064876327,0.0
10,0.0,-0.1292897444729076,0.0
11,4.0,7.549539129791838,0.001603513432568212
12,4.191,7.860489148144424,0.0
13,4.039,7.651007030517416,0.0016035134325686471
14,4.0,7.493895442297178,0.0
15,0.0,-0.13394760760056304,1.3726748804756792e-05
16,0.0,-0.13256290256083544,0.0
17,0.0,-0.12274342829707055,0.0
18,0.0,-0.1096507959453778,1.3877787807814457e-17
19,4.119,7.706650718012096,0.0016035134325769144
20,4.285,8.050332317243885,0.0
21,4.157,7.8572159900564955,0.0013092632351714428
22,3.957,7.56590492023146,8.881784197001252e-16
23,0.0,-0.2798550165173275,0.0
24,0.0,-0.2798550165173275,0.0
25,0.0,-0.11619711212123349,0.0016035134325774174
26,4.084,7.778660195946379,0.0016035134325777846
27,3.886,7.182945423944591,0.0
28,3.894,7.176399107768754,0.0
29,4.058,7.683738611396637,0.0
30,0.0,-0.1096507959453778,1.3877787807814457e-17
31,0.0,-4.1016507211564516e-06,0.0
32,0.0,4.1016507211564516e-06,0.0
33,3.928,7.382608067307835,0.0
34,0.0,-0.19147974814342483,0.0
35,0.0,-0.1783871157917507,0.0
36,4.0,7.598636501110663,0.0
37,0.0,-0.16043606795774334,4.018780547988043e-06
38,4.057,7.628094923901977,8.881784197001252e-16
39,0.0,-0.1587481672642023,0.0
40,3.992,7.542992813616001,0.0
41,4.164,7.7001044018362395,0.0
42,3.995,7.461163861417955,8.881784197001252e-16
43,4.318,8.060151791507652,0.0
44,3.977,7.336783854076919,8.881784197001252e-16
45,4.261,7.955410732694164,0.0
46,4.329,8.00450810401299,0.0
