heater_type,mzi_id,arm_index,port,configured_resistance_ohm,focus_3_4_path,voltage_v,measured_current_mA,current_std_mA,expected_current_mA,measured_resistance_ohm,relative_current_error,relative_current_std,status
input_switch,3,0,41,514.4778300077395,True,4.164,7.7001044018362395,0.0,8.093643218673503,540.771888626213,-0.04862319800918549,0.0,OK
input_switch,4,0,48,509.33194693518095,True,4.23,7.896493887111555,0.0,8.304996428072716,535.6807794031339,-0.04918756371529941,0.0,OK
network,2,0,67,503.9554826555818,True,4.427,8.053605475331814,0.0013092632351707322,8.784506077147975,549.6916894625515,-0.08320338051988228,0.00014904232789782584,OK
network,5,0,11,512.0640000350635,True,4.0,7.549539129791838,0.001603513432568212,7.811523559020164,529.8336668281222,-0.03353819869438987,0.0002052753755977084,OK
network,5,1,7,509.8400242919656,True,0.0,-0.15541564747505698,8.365758826029922e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,6,0,12,514.1361980539365,True,4.191,7.860489148144424,0.0,8.151536530326805,533.1729261389977,-0.03570460380071587,0.0,OK
network,6,1,8,514.6538964400621,True,0.0,-0.1489286930004374,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,10,0,75,542.2481278088666,True,4.332,7.127301736449911,0.0013092632351632716,7.988962576053296,607.8036485877412,-0.10785641206859453,0.00016388401155961773,ANOMALY
network,10,1,71,516.7381927827229,True,0.0,-0.1096507959453778,1.3877787807814457e-17,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,13,0,19,515.872379734469,True,4.119,7.706650718012096,0.0016035134325769144,7.98453292289101,534.4734244115947,-0.0348025623492951,0.00020082745579015287,OK
network,13,1,15,513.2659336360617,True,0.0,-0.13394760760056304,1.3726748804756792e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,14,0,20,512.4072808050088,True,4.285,8.050332317243885,0.0,8.362488513567026,532.2761634102347,-0.037328146498103856,0.0,OK
network,14,1,16,508.4817550515487,True,0.0,-0.13256290256083544,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,18,0,83,519.0299314222328,True,4.269,7.9946886297492235,8.881784197001252e-16,8.224959181645254,533.9795203673755,-0.027996558622430605,1.0798575410345821e-16,OK
network,18,1,79,511.8941990240126,True,0.0,-0.10720484489867156,9.843961730762741e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,21,0,27,520.2666806586822,True,3.886,7.182945423944591,0.0,7.469246339358386,541.0036928647527,-0.038330629678815585,0.0,OK
network,21,1,23,519.0229205586397,True,0.0,-0.2798550165173275,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,22,0,28,521.1519958260816,True,3.894,7.176399107768754,0.0,7.471908447414836,542.6119620053714,-0.0395493790810999,0.0,OK
network,22,1,24,525.1175465365234,True,0.0,-0.2798550165173275,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,26,0,99,515.347890383562,True,4.196,7.867035464320261,0.0,8.142072720773164,533.3648258013222,-0.033779759268323786,0.0,OK
network,26,1,103,513.2659336360588,True,0.0,-0.09676614381334735,6.801818231572573e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,29,0,33,513.2701060266568,True,3.928,7.382608067307835,0.0,7.652890659087008,532.061293812174,-0.03531771245917917,0.0,OK
network,29,1,34,512.7510218079893,True,0.0,-0.19147974814342483,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,30,0,38,512.9298317521508,True,4.057,7.628094923901977,8.881784197001252e-16,7.909463924415212,531.8497004131059,-0.03557371311154158,1.1229312481702645e-16,OK
network,30,1,35,510.1846535453303,True,0.0,-0.1783871157917507,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,34,0,108,514.136198053936,True,4.535,8.315458122365557,3.7170899786379032,8.82061993916299,545.3698320965023,-0.05727055697690208,0.42140915312927846,UNSTABLE
