mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,folded_target_phase,phase_wrap_cycles,phase_offset,initial_voltage,mode
5,2,0,11,3.404,3.141592653589793,3.22217,3.22217,0,0.08057734641020708,3.437531842164309,inter_cali_pair_pi0_prebiased
5,2,1,7,3.658,0.0,0.85966,0.8596599999999999,0,0.8596599999999999,3.9763077606316717,inter_cali_pair_pi0_prebiased
6,2,0,12,3.497,3.141592653589793,2.44734,2.44734,0,-0.694252653589793,3.2042355311917805,inter_cali_pair_pi0_prebiased
6,2,1,8,3.525,0.0,0.0,0.0,0,0.0,3.525,inter_cali_pair_pi0_prebiased
7,2,0,13,3.273,3.141592653589793,3.14159,3.14159,0,-2.6535897932333796e-06,3.2729988537807984,inter_cali_pair_pi0_prebiased
7,2,1,9,3.503,0.0,0.0,0.0,0,0.0,3.503,inter_cali_pair_pi0_prebiased
8,2,0,14,5.095,3.141592653589793,3.14159,3.14159,0,-2.6535897932333796e-06,5.094999262046237,inter_cali_pair_pi0_prebiased
8,2,1,10,3.166,0.0,0.0,0.0,0,0.0,3.166,inter_cali_pair_pi0_prebiased
9,3,0,76,4.873,3.141592653589793,5.50353,5.50353,0,2.3619373464102065,5.5,inter_cali_pair_pi0_prebiased
9,3,1,72,4.945,0.0,2.36193,2.36193,0,2.36193,5.5,inter_cali_pair_pi0_prebiased
10,3,0,75,5.282,3.141592653589793,-1.4454,4.837785307179586,1,1.6961926535897929,5.5,inter_cali_pair_pi0_prebiased
10,3,1,71,4.972,0.0,-2.37455,-2.37455,0,-2.37455,4.220750849618885,inter_cali_pair_pi0_prebiased
11,3,0,74,4.837,3.141592653589793,0.0,0.0,0,-3.141592653589793,3.8088148953498826,inter_cali_pair_pi0_prebiased
11,3,1,70,4.689,0.0,3.14159,3.14159,0,3.14159,5.5,inter_cali_pair_pi0_prebiased
12,3,0,73,4.639,3.141592653589793,3.14159,3.14159,0,-2.6535897932333796e-06,4.638999176500578,inter_cali_pair_pi0_prebiased
12,3,1,69,4.729,0.0,0.0,0.0,0,0.0,4.729,inter_cali_pair_pi0_prebiased
13,4,0,19,4.021,3.141592653589793,1.83759,1.83759,0,-1.304002653589793,3.528445596034857,inter_cali_pair_pi0_prebiased
13,4,1,15,4.117,0.0,0.85606,0.8560600000000003,0,0.8560600000000003,4.40075444052864,inter_cali_pair_pi0_prebiased
14,4,0,20,3.872,3.141592653589793,1.47986,1.47986,0,-1.6617326535897932,3.206865503617416,inter_cali_pair_pi0_prebiased
14,4,1,16,3.821,0.0,0.0,0.0,0,0.0,3.821,inter_cali_pair_pi0_prebiased
15,4,0,21,3.678,3.141592653589793,3.14159,3.14159,0,-2.6535897932333796e-06,3.677998980732852,inter_cali_pair_pi0_prebiased
15,4,1,17,3.732,0.0,0.0,0.0,0,0.0,3.732,inter_cali_pair_pi0_prebiased
16,4,0,22,5.086,3.141592653589793,3.14159,3.14159,0,-2.6535897932333796e-06,5.0859992709281086,inter_cali_pair_pi0_prebiased
16,4,1,18,3.21,0.0,0.0,0.0,0,0.0,3.21,inter_cali_pair_pi0_prebiased
17,5,0,84,4.004,3.141592653589793,4.66008,4.66008,0,1.5184873464102067,4.506496265303981,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
17,5,1,80,0.0,0.0,1.51849,1.51849,0,1.51849,2.073515939705408,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
18,5,0,83,3.623,3.141592653589793,1.46754,1.46754,0,-1.674052653589793,2.894837206155632,inter_cali_pair_pi0_prebiased
18,5,1,79,3.574,0.0,0.0,0.0,0,0.0,3.574,inter_cali_pair_pi0_prebiased
19,5,0,82,3.458,3.141592653589793,0.0,0.0,0,-3.141592653589793,1.7474388116290664,inter_cali_pair_pi0_prebiased
19,5,1,78,3.443,0.0,3.14159,3.14159,0,3.14159,4.572300185772078,inter_cali_pair_pi0_prebiased
20,5,0,81,3.345,3.141592653589793,3.14159,3.14159,0,-2.6535897932333796e-06,3.34499887772092,inter_cali_pair_pi0_prebiased
20,5,1,77,3.469,0.0,0.0,0.0,0,0.0,3.469,inter_cali_pair_pi0_prebiased
