theta1,theta2
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
4.609049999999999869e+00,2.728099999999999969e+00
1.397869999999999946e+00,9.407000000000000084e-02
2.346880000000000077e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
7.669400000000000439e+00,4.527809999999999668e+00
4.137559999999999683e+00,1.822170000000000067e+00
1.656989999999999963e+00,1.188090000000000090e+00
0.000000000000000000e+00,3.141589999999999883e+00
2.919189999999999952e+00,1.636549999999999949e+00
-2.936910000000000132e+00,-3.839379999999999793e+00
3.218199999999999950e-01,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
6.455980000000000274e+00,3.314389999999999947e+00
5.114720000000000155e+00,4.120040000000000369e+00
4.157289999999999708e+00,2.952360000000000095e+00
0.000000000000000000e+00,3.141589999999999883e+00
-3.550479999999999858e+00,-4.741769999999999818e+00
-2.920819999999999972e+00,-4.176650000000000418e+00
1.271519999999999984e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
6.414609999999999701e+00,3.273019999999999818e+00
2.176930000000000032e+00,1.224290000000000100e+00
3.036210000000000075e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141589999999999883e+00
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
3.141589999999999883e+00,0.000000000000000000e+00
