mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,folded_target_phase,phase_wrap_cycles,voltage_wrap_cycles,total_wrap_cycles,canonical_phase_offset,phase_offset,canonical_voltage,initial_voltage,mode
5,2,0,11,3.404,3.141592653589793,3.1143492408503617,3.1143492408503617,0,0,0,-0.027243412739431427,-0.027243412739431427,3.3925878260799798,3.3925878260799798,inter_cali_pair_pi0_prebiased
5,2,1,7,3.658,0.0,2.554415060666681,2.554415060666681,0,0,0,2.554415060666681,2.554415060666681,4.538909873145606,4.538909873145606,inter_cali_pair_pi0_prebiased
6,2,0,12,3.497,3.141592653589793,3.6197803141559697,3.6197803141559697,0,0,0,0.47818766056617656,0.47818766056617656,3.6851480466767077,3.6851480466767077,inter_cali_pair_pi0_prebiased
6,2,1,8,3.525,0.0,2.0489839873610727,2.0489839873610727,0,0,0,2.0489839873610727,2.0489839873610727,4.268385886622504,4.268385886622504,inter_cali_pair_pi0_prebiased
7,2,0,13,3.273,3.141592653589793,2.5535900500422253,2.5535900500422253,0,0,0,-0.5880026035475678,-0.5880026035475678,3.0083091702873967,3.0083091702873967,inter_cali_pair_pi0_prebiased
7,2,1,9,3.503,0.0,0.0,0.0,0,0,0,0.0,0.0,3.503,3.503,inter_cali_pair_pi0_prebiased
8,2,0,14,5.095,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,5.095,5.095,inter_cali_pair_pi0_prebiased
8,2,1,10,3.166,0.0,0.0,0.0,0,0,0,0.0,0.0,3.166,3.166,inter_cali_pair_pi0_prebiased
9,3,0,76,4.873,3.141592653589793,4.241594740553511,4.241594740553511,0,0,0,1.100002086963718,1.100002086963718,5.18279382205832,5.18279382205832,inter_cali_pair_pi0_prebiased
9,3,1,72,4.945,0.0,1.100002086963718,1.100002086963718,0,0,0,1.100002086963718,1.100002086963718,5.250231003742275,5.250231003742275,inter_cali_pair_pi0_prebiased
10,3,0,75,5.282,3.141592653589793,3.8756508812265222,3.8756508812265222,0,0,0,0.7340582276367291,0.7340582276367291,5.4972830328203495,5.4972830328203495,inter_cali_pair_pi0_prebiased
10,3,1,71,4.972,0.0,1.4659459462907076,1.4659459462907076,0,0,0,1.4659459462907076,1.4659459462907076,5.383705282544285,5.383705282544285,inter_cali_pair_pi0_prebiased
11,3,0,74,4.837,3.141592653589793,1.0867928859062308,1.0867928859062308,0,0,0,-2.054799767683562,-2.054799767683562,4.19312252337652,4.19312252337652,inter_cali_pair_pi0_prebiased
11,3,1,70,4.689,0.0,1.0867928859062306,1.0867928859062306,0,0,0,1.0867928859062306,1.0867928859062306,5.007871733669113,5.007871733669113,inter_cali_pair_pi0_prebiased
12,3,0,73,4.639,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,3.5319679148256715,3.5319679148256715,inter_cali_pair_pi0_prebiased
12,3,1,69,4.729,0.0,3.141592653589793,3.141592653589793,0,-1,-1,3.141592653589793,-3.141592653589793,5.6063721308131695,3.64629586441383,inter_cali_pair_pi0_prebiased
13,4,0,19,4.021,3.141592653589793,0.7038453452565849,0.7038453452565849,0,0,0,-2.437747308333208,-2.437747308333208,3.035939031107033,3.035939031107033,inter_cali_pair_pi0_prebiased
13,4,1,15,4.117,0.0,0.26416153652074836,0.26416153652074836,0,0,0,0.26416153652074836,0.26416153652074836,4.206602847080897,4.206602847080897,inter_cali_pair_pi0_prebiased
