global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,heater_label,heater_port,mzi_id,arm_index,voltage_before,voltage_after,gradient,accepted,line_search_trials,lr_start,lr_used,lr_next,update_mode,coarse_search_trials,coarse_search_step_v
8,2,optimized,,0,1.0426933627957082,1.0426933627957082,MZI5_arm0,11,5,0,4.0,4.0,-0.09558077398091988,False,7,0.1,0.1,0.05,rejected,0,0.0
8,2,optimized,,0,1.0426933627957082,0.7072599440962851,MZI5_arm1,7,5,1,0.0,2.5,0.008794997824068673,True,0,0.1,0.1,0.15000000000000002,lower_boundary_coarse_search,11,2.5
8,2,optimized,,0,0.7072599440962851,0.7068723633898764,MZI6_arm0,12,6,0,4.191,4.190687209709749,0.050046446440108985,True,5,0.1,0.00625,0.009375000000000001,line_search,0,0.0
8,2,optimized,,0,0.7068723633898764,0.34248466373473113,MZI6_arm1,8,6,1,0.0,5.5,-0.03176787209764331,True,7,0.1,0.1,0.15000000000000002,lower_boundary_coarse_search,11,5.5
8,2,optimized,,0,0.34248466373473113,0.31245935369028477,MZI7_arm0,13,7,0,4.039,4.09046258419012,-0.5146258419012005,True,1,0.1,0.1,0.15000000000000002,line_search,0,0.0
8,2,optimized,,0,0.31245935369028477,0.015316567253803332,MZI7_arm1,9,7,1,0.0,5.0,0.006436756775479724,True,0,0.1,0.1,0.15000000000000002,lower_boundary_coarse_search,11,5.0
8,2,optimized,,0,0.015316567253803332,0.01528336994208015,MZI8_arm0,14,8,0,4.0,3.9999737265399817,0.002101876801470395,True,4,0.1,0.0125,0.018750000000000003,line_search,0,0.0
8,2,optimized,,0,0.01528336994208015,0.013416548743042137,MZI8_arm1,10,8,1,0.0,4.0,0.022541046845632202,True,0,0.1,0.1,0.15000000000000002,lower_boundary_coarse_search,11,4.0
8,2,optimized,,1,0.013347059299574275,0.013171682157875352,MZI7_arm0,13,7,0,4.09,4.085914157748644,0.027238948342368757,True,1,0.15000000000000002,0.15000000000000002,0.22500000000000003,line_search,0,0.0
8,2,optimized,,1,0.013171682157875352,0.01276096693018985,MZI5_arm0,11,5,0,4.0,4.005050280941957,-0.10100561883913432,True,1,0.05,0.05,0.07500000000000001,line_search,0,0.0
8,2,optimized,,1,0.01276096693018985,0.01276096693018985,MZI6_arm0,12,6,0,4.191,4.191,-0.13559097964189065,False,4,0.009375000000000001,0.009375000000000001,0.004687500000000001,rejected,0,0.0
8,2,optimized,,1,0.01276096693018985,0.01276096693018985,MZI6_arm1,8,6,1,5.5,5.5,-0.009103623950368366,False,0,0.15000000000000002,0.15000000000000002,0.07500000000000001,rejected,0,0.0
8,2,optimized,,1,0.01276096693018985,0.01276096693018985,MZI8_arm1,10,8,1,4.0,4.0,-7.462791474189829e-05,False,8,0.15000000000000002,0.15000000000000002,0.07500000000000001,rejected,0,0.0
8,2,optimized,,1,0.01276096693018985,0.01276096693018985,MZI5_arm1,7,5,1,2.5,2.5,0.07124380410530796,False,8,0.15000000000000002,0.15000000000000002,0.07500000000000001,rejected,0,0.0
8,2,optimized,,1,0.01276096693018985,0.01276096693018985,MZI7_arm1,9,7,1,5.0,5.0,-0.035761970696639105,False,8,0.15000000000000002,0.15000000000000002,0.07500000000000001,rejected,0,0.0
8,2,optimized,,1,0.01276096693018985,0.01276096693018985,MZI8_arm0,14,8,0,4.0,4.0,0.002129733751372767,False,5,0.018750000000000003,0.018750000000000003,0.009375000000000001,rejected,0,0.0
8,2,optimized,,2,0.013081029503805264,0.013081029503805264,MZI6_arm0,12,6,0,4.191,4.191,-0.13017392859105736,False,3,0.004687500000000001,0.004687500000000001,0.0023437500000000003,rejected,0,0.0
8,2,optimized,,2,0.013081029503805264,0.012495438042127676,MZI5_arm0,11,5,0,4.005,4.011007650803305,-0.08010201071073264,True,1,0.07500000000000001,0.07500000000000001,0.11250000000000002,line_search,0,0.0
8,2,optimized,,2,0.012495438042127676,0.01210161323865999,MZI5_arm1,7,5,1,2.5,2.4999304882207762,0.059316718270966275,True,7,0.07500000000000001,0.0011718750000000002,0.0017578125000000003,line_search,0,0.0
8,2,optimized,,2,0.01210161323865999,0.012094265279040797,MZI7_arm1,9,7,1,5.0,5.001119551754361,-0.02985471344964231,True,2,0.07500000000000001,0.037500000000000006,0.05625000000000001,line_search,0,0.0
8,2,optimized,,2,0.012094265279040797,0.012094265279040797,MZI7_arm0,13,7,0,4.086,4.086,0.021993820384155666,False,8,0.22500000000000003,0.22500000000000003,0.11250000000000002,rejected,0,0.0
8,2,optimized,,2,0.012094265279040797,0.012094265279040797,MZI6_arm1,8,6,1,5.5,5.5,-0.007312455214658516,False,0,0.07500000000000001,0.07500000000000001,0.037500000000000006,rejected,0,0.0
8,2,optimized,,2,0.012094265279040797,0.012094265279040797,MZI8_arm0,14,8,0,4.0,4.0,0.0005116200751043333,False,4,0.009375000000000001,0.009375000000000001,0.004687500000000001,rejected,0,0.0
8,2,optimized,,2,0.012094265279040797,0.012094265279040797,MZI8_arm1,10,8,1,4.0,4.0,-0.006879624529914442,False,7,0.07500000000000001,0.07500000000000001,0.037500000000000006,rejected,0,0.0
8,2,optimized,,3,0.012984200472183393,0.012225855625703889,MZI6_arm0,12,6,0,4.191,4.191288623470266,-0.12314601398014295,True,1,0.0023437500000000003,0.0023437500000000003,0.0035156250000000005,line_search,0,0.0
8,2,optimized,,3,0.012225855625703889,0.011992033125157358,MZI5_arm0,11,5,0,4.011,4.023032256596215,-0.10695339196635391,True,1,0.11250000000000002,0.11250000000000002,0.16875,line_search,0,0.0
8,2,optimized,,3,0.011992033125157358,0.011983380681278211,MZI5_arm1,7,5,1,2.5,2.49990114768437,0.056235984002833646,True,1,0.0017578125000000003,0.0017578125000000003,0.00263671875,line_search,0,0.0
8,2,optimized,,3,0.011983380681278211,0.011800123846182066,MZI7_arm1,9,7,1,5.001,5.003240015699493,-0.03982250132431624,True,1,0.05625000000000001,0.05625000000000001,0.084375,line_search,0,0.0
8,2,optimized,,3,0.011800123846182066,0.011677091253730232,MZI7_arm0,13,7,0,4.086,4.085257479755624,0.013200359900020154,True,2,0.11250000000000002,0.05625000000000001,0.084375,line_search,0,0.0
8,2,optimized,,3,0.011677091253730232,0.011677091253730232,MZI6_arm1,8,6,1,5.5,5.5,0.0023018894706248465,False,6,0.037500000000000006,0.037500000000000006,0.018750000000000003,rejected,0,0.0
8,2,optimized,,3,0.011677091253730232,0.01133955267684338,MZI8_arm1,10,8,1,4.0,3.999693582555453,0.008171131854583544,True,1,0.037500000000000006,0.037500000000000006,0.05625000000000001,line_search,0,0.0
8,2,optimized,,3,0.01133955267684338,0.01133955267684338,MZI8_arm0,14,8,0,4.0,4.0,-0.001931312902588346,False,3,0.004687500000000001,0.004687500000000001,0.0023437500000000003,rejected,0,0.0
8,2,optimized,,4,0.012036673223955003,0.011118748827986783,MZI6_arm0,12,6,0,4.191,4.191406508353162,-0.11562904267715528,True,1,0.0035156250000000005,0.0035156250000000005,0.0052734375,line_search,0,0.0
8,2,optimized,,4,0.011118748827986783,0.009099525096451629,MZI5_arm0,11,5,0,4.023,4.037575410863952,-0.0863728051197158,True,1,0.16875,0.16875,0.25312500000000004,line_search,0,0.0
8,2,optimized,,4,0.009099525096451629,0.009099525096451629,MZI5_arm1,7,5,1,2.5,2.5,0.04611046437556182,False,2,0.00263671875,0.00263671875,0.001318359375,rejected,0,0.0
8,2,optimized,,4,0.009099525096451629,0.008917761853744053,MZI7_arm1,9,7,1,5.003,5.004978731981622,-0.023451638300709256,True,1,0.084375,0.084375,0.12656250000000002,line_search,0,0.0
8,2,optimized,,4,0.008917761853744053,0.008917761853744053,MZI7_arm0,13,7,0,4.085,4.085,0.021505590905562012,False,7,0.084375,0.084375,0.0421875,rejected,0,0.0
8,2,optimized,,4,0.008917761853744053,0.008917761853744053,MZI8_arm1,10,8,1,4.0,4.0,-0.01630390101927578,False,6,0.05625000000000001,0.05625000000000001,0.028125000000000004,rejected,0,0.0
8,2,optimized,,4,0.008917761853744053,0.008917761853744053,MZI6_arm1,8,6,1,5.5,5.5,0.018541301182117706,False,5,0.018750000000000003,0.018750000000000003,0.009375000000000001,rejected,0,0.0
8,2,optimized,,4,0.008917761853744053,0.008917761853744053,MZI8_arm0,14,8,0,4.0,4.0,0.024577078626791763,False,2,0.0023437500000000003,0.0023437500000000003,0.0011718750000000002,rejected,0,0.0
