mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,phase_offset,initial_voltage,mode
5,2,0,11,4.0,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.0,mzi_table_upper_bar_lower_zero
5,2,1,7,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
6,2,0,12,4.191,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.191,mzi_table_upper_bar_lower_zero
6,2,1,8,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
7,2,0,13,4.039,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.039,mzi_table_upper_bar_lower_zero
7,2,1,9,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
8,2,0,14,4.0,3.141592653589793,3.141592653589793,0.0,4.0,mzi_table_upper_bar_lower_zero
8,2,1,10,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
9,3,0,76,4.133,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.133,mzi_table_upper_bar_lower_zero
9,3,1,72,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
10,3,0,75,4.332,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.332,mzi_table_upper_bar_lower_zero
10,3,1,71,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
11,3,0,74,4.394,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.394,mzi_table_upper_bar_lower_zero
11,3,1,70,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
12,3,0,73,4.16,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.16,mzi_table_upper_bar_lower_zero
12,3,1,69,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
13,4,0,19,4.119,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.119,mzi_table_upper_bar_lower_zero
13,4,1,15,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
14,4,0,20,4.285,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.285,mzi_table_upper_bar_lower_zero
14,4,1,16,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
15,4,0,21,4.157,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.157,mzi_table_upper_bar_lower_zero
15,4,1,17,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
16,4,0,22,3.957,3.141592653589793,3.141592653589793,0.0,3.957,mzi_table_upper_bar_lower_zero
16,4,1,18,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
17,5,0,84,4.004,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.004,mzi_table_upper_bar_lower_zero
17,5,1,80,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
18,5,0,83,4.269,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.269,mzi_table_upper_bar_lower_zero
18,5,1,79,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
19,5,0,82,4.255,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.255,mzi_table_upper_bar_lower_zero
19,5,1,78,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
20,5,0,81,4.131,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.131,mzi_table_upper_bar_lower_zero
20,5,1,77,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
21,6,0,27,3.886,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.886,mzi_table_upper_bar_lower_zero
21,6,1,23,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
22,6,0,28,3.894,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.894,mzi_table_upper_bar_lower_zero
22,6,1,24,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero
