port,voltage
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,2.5
8,5.5
9,5.005
10,4.0
11,4.092
12,4.191
13,4.084
14,4.0
15,5.5
16,2.499
17,0.003
18,0.0
19,4.137
20,4.286
21,4.69
22,3.937
23,3.5
24,5.5
25,3.499
26,4.083
27,4.157
28,3.858
29,4.133
30,3.999
31,0.0
32,0.0
33,3.928
34,0.0
35,0.0
36,4.0
37,0.0
38,4.057
39,0.0
40,3.992
41,4.164
42,3.995
43,4.318
44,3.977
45,4.261
46,4.329
47,0.0
48,4.23
49,3.062
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,4.694
66,4.294
67,4.427
68,4.309
69,2.017
70,0.002
71,3.0
72,2.492
73,4.014
74,4.983
75,4.19
76,4.184
77,2.376
78,0.001
79,2.001
80,4.994
81,4.131
82,4.835
83,4.076
84,4.006
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,2.981
98,5.498
99,4.196
100,3.852
101,4.299
102,4.015
103,5.0
104,2.522
105,4.628
106,4.235
107,4.604
108,4.535
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
