run,network_mode,file,row,field,voltage_v
run_20260720_100731,,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260720_100731,,pass_through_voltage.csv,74,voltage,4.332
run_20260720_101225,,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260720_101225,,pass_through_voltage.csv,74,voltage,4.332
run_20260720_104412,,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260720_104412,,pass_through_voltage.csv,74,voltage,4.332
run_20260720_110550,inference-file,inference_network_voltage.csv,74,voltage,4.311
run_20260720_110550,inference-file,inference_voltage_loaded.csv,74,voltage,4.311
run_20260720_124011,pass-through,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260720_124011,pass-through,pass_through_voltage.csv,74,voltage,4.332
run_20260720_125935,inference-file,inference_network_voltage.csv,74,voltage,4.311
run_20260720_125935,inference-file,inference_voltage_loaded.csv,74,voltage,4.311
run_20260720_140500,pass-through,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260720_140500,pass-through,pass_through_voltage.csv,74,voltage,4.332
run_20260720_150856,inference-file,inference_network_voltage.csv,74,voltage,4.311
run_20260720_150856,inference-file,inference_voltage_loaded.csv,74,voltage,4.311
run_20260720_154320,inference-file,inference_network_voltage.csv,74,voltage,4.311
run_20260720_154320,inference-file,inference_voltage_loaded.csv,74,voltage,4.311
run_20260720_160509,inference-file,inference_network_voltage.csv,74,voltage,4.311
run_20260720_160509,inference-file,inference_voltage_loaded.csv,74,voltage,4.311
run_20260720_160739,inference-file,inference_network_voltage.csv,74,voltage,4.311
run_20260720_160739,inference-file,inference_voltage_loaded.csv,74,voltage,4.311
run_20260720_162747,pass-through,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260720_162747,pass-through,pass_through_voltage.csv,74,voltage,4.332
run_20260720_193925,inference-file,inference_network_voltage.csv,74,voltage,4.311
run_20260720_193925,inference-file,inference_voltage_loaded.csv,74,voltage,4.311
run_20260720_211008,inference-file,inference_network_voltage.csv,74,voltage,4.311
run_20260720_211008,inference-file,inference_voltage_loaded.csv,74,voltage,4.311
run_20260721_111449,pass-through,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260721_111449,pass-through,pass_through_voltage.csv,74,voltage,4.332
run_20260721_111702,pass-through,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260721_111702,pass-through,pass_through_voltage.csv,74,voltage,4.332
run_20260721_134247,inference-file,inference_network_voltage.csv,74,voltage,4.311
run_20260721_134247,inference-file,inference_voltage_loaded.csv,74,voltage,4.311
