sample_index,label,prediction,correct,measured_output_power_0,measured_output_power_1,measured_output_power_2,measured_output_power_3,measured_output_power_4,measured_output_power_5,measured_output_power_6,measured_output_power_7,measured_output_power_sum
0,7,7,1,1.710322e-06,3.85691e-07,2.192815e-06,9.302271e-07,4.287683e-06,2.947671e-06,1.835838e-05,8.633383e-05,0.00011714661910000002
1,2,2,1,7.231919e-05,5.408154e-07,7.558732e-05,1.27577e-05,6.700023e-07,1.683282e-06,1.592183e-06,4.837116e-07,0.0001656342043
2,1,1,1,1.70755e-07,8.293392e-05,5.698e-05,1.293824e-05,6.162879e-07,1.152972e-06,1.445278e-06,4.587316e-07,0.00015669618449999997
3,0,0,1,0.0001130788,6.030744e-05,1.82603e-06,2.002714e-07,4.799014e-06,1.78223e-06,2.295409e-06,7.049618e-07,0.0001849941562
4,4,4,1,5.98467e-06,1.750842e-06,3.525072e-05,2.502216e-05,5.794154e-05,2.342787e-05,8.054716e-07,6.847336e-07,0.0001508680072
5,1,1,1,1.671254e-07,8.373636e-05,5.755261e-05,1.254885e-05,8.923519e-07,2.640494e-05,6.291023e-07,5.226706e-07,0.0001824540102
6,4,4,1,5.162887e-06,2.174076e-06,3.783909e-05,2.638905e-05,5.409008e-05,2.453342e-05,8.213081e-07,5.565647e-07,0.0001515664758
7,5,5,1,5.603305e-06,1.231773e-06,2.562678e-06,4.441639e-07,4.022255e-07,8.42311e-05,6.880001e-05,1.244295e-06,0.0001645195504
8,0,0,1,0.0001147139,5.990022e-05,1.855471e-06,1.726271e-07,5.563258e-06,1.995375e-06,1.832739e-06,6.156279e-07,0.000186649218
9,6,6,1,2.704124e-06,1.501006e-06,9.842458e-06,1.325586e-05,7.009993e-05,2.965884e-07,6.129302e-05,1.155205e-06,0.0001601481914
10,0,0,1,0.0001200449,6.55765e-05,1.931232e-06,1.471856e-07,4.542323e-06,1.523146e-06,1.296811e-06,4.825296e-07,0.0001955446272
11,1,1,1,1.681178e-07,8.183334e-05,5.68855e-05,1.289069e-05,6.247043e-07,1.278702e-06,2.121505e-06,2.101802e-07,0.00015601273929999999
12,5,5,1,3.411682e-06,2.095677e-06,5.486451e-07,1.681387e-07,4.963233e-07,9.80183e-05,7.17256e-05,1.272109e-06,0.00017773647509999998
13,7,7,1,1.652227e-06,4.847344e-07,1.622913e-06,7.830013e-07,4.305843e-06,2.864162e-06,1.860747e-05,8.87288e-05,0.00011904915069999998
14,3,3,1,1.671945e-06,5.785807e-06,1.106933e-05,4.071095e-05,1.51574e-05,8.722334e-05,5.718317e-07,7.196049e-08,0.00016226256419
15,4,4,1,6.11619e-06,1.686905e-06,3.620894e-05,2.55038e-05,5.581943e-05,2.380477e-05,8.051097e-07,7.59399e-07,0.0001507045437
16,6,6,1,2.719962e-06,1.121255e-06,1.033504e-05,1.265149e-05,6.946854e-05,2.875804e-07,6.308684e-05,1.165382e-06,0.0001608360894
17,6,6,1,2.321682e-06,1.172222e-06,1.223047e-05,1.272561e-05,6.886382e-05,3.001276e-07,6.009364e-05,1.147833e-06,0.0001588554046
18,5,5,1,3.555019e-06,1.707831e-06,8.370715e-07,2.471303e-07,4.790703e-07,9.793173e-05,7.060463e-05,1.259328e-06,0.00017662181009999998
19,4,4,1,6.264148e-06,1.798983e-06,3.446636e-05,2.464431e-05,5.814619e-05,2.405361e-05,8.116818e-07,6.496695e-07,0.0001508349523
