input_channel,switch_mzi,port,feature_coefficient,upload_voltage,mode,local_sample_row,sample_index
1,1,43,0.0485337525606,4.259,voltage-linear,0,0
2,2,45,0.0458595342934,4.203,voltage-linear,0,0
3,3,41,0.0544518083334,4.093,voltage-linear,0,0
4,4,48,0.0657622739673,4.147,voltage-linear,0,0
5,5,44,0.0749263688922,3.874,voltage-linear,0,0
6,6,46,0.0799722149968,4.229,voltage-linear,0,0
7,7,42,0.160903915763,3.777,voltage-linear,0,0
8,8,49,0.469590127468,3.715,voltage-linear,0,0
1,1,43,0.301127493382,3.954,voltage-linear,1,1
2,2,45,3.94923372369e-05,4.261,voltage-linear,1,1
3,3,41,0.26051941514,3.824,voltage-linear,1,1
4,4,48,0.253521502018,3.911,voltage-linear,1,1
5,5,44,0.0002314686717,3.977,voltage-linear,1,1
6,6,46,0.0624659284949,4.251,voltage-linear,1,1
7,7,42,0.0642028227448,3.908,voltage-linear,1,1
8,8,49,0.0578919053078,4.223,voltage-linear,1,1
1,1,43,3.26168374158e-05,4.318,voltage-linear,2,2
2,2,45,0.345546215773,3.827,voltage-linear,2,2
3,3,41,0.262013673782,3.822,voltage-linear,2,2
4,4,48,0.217885673046,3.956,voltage-linear,2,2
5,5,44,0.00014526292216,3.977,voltage-linear,2,2
6,6,46,0.0563939958811,4.259,voltage-linear,2,2
7,7,42,0.059667006135,3.914,voltage-linear,2,2
8,8,49,0.0583156608045,4.222,voltage-linear,2,2
1,1,43,0.377824693918,3.861,voltage-linear,3,3
2,2,45,0.33141374588,3.845,voltage-linear,3,3
3,3,41,0.000204316718737,4.164,voltage-linear,3,3
4,4,48,0.0104544525966,4.217,voltage-linear,3,3
5,5,44,0.0771631747484,3.871,voltage-linear,3,3
6,6,46,0.0668829903007,4.246,voltage-linear,3,3
7,7,42,0.0722815841436,3.897,voltage-linear,3,3
8,8,49,0.0637750849128,4.215,voltage-linear,3,3
1,1,43,0.0841851308942,4.216,voltage-linear,4,4
2,2,45,0.0608657002449,4.185,voltage-linear,4,4
3,3,41,0.290374070406,3.785,voltage-linear,4,4
4,4,48,2.31218364206e-05,4.23,voltage-linear,4,4
5,5,44,0.297050505877,3.569,voltage-linear,4,4
6,6,46,0.209460422397,4.068,voltage-linear,4,4
7,7,42,2.5633336918e-05,3.995,voltage-linear,4,4
8,8,49,0.0580153763294,4.223,voltage-linear,4,4
1,1,43,3.09886454488e-05,4.318,voltage-linear,5,5
2,2,45,0.346715629101,3.826,voltage-linear,5,5
3,3,41,0.264586389065,3.819,voltage-linear,5,5
4,4,48,0.218158856034,3.956,voltage-linear,5,5
5,5,44,0.00012334738858,3.977,voltage-linear,5,5
6,6,46,0.0551868341863,4.26,voltage-linear,5,5
7,7,42,0.0549744330347,3.921,voltage-linear,5,5
8,8,49,0.0602234564722,4.22,voltage-linear,5,5
1,1,43,0.0785397663713,4.223,voltage-linear,6,6
2,2,45,0.0654622614384,4.179,voltage-linear,6,6
3,3,41,0.300817131996,3.771,voltage-linear,6,6
4,4,48,2.45972569246e-05,4.23,voltage-linear,6,6
5,5,44,0.286758214235,3.583,voltage-linear,6,6
6,6,46,0.21403747797,4.062,voltage-linear,6,6
7,7,42,2.87119764835e-05,3.995,voltage-linear,6,6
8,8,49,0.0543317869306,4.227,voltage-linear,6,6
1,1,43,0.0821578502655,4.219,voltage-linear,7,7
2,2,45,0.0635116994381,4.181,voltage-linear,7,7
3,3,41,0.0774903446436,4.063,voltage-linear,7,7
4,4,48,0.0445003062487,4.174,voltage-linear,7,7
5,5,44,6.78123687976e-05,3.977,voltage-linear,7,7
6,6,46,0.362373530865,3.877,voltage-linear,7,7
7,7,42,0.369786739349,3.494,voltage-linear,7,7
8,8,49,0.000111734851089,4.294,voltage-linear,7,7
1,1,43,0.381147801876,3.857,voltage-linear,8,8
2,2,45,0.329399049282,3.847,voltage-linear,8,8
3,3,41,0.000135435257107,4.164,voltage-linear,8,8
4,4,48,0.00807543098927,4.22,voltage-linear,8,8
5,5,44,0.0832963138819,3.863,voltage-linear,8,8
6,6,46,0.068569727242,4.243,voltage-linear,8,8
7,7,42,0.0697367116809,3.901,voltage-linear,8,8
8,8,49,0.0596395209432,4.221,voltage-linear,8,8
1,1,43,0.0611656270921,4.244,voltage-linear,9,9
2,2,45,0.063919775188,4.181,voltage-linear,9,9
3,3,41,0.0645623728633,4.08,voltage-linear,9,9
4,4,48,0.163718357682,4.024,voltage-linear,9,9
5,5,44,0.324533581734,3.531,voltage-linear,9,9
6,6,46,2.36042287725e-05,4.329,voltage-linear,9,9
7,7,42,0.322052955627,3.559,voltage-linear,9,9
8,8,49,2.3782482458e-05,4.294,voltage-linear,9,9
1,1,43,0.393203645945,3.843,voltage-linear,10,10
2,2,45,0.345258206129,3.827,voltage-linear,10,10
3,3,41,0.000126134444145,4.164,voltage-linear,10,10
4,4,48,0.00693844957277,4.221,voltage-linear,10,10
5,5,44,0.0749541372061,3.874,voltage-linear,10,10
6,6,46,0.0630519092083,4.25,voltage-linear,10,10
7,7,42,0.0589171387255,3.915,voltage-linear,10,10
8,8,49,0.0575502961874,4.223,voltage-linear,10,10
1,1,43,3.31618939526e-05,4.318,voltage-linear,11,11
2,2,45,0.343531191349,3.83,voltage-linear,11,11
3,3,41,0.260054171085,3.825,voltage-linear,11,11
4,4,48,0.219018548727,3.954,voltage-linear,11,11
5,5,44,0.000134584814077,3.977,voltage-linear,11,11
6,6,46,0.0574703924358,4.257,voltage-linear,11,11
7,7,42,0.0691558197141,3.901,voltage-linear,11,11
8,8,49,0.0506021231413,4.232,voltage-linear,11,11
1,1,43,0.0648375675082,4.24,voltage-linear,12,12
2,2,45,0.0774290189147,4.164,voltage-linear,12,12
3,3,41,0.0487771779299,4.1,voltage-linear,12,12
4,4,48,0.0303963851184,4.192,voltage-linear,12,12
5,5,44,3.02568914776e-05,3.977,voltage-linear,12,12
6,6,46,0.397191941738,3.834,voltage-linear,12,12
7,7,42,0.381307035685,3.479,voltage-linear,12,12
8,8,49,3.06172441924e-05,4.294,voltage-linear,12,12
1,1,43,0.0483466051519,4.26,voltage-linear,13,13
2,2,45,0.049028635025,4.199,voltage-linear,13,13
3,3,41,0.0490914955735,4.1,voltage-linear,13,13
4,4,48,0.0603334568441,4.154,voltage-linear,13,13
5,5,44,0.0748635604978,3.874,voltage-linear,13,13
6,6,46,0.0794094875455,4.23,voltage-linear,13,13
7,7,42,0.161924347281,3.776,voltage-linear,13,13
8,8,49,0.477002441883,3.706,voltage-linear,13,13
1,1,43,0.0433258675039,4.266,voltage-linear,14,14
