sample_index,label,theory_vector,actual_vector_lstsq,actual_vector_diag,lstsq_error_vector,lstsq_mae,lstsq_max_abs_error,actual_lstsq_sum,theory_sum,output_power_mae_vs_csv_expected,output_power_max_abs_error_vs_csv_expected
0,7,"[0.0485, 0.0459, 0.0545, 0.0658, 0.0749, 0.0800, 0.1609, 0.4696]","[0.1196, 0.1177, 0.2019, -0.0171, 0.0652, 0.0510, 0.1311, 0.3673]","[0.1205, 0.1212, 0.2005, 0.0560, 0.0668, 0.0539, 0.1329, 0.3695]","[+0.0711, +0.0718, +0.1475, -0.0829, -0.0098, -0.0290, -0.0298, -0.1023]",0.06801043733139553,0.1474513741756153,1.0365345959732493,0.9999999962747,1.2862206387075908e-05,2.1453308276550472e-05
1,2,"[0.3011, 0.0000, 0.2605, 0.2535, 0.0002, 0.0625, 0.0642, 0.0579]","[0.3505, -0.0058, 0.7559, -0.1346, 0.0010, 0.0430, 0.0356, 0.0206]","[0.3513, 0.0020, 0.7110, 0.1279, 0.0050, 0.0443, 0.0379, 0.0228]","[+0.0494, -0.0059, +0.4953, -0.3881, +0.0008, -0.0195, -0.0286, -0.0373]",0.1281217996343321,0.495345484417561,1.0661408862011348,1.000000028096437,1.727578475215788e-05,6.50260637646876e-05
2,1,"[0.0000, 0.3455, 0.2620, 0.2179, 0.0001, 0.0564, 0.0597, 0.0583]","[-0.0013, 0.4761, 0.5890, -0.0628, 0.0014, 0.0362, 0.0339, 0.0193]","[0.0007, 0.4809, 0.5738, 0.1430, 0.0051, 0.0383, 0.0358, 0.0223]","[-0.0014, +0.1306, +0.3270, -0.2807, +0.0012, -0.0201, -0.0257, -0.0390]",0.10321706269367072,0.3269882432635588,1.0919024910505353,1.0000001051811758,1.5582297158410154e-05,4.167473309537695e-05
3,0,"[0.3778, 0.3314, 0.0002, 0.0105, 0.0772, 0.0669, 0.0723, 0.0638]","[0.4444, 0.3634, -0.0082, 0.0349, 0.0787, 0.0399, 0.0449, 0.0236]","[0.4456, 0.3658, 0.0104, 0.0361, 0.0795, 0.0423, 0.0467, 0.0264]","[+0.0666, +0.0320, -0.0084, +0.0244, +0.0015, -0.0270, -0.0274, -0.0402]",0.028436231788361827,0.06661836894689138,1.0214664147015386,1.0000000432188372,6.590734102578469e-06,1.9935421716701847e-05
4,4,"[0.0842, 0.0609, 0.2904, 0.0000, 0.2971, 0.2095, 0.0000, 0.0580]","[0.1640, 0.1413, 0.2549, 0.1085, 0.2480, 0.1487, 0.0010, 0.0250]","[0.1650, 0.1450, 0.2964, 0.2064, 0.2525, 0.1511, 0.0039, 0.0277]","[+0.0798, +0.0805, -0.0355, +0.1085, -0.0490, -0.0607, +0.0009, -0.0330]",0.055984926506708846,0.1084800259274272,1.091505332397382,0.9999999613218387,1.1795996813141503e-05,2.3907001525597096e-05
5,1,"[0.0000, 0.3467, 0.2646, 0.2182, 0.0001, 0.0552, 0.0550, 0.0602]","[-0.0013, 0.4758, 0.5953, -0.0644, 0.0014, 0.0348, 0.0297, 0.0208]","[0.0007, 0.4807, 0.5795, 0.1436, 0.0051, 0.0369, 0.0315, 0.0237]","[-0.0014, +0.1291, +0.3307, -0.2825, +0.0013, -0.0204, -0.0253, -0.0394]",0.10376408768694459,0.3307237947292866,1.092079335916556,0.9999999339272289,1.5622113008252598e-05,4.222778002989812e-05
6,4,"[0.0785, 0.0655, 0.3008, 0.0000, 0.2868, 0.2140, 0.0000, 0.0543]","[0.1574, 0.1473, 0.2634, 0.1107, 0.2389, 0.1529, 0.0011, 0.0226]","[0.1584, 0.1510, 0.3057, 0.2112, 0.2435, 0.1553, 0.0039, 0.0253]","[+0.0788, +0.0818, -0.0374, +0.1107, -0.0479, -0.0611, +0.0010, -0.0318]",0.056310381781942365,0.11066338903399,1.0942098539344027,0.9999999481747082,1.17601573458233e-05,2.3622796264774e-05
7,5,"[0.0822, 0.0635, 0.0775, 0.0445, 0.0001, 0.3624, 0.3698, 0.0001]","[0.1590, 0.1331, 0.2025, -0.0340, -0.0011, 0.3524, 0.2641, 0.0028]","[0.1600, 0.1368, 0.1959, 0.0373, 0.0024, 0.3544, 0.2677, 0.0067]","[+0.0769, +0.0696, +0.1250, -0.0785, -0.0012, -0.0100, -0.1056, +0.0027]",0.058680235694079874,0.1250389932913435,1.0789501728418693,1.0000000180297866,1.1600568975884464e-05,2.4215829351701123e-05
8,0,"[0.3811, 0.3294, 0.0001, 0.0081, 0.0833, 0.0686, 0.0697, 0.0596]","[0.4485, 0.3610, -0.0042, 0.0213, 0.0841, 0.0418, 0.0424, 0.0210]","[0.4497, 0.3635, 0.0097, 0.0241, 0.0847, 0.0442, 0.0441, 0.0238]","[+0.0673, +0.0316, -0.0044, +0.0132, +0.0008, -0.0267, -0.0274, -0.0387]",0.02626607595426829,0.06734022203479101,1.0157678020534655,0.999999991152377,6.324589466653844e-06,2.0151171614172624e-05
9,6,"[0.0612, 0.0639, 0.0646, 0.1637, 0.3245, 0.0000, 0.3221, 0.0000]","[0.1318, 0.1385, 0.2946, 0.0144, 0.2814, -0.0018, 0.2627, 0.0026]","[0.1330, 0.1423, 0.3043, 0.1270, 0.2840, 0.0014, 0.2644, 0.0065]","[+0.0706, +0.0745, +0.2300, -0.1493, -0.0431, -0.0019, -0.0593, +0.0026]",0.07892497921412976,0.23000555041480228,1.1241992726456655,1.0000000568976306,1.3910092836882564e-05,3.224050528641811e-05
