sample_index,label,prediction,correct,feature_csv_0,feature_csv_1,feature_csv_2,feature_csv_3,feature_csv_4,feature_csv_5,feature_csv_6,feature_csv_7,measured_output_power_0,measured_output_power_1,measured_output_power_2,measured_output_power_3,measured_output_power_4,measured_output_power_5,measured_output_power_6,measured_output_power_7,expected_output_power_from_csv_0,expected_output_power_from_csv_1,expected_output_power_from_csv_2,expected_output_power_from_csv_3,expected_output_power_from_csv_4,expected_output_power_from_csv_5,expected_output_power_from_csv_6,expected_output_power_from_csv_7,estimated_feature_diag_0,feature_error_diag_0,estimated_feature_diag_1,feature_error_diag_1,estimated_feature_diag_2,feature_error_diag_2,estimated_feature_diag_3,feature_error_diag_3,estimated_feature_diag_4,feature_error_diag_4,estimated_feature_diag_5,feature_error_diag_5,estimated_feature_diag_6,feature_error_diag_6,estimated_feature_diag_7,feature_error_diag_7,estimated_feature_lstsq_0,feature_error_lstsq_0,estimated_feature_lstsq_1,feature_error_lstsq_1,estimated_feature_lstsq_2,feature_error_lstsq_2,estimated_feature_lstsq_3,feature_error_lstsq_3,estimated_feature_lstsq_4,feature_error_lstsq_4,estimated_feature_lstsq_5,feature_error_lstsq_5,estimated_feature_lstsq_6,feature_error_lstsq_6,estimated_feature_lstsq_7,feature_error_lstsq_7,fitted_output_power_lstsq_0,fitted_output_power_lstsq_1,fitted_output_power_lstsq_2,fitted_output_power_lstsq_3,fitted_output_power_lstsq_4,fitted_output_power_lstsq_5,fitted_output_power_lstsq_6,fitted_output_power_lstsq_7,feature_mae_diag,feature_max_abs_error_diag,feature_mae_lstsq,feature_max_abs_error_lstsq,output_power_mae_vs_csv_expected,output_power_max_abs_error_vs_csv_expected
0,7,7,1,0.0485337525606,0.0458595342934,0.0544518083334,0.0657622739673,0.0749263688922,0.0799722149968,0.160903915763,0.469590127468,8.412248e-05,2.457124e-06,5.620619e-06,9.409364e-06,4.483748e-06,4.256764e-05,2.378022e-05,6.53324e-05,9.834673290872185e-06,6.937689241361995e-06,1.3082306947801448e-05,2.12807710235438e-05,1.7637337540135085e-05,2.6248510571753137e-05,2.9503272818011473e-05,8.79937649847794e-05,0.5768554214719391,0.5283216689113391,16.51351829063804,16.46765875634464,0.09768846235132829,0.04323665401792829,0.10438900568575786,0.03862673171845786,0.05672527004846209,-0.018201098843737912,0.3637519889116573,0.28377977391485726,0.27179233154974597,0.11088841578674596,0.35520754384610453,-0.11438258362189546,-0.3666743508399839,-0.4152081034005839,206.11692021448525,206.07106068019183,-1.1052894841901946,-1.1597412925235946,0.5704543085096248,0.5046920345423247,0.7500107939995075,0.6750844251073076,-0.5067282249386986,-0.5867004399354986,-0.4567645413092878,-0.6176684570722878,-0.3232451970083199,-0.7928353244763199,8.412248000000893e-05,2.4571239999766134e-06,5.62061899998958e-06,9.409364000010559e-06,4.483748000011174e-06,4.2567639999991426e-05,2.378021999999168e-05,6.533239999999972e-05,2.2006369603949505,16.46765875634464,26.35287384465622,206.07106068019183,1.9494825461625984e-05,7.428780670912782e-05
1,2,2,1,0.301127493382,3.94923372369e-05,0.26051941514,0.253521502018,0.0002314686717,0.0624659284949,0.0642028227448,0.0578919053078,0.000112587,8.142882e-05,2.797808e-05,9.572068e-06,9.913549e-06,1.88169e-05,3.459327e-06,6.319849e-06,5.206101079925362e-05,2.864390485029872e-05,6.192379142804564e-05,3.862427381310868e-05,3.099127471441585e-05,1.4029023535144498e-05,1.1508976894955478e-05,1.1779734652058776e-05,0.7720459660397698,0.4709184726577698,547.2561858722119,547.2561463798746,0.4862695042561061,0.2257500891161061,0.10619407017057274,-0.14732743184742725,0.12541934652965808,0.12518787785795807,0.1607954963007525,0.09832956780585249,0.039537840731624356,-0.02466498201317565,0.03436056291775994,-0.02353134239004006,-1.8253757946603975,-2.1265032880423975,491.9357595426818,491.93572005034457,-0.44196806371871844,-0.7024874788587184,1.6132447652438486,1.3597232632258487,0.48047138474345275,0.48023991607175276,-2.869374603725131,-2.931840532220031,0.2769257513848391,0.2127229286400391,-1.6355331039936107,-1.6934250093014107,0.00011258700000002125,8.142881999994157e-05,2.797807999997227e-05,9.572068000021867e-06,9.913549000027296e-06,1.881689999998473e-05,3.459326999983867e-06,6.319848999992304e-06,68.54648201794537,547.2561463798746,62.68033280833809,491.93572005034457,2.6960494914735946e-05,6.052598920074638e-05
2,1,1,1,3.26168374158e-05,0.345546215773,0.262013673782,0.217885673046,0.00014526292216,0.0563939958811,0.059667006135,0.0583156608045,9.000654e-05,2.079188e-05,0.0001163104,1.090495e-05,9.626575e-06,1.397979e-05,3.408031e-06,5.852861e-06,8.230878913129755e-06,2.0566716214854255e-05,2.5905130459982678e-05,3.492727880208331e-05,2.886230611898365e-05,1.2866931767018385e-05,1.0460027501202495e-05,1.1804296294744075e-05,0.6172043497401759,0.6171717329027601,139.73535347697197,139.38980726119897,2.0215182938868357,1.7595046201048357,0.12098127860213562,-0.0969043944438644,0.12178875050889881,0.12164348758673882,0.11946108398462536,0.06306708810352536,0.038951561065617236,-0.020715445069382762,0.03182158286367339,-0.02649407794082661,1.347078388229286,1.3470457713918702,-160.45572360987165,-160.80126982564465,0.8659604974311605,0.6039468236491605,-0.4784924515613085,-0.6963781246073085,-0.5907152809012644,-0.5908605438234243,0.6776776987745432,0.6212837028934433,0.4904225388587027,0.4307555327237027,0.5502356337725844,0.49191997296808443,9.000653999999197e-05,2.0791880000015218e-05,0.00011631040000000437,1.0904949999986046e-05,9.62657499998729e-06,1.3979790000004027e-05,3.408031000004529e-06,5.852861000001565e-06,17.76191351341886,139.38980726119897,20.697932537212704,160.80126982564465,2.872255554525356e-05,9.040526954001733e-05
3,0,0,1,0.377824693918,0.33141374588,0.000204316718737,0.0104544525966,0.0771631747484,0.0668829903007,0.0722815841436,0.0637750849128,0.0002068325,2.218972e-05,1.194618e-05,8.744525e-06,1.384356e-06,2.090028e-05,1.323878e-05,8.347965e-06,5.588418693758323e-05,9.622929785605393e-06,4.4862757260828884e-05,1.0844802754459712e-05,1.0812046907388846e-05,1.591039410384057e-05,1.6219511275950954e-05,1.2932866165591727e-05,1.4183182540694814,1.0404935601514813,149.1297741115779,148.79836036569787,0.2076290805642921,0.2074247638455551,0.09701317431701567,0.08655872172041568,0.01751391200915145,-0.059649262739248546,0.1785985414932689,0.1117155511925689,0.15131058009867637,0.07902899595507637,0.04538728324327969,-0.01838780166952031,-1.2946999756129562,-1.6725246695309561,584.2544899359649,583.9230761900849,-2.877528321119769,-2.877732637838506,1.8851984862379823,1.8747440336413823,2.0081713278804756,1.9310081531320755,-2.0989684554978183,-2.165851445798518,-1.4988892093311783,-1.5711707934747783,-1.8681851896090365,-1.9319602745218365,0.00020683250000002584,2.218971999993697e-05,1.1946179999974484e-05,8.744525000041348e-06,1.384356000040081e-06,2.0900279999978596e-05,1.323877999998131e-05,8.347965000010084e-06,18.800202377871468,148.79836036569787,74.74350852475288,583.9230761900849,2.756439594214887e-05,0.0001509483130624168
4,4,4,1,0.0841851308942,0.0608657002449,0.290374070406,2.31218364206e-05,0.297050505877,0.209460422397,2.5633336918e-05,0.0580153763294,0.0001823394,9.649096e-06,1.102511e-05,5.783929e-05,7.436144e-06,1.899336e-05,1.073756e-05,6.536787e-06,2.067829216065397e-05,1.7299104141642563e-05,2.971416381419491e-05,3.754479371956269e-05,5.044466622882078e-05,2.813372575552643e-05,3.411258031581356e-05,1.1507339793638165e-05,1.2503610383091477,1.1661759074149476,64.8483850567258,64.7875193564809,0.19162053915311694,-0.09875353125288305,0.6416784357232006,0.64165531388678,0.09407693664301632,-0.20297356923398369,0.1623033946940708,-0.047157027702929205,0.12272327453468851,0.1226976411977705,0.0355400391676281,-0.0224753371617719,-0.9202617689665763,-1.0044468998607763,495.3085486405884,495.2476829403435,-3.4088257142108773,-3.6991997846168774,2.2609511763478167,2.260928054511396,2.080307658761427,1.7832571528844272,-1.2749501619799837,-1.4844105843769837,-1.9355849439561883,-1.9356105772931063,-1.5628350562465574,-1.6208504325759574,0.0001823394000000225,9.649095999945198e-06,1.1025109999976874e-05,5.783929000002776e-05,7.43614400003583e-06,1.8993359999976863e-05,1.073755999998733e-05,6.536786999989439e-06,8.386175960541497,64.7875193564809,63.62954830330788,495.2476829403435,3.609864089617747e-05,0.00016166110783934602
5,1,1,1,3.09886454488e-05,0.346715629101,0.264586389065,0.218158856034,0.00012334738858,0.0551868341863,0.0549744330347,0.0602234564722,9.015419e-05,2.101819e-05,0.0001168725,1.116733e-05,9.622995e-06,1.319252e-05,3.107008e-06,5.956368e-06,8.291697850627766e-06,2.0691441009572772e-05,2.6064210507218448e-05,3.483437616785716e-05,2.8924312694547125e-05,1.2307673687844174e-05,1.004079280718212e-05,1.2119018802462241e-05,0.6182168341911851,0.6181858455457363,141.2563081883965,140.9095925592955,2.031287802314232,1.7667014132492318,0.1238921647483012,-0.09426669128569881,0.12174345883176318,0.12162011144318319,0.11273364905258589,0.057546814866285885,0.03551106543436996,-0.019463367600330045,0.03238434295270852,-0.027839113519491483,1.3521908364849347,1.3521598478394858,-161.2954974396786,-161.6422130687796,0.8672810785422485,0.6026946894772485,-0.4736515488226445,-0.6918104048566445,-0.5929661449783019,-0.5930894923668819,0.6773226398450127,0.6221358056587127,0.48848987334470895,0.43351544031000894,0.5536828153606543,0.4934593588884543,9.015418999999316e-05,2.1018190000018764e-05,0.00011687250000000871,1.11673299999922e-05,9.622994999991528e-06,1.31925200000068e-05,3.1070080000065135e-06,5.956368000001811e-06,17.951901989600678,140.9095925592955,20.80388476352213,161.6422130687796,2.8743397052098186e-05,9.080828949278156e-05
6,4,4,1,0.0785397663713,0.0654622614384,0.300817131996,2.45972569246e-05,0.286758214235,0.21403747797,2.87119764835e-05,0.0543317869306,9.107455e-05,1.149101e-05,8.924419e-06,5.871455e-05,2.833646e-05,2.980794e-05,3.543557e-05,7.867469e-06,2.0085035676117908e-05,1.7552121219722506e-05,2.956501425281312e-05,3.774442121743034e-05,5.0470356518661005e-05,2.857010044817279e-05,3.324318582706012e-05,1.0816816918208573e-05,0.6245280444135408,0.5459882780422408,77.22728027275164,77.16181801131324,0.15510974315977988,-0.14570738883622014,0.6513887116904729,0.6513641144335482,0.35849323952136564,0.07173502528636566,0.2547169037409484,0.04067942577094841,0.40500534436158425,0.40497663238510073,0.04277486116804784,-0.011556925762552163,-0.5447736998419184,-0.6233134662132184,263.71040355011917,263.64494128868074,-1.7971297175389793,-2.0979468495349796,1.3348703439149006,1.334845746657976,1.2816724928044323,0.9949142785694323,-0.6129284223887357,-0.8269659003587357,-0.9186121485942484,-0.9186408605707319,-0.8155875376373958,-0.8699193245679958,9.107455000001203e-05,1.1491009999970467e-05,8.924418999987312e-06,5.8714550000018315e-05,2.8336460000020728e-05,2.98079399999978e-05,3.543556999999572e-05,7.867468999998449e-06,9.879228225228777,77.16181801131324,33.91393596439423,263.64494128868074,1.8396852217578006e-05,7.098951432388209e-05
7,5,5,1,0.0821578502655,0.0635116994381,0.0774903446436,0.0445003062487,6.78123687976e-05,0.362373530865,0.369786739349,0.000111734851089,0.0001058645,3.266638e-06,6.983747e-06,9.324091e-06,6.101965e-06,0.0001132693,1.582547e-05,5.344262e-06,1.5027952843185266e-05,7.215603769597916e-06,1.6571543270099e-05,4.0126248193384066e-05,2.6321527213210576e-05,7.633668935510706e-05,4.2909596265477414e-05,3.289069511858178e-06,0.7259475798432964,0.6437897295777963,21.95399432909909,21.89048262966099,0.12138013729105314,0.043889792647453144,0.1034429732353349,0.058942666986634897,0.07719782923823196,0.07713001686943435,0.9679167827399213,0.6055432518749213,0.180874751754633,-0.18891198759436703,0.029056366805598297,0.028944631954509296,-0.4680051826846448,-0.5501630329501448,250.63717231453532,250.57366061509722,-0.9490219197754755,-1.0265122644190754,0.35445915894624136,0.30995885269754136,0.5458388404037251,0.5457710280349275,-0.2251765511107351,-0.5875500819757351,-0.33480650994362904,-0.704593249292629,-0.8017157602281255,-0.8018274950792145,0.0001058645000000113,3.2666379999713207e-06,6.983746999987167e-06,9.324091000010454e-06,6.101965000015601e-06,0.00011326929999998665,1.5825469999987383e-05,5.344261999993934e-06,2.9422043383957632,21.89048262966099,31.88750457744331,250.57366061509722,2.7683369750202304e-05,9.083654715681473e-05
8,0,0,1,0.381147801876,0.329399049282,0.000135435257107,0.00807543098927,0.0832963138819,0.068569727242,0.0697367116809,0.0596395209432,0.0002044084,2.456074e-05,1.405701e-05,7.188879e-06,1.139812e-06,2.101572e-05,1.280447e-05,7.740268e-06,5.636481819577478e-05,9.647196564510197e-06,4.518563337967455e-05,1.0935798062803235e-05,1.1229833668872602e-05,1.592567183941602e-05,1.6533913918012638e-05,1.2161434050083054e-05,1.4016954057275146,1.0205476038515147,165.06461587677518,164.7352168274932,0.24431609617325872,0.24418066091615173,0.07975458604909166,0.07167915505982167,0.01442011092159454,-0.06887620296030546,0.17958500749420206,0.11101528025220206,0.14634670139968325,0.07660998971878326,0.042083278510977706,-0.017556242432222292,-1.293856277333808,-1.675004079209808,577.5079093020702,577.1785102527882,-2.751815453239942,-2.751950888497049,1.84584253083068,1.83776709984141,1.9293124415753482,1.8460161276934481,-2.1262398162607106,-2.1948095435027106,-1.4065012421957128,-1.4762379538766128,-1.8522508892072143,-1.9118904101504142,0.0002044084000000245,2.4560739999933684e-05,1.4057009999969888e-05,7.188879000032212e-06,1.13981200003545e-06,2.1015719999977036e-05,1.2804469999978122e-05,7.740267999994942e-06,20.793210245335526,164.7352168274932,73.85902329444495,577.1785102527882,2.7645418434968136e-05,0.00014804358180422523
9,6,6,1,0.0611656270921,0.063919775188,0.0645623728633,0.163718357682,0.324533581734,2.36042287725e-05,0.322052955627,2.3782482458e-05,9.781969e-05,2.866606e-06,7.013442e-06,5.343507e-05,3.339254e-05,2.276578e-05,6.520766e-05,3.056578e-06,1.292298088442909e-05,1.3638299946457781e-05,2.2232252083022303e-05,4.2026076215697355e-05,4.110579780835727e-05,3.279722540114985e-05,6.055306923753329e-05,3.511550591686584e-06,0.6707816805116116,0.6096160534195115,19.265511473190912,19.20159169800291,0.12189624750765433,0.05733387464435434,0.5928173068922479,0.4290989492102479,0.42245925710010296,0.09792567536610297,0.1945397431975376,0.1945161389687651,0.7452808235711491,0.4232278679441491,0.016618393996761766,0.016594611514303765,-0.4213376134189749,-0.4825032405110749,255.0292563975741,254.9653366223861,-1.9942396928526875,-2.0588020657159873,1.2385974728528026,1.0748791151708026,1.5917292909258478,1.2671957091918478,-0.6885124263430029,-0.6885360305717754,-0.8662071129023863,-1.1882600685293863,-0.8171970137490874,-0.8172207962315454,9.781969000001133e-05,2.8666059999717963e-06,7.01344199998805e-06,5.343507000001587e-05,3.339254000001779e-05,2.2765779999989975e-05,6.520765999999048e-05,3.0565779999963484e-06,2.6287381086337933,19.20159169800291,32.817841706038564,254.9653366223861,1.8143809186626754e-05,8.489670911557092e-05
