sample_index,label,prediction,correct,output_power_0,output_power_1,output_power_2,output_power_3,output_power_4,output_power_5,output_power_6,output_power_7,output_power_norm_0,output_power_norm_1,output_power_norm_2,output_power_norm_3,output_power_norm_4,output_power_norm_5,output_power_norm_6,output_power_norm_7,predicted_output_index,predicted_class,predicted_output_power,output_power_sum,inference_correct
0,7,7,1,5.135591e-05,8.267593e-07,2.413179e-06,6.094206e-06,8.198738e-07,2.214281e-05,1.148463e-05,3.483054e-05,0.3951430068450874,0.00636125726793936,0.018567498971694227,0.04689008301426988,0.006308278805019867,0.17037136569869896,0.08836512157419266,0.2679933878230975,0,0,5.135591e-05,0.00012996790810000002,False
1,2,2,1,6.993038e-05,5.563399e-05,2.143431e-05,6.779986e-06,5.661424e-06,8.19097e-06,2.11896e-06,2.744421e-06,0.40540657191381607,0.32252627781784576,0.12426087400694842,0.03930553333020164,0.03282090696476416,0.047485414327062284,0.012284221959361578,0.015910199680000122,0,0,6.993038e-05,0.000172494441,False
2,1,1,1,5.816228e-05,1.620614e-05,7.812437e-05,7.56609e-06,5.319906e-06,6.837721e-06,2.043694e-06,2.563274e-06,0.3289284977574386,0.09165151855544068,0.44182125704745934,0.04278894530265283,0.03008597133384015,0.03866975807369468,0.011557820589149715,0.014496231340324014,2,2,7.812437e-05,0.000176823475,False
3,0,0,1,0.0001714895,4.118535e-06,2.402783e-06,1.587576e-05,9.384943e-06,9.085276e-06,6.040237e-06,3.438904e-06,0.7730465205326651,0.0185656798313716,0.010831351410698839,0.07156532049374255,0.04230578275373939,0.04095493310015441,0.027228397050797066,0.015502014826831171,0,0,0.0001714895,0.00022183593799999997,True
4,4,4,1,6.895187e-05,7.32478e-06,4.925013e-06,3.754424e-05,1.758715e-05,1.625978e-05,1.971992e-05,3.813839e-06,0.3914904002684615,0.04158815495618061,0.027962915446635112,0.21316622080554426,0.09985516553911405,0.0923187113051049,0.11196446701245431,0.021653964666505328,0,0,6.895187e-05,0.000176126592,False
5,1,1,1,5.824161e-05,1.636693e-05,7.84436e-05,7.680941e-06,5.312646e-06,6.556632e-06,1.960693e-06,2.591265e-06,0.32876201374195135,0.0923879828454872,0.44279812836850035,0.043357345900862244,0.029988803490461936,0.0370108508278689,0.011067712225155655,0.014627162599712433,2,2,7.84436e-05,0.00017715431699999999,False
6,4,4,1,6.850296e-05,7.758566e-06,5.182048e-06,3.834747e-05,1.721278e-05,1.615473e-05,1.940128e-05,3.509784e-06,0.3890674653477126,0.04406533102150536,0.0294318125913126,0.21779720110484932,0.09776121624799572,0.09175194552872828,0.1101909586695417,0.019934069488354314,0,0,6.850296e-05,0.00017606961800000002,False
7,5,5,1,7.758074e-05,1.663631e-06,5.032202e-06,5.145203e-06,4.034915e-06,5.831424e-05,7.878476e-06,2.952254e-06,0.4771214483473204,0.010231328448729685,0.030948035641530133,0.03164299164201035,0.024814721911112583,0.35863249884021786,0.04845261697541946,0.018156358193659534,0,0,7.758074e-05,0.000162601661,False
8,0,0,1,0.0001254078,1.776893e-05,8.4681e-06,3.938781e-06,8.582297e-07,1.072533e-05,7.086917e-06,3.393266e-06,0.7059367752349468,0.10002361211643537,0.04766803345858115,0.022171909223323263,0.004831086318624965,0.0603742739568881,0.03989317517202059,0.019101134519179726,0,0,0.0001254078,0.0001776473537,True
9,6,6,1,7.210102e-05,1.165691e-06,3.647386e-06,3.576707e-05,1.41968e-05,1.027771e-05,3.772335e-05,1.511279e-06,0.40875840421751974,0.006608588796257319,0.02067792773147069,0.20277231108153987,0.08048514865663876,0.058266864166560274,0.21386294323906896,0.008567812110944466,0,0,7.210102e-05,0.00017639030599999998,False
10,0,0,1,0.0001286679,1.891031e-05,8.790513e-06,3.317836e-06,8.646317e-07,9.396143e-06,6.004268e-06,3.08488e-06,0.7186686131131675,0.10562266316027591,0.0490990043846466,0.018531619748647015,0.004829360428612578,0.05248172277951997,0.033536561615754766,0.017230454769375646,0,0,0.0001286679,0.0001790364817,True
11,1,1,1,5.79135e-05,1.624796e-05,7.809508e-05,7.29158e-06,5.366252e-06,8.121859e-06,2.294111e-06,2.310177e-06,0.326015147478825,0.0914653936583016,0.4396242503659878,0.041046828961358764,0.03020849089052707,0.04572075698562895,0.012914345290783575,0.013004786368587451,2,2,7.809508e-05,0.00017764051899999997,False
12,5,5,1,6.903111e-05,6.865692e-07,2.185446e-06,3.157322e-06,4.358854e-06,6.296316e-05,7.518807e-06,3.030057e-06,0.4513863324581981,0.004489395479324598,0.014290375089223381,0.020645358273531787,0.02850203510823955,0.41170871904535095,0.049164597182212874,0.01981318736391882,0,0,6.903111e-05,0.0001529313252,False
13,7,7,1,5.282656e-05,9.009873e-07,2.135679e-06,5.859928e-06,6.528563e-07,2.204543e-05,1.153354e-05,3.527904e-05,0.4025370841987295,0.00686550100256549,0.016273821302096116,0.044652506821085694,0.0049747489028770945,0.16798563283521012,0.08788529031777603,0.26882541461966003,0,0,5.282656e-05,0.0001312340206,False
14,3,3,1,5.43976e-05,3.062845e-06,5.454476e-06,1.68896e-05,2.619341e-05,3.088599e-05,2.888145e-05,9.735658e-07,0.32624413375772465,0.018369104774092572,0.032712671105385144,0.10129367695476392,0.15709234149320783,0.18523561798314167,0.1732135909841066,0.005838862947577581,0,0,5.43976e-05,0.0001667389368,False
15,4,4,1,6.88582e-05,7.380594e-06,5.073567e-06,3.781489e-05,1.736304e-05,1.61325e-05,1.924497e-05,3.861973e-06,0.39184148540280606,0.041999687998162,0.02887142024581907,0.215187772377781,0.0988053621022382,0.09180290456707797,0.10951459130985768,0.02197677599625798,0,0,6.88582e-05,0.000175729734,False
16,6,6,1,7.214374e-05,1.361996e-06,3.979567e-06,3.487529e-05,1.502453e-05,1.033467e-05,3.779641e-05,1.541882e-06,0.4074580384171669,0.007692368298233882,0.022476053550449276,0.19697089799655296,0.08485650344631256,0.05836881156824892,0.21346898674522544,0.008708339977810106,0,0,7.214374e-05,0.000177058085,False
17,6,6,1,7.367219e-05,2.064291e-06,5.475031e-06,3.429446e-05,1.651383e-05,1.004514e-05,3.698815e-05,1.493304e-06,0.40805129114845357,0.011433576331260579,0.03032478698716312,0.18994818373444572,0.09146585235631068,0.05563744401743693,0.20486783906780395,0.008271026357125401,0,0,7.367219e-05,0.000180546396,False
18,5,5,1,7.028394e-05,6.991983e-07,2.752034e-06,3.873893e-06,3.972923e-06,6.261181e-05,7.318782e-06,3.017558e-06,0.45482351063164744,0.004524672712339118,0.01780904379090949,0.02506885092200814,0.025709696786054063,0.40517539613177195,0.047361518474742736,0.019527310550527085,0,0,7.028394e-05,0.0001545301383,False
19,4,4,1,6.922239e-05,7.230497e-06,4.842779e-06,3.753807e-05,1.736673e-05,1.632781e-05,1.979664e-05,3.765385e-06,0.3931073409886442,0.04106130183740216,0.027501679379831372,0.2131751140569633,0.09862400087555077,0.09272407342866659,0.11242322767112539,0.021383261761816173,0,0,6.922239e-05,0.000176090301,False
20,0,0,1,0.0001252416,1.842547e-05,9.041666e-06,4.352837e-06,7.828731e-07,9.907028e-06,7.518559e-06,3.289797e-06,0.7013985168436829,0.10318933429585517,0.0506366185212897,0.0243774705518159,0.004384374131413334,0.05548296049817983,0.04210666528854409,0.018424059869219155,0,0,0.0001252416,0.00017855983009999998,True
21,7,7,1,6.288056e-05,6.96756e-07,8.302952e-07,6.12237e-06,2.104938e-07,2.204336e-05,1.132024e-05,3.460269e-05,0.4533344858846648,0.005023230121472447,0.005985974800868581,0.044138943042900614,0.0015175453050181081,0.1589205832895029,0.08161274614111289,0.2494664914144599,0,0,6.288056e-05,0.00013870676499999998,False
22,4,4,1,6.908993e-05,7.317904e-06,4.996114e-06,3.785559e-05,1.729619e-05,1.623868e-05,1.954488e-05,3.748049e-06,0.3923617176401503,0.041558377363614736,0.02837293177987012,0.21498189844281648,0.09822506430431167,0.09221946493517588,0.11099537498258603,0.021285170551474688,0,0,6.908993e-05,0.00017608733700000002,False
23,0,0,1,0.0001251454,1.809955e-05,9.612291e-06,4.001761e-06,8.273595e-07,1.017485e-05,7.21719e-06,3.292174e-06,0.7016033874936958,0.10147161295670092,0.05388944321705123,0.02243509608455572,0.00463843040075856,0.05704332102690334,0.04046177448140823,0.018456934338926322,0,0,0.0001251454,0.0001783705755,True
24,1,1,1,5.808373e-05,1.626536e-05,7.77373e-05,7.616789e-06,5.511759e-06,7.019115e-06,1.913859e-06,2.590918e-06,0.32864158940058624,0.09203048362377414,0.4398427894990592,0.0430962963826342,0.0311858972926323,0.039714617325462664,0.010828740916752703,0.014659585559098702,2,2,7.77373e-05,0.00017673882999999998,False
25,3,3,1,3.869596e-05,3.716991e-06,5.846694e-06,2.368817e-05,1.646467e-05,2.519982e-05,4.034914e-05,5.504435e-06,0.24265980910775392,0.02330900503606163,0.03666423187204685,0.1485469493536799,0.10324885800021921,0.15802640665200604,0.25302679168735026,0.03451794829088203,6,6,4.034914e-05,0.00015946588000000003,False
26,1,1,1,5.80677e-05,1.617695e-05,7.787711e-05,7.505696e-06,5.423285e-06,7.030415e-06,2.048132e-06,2.469452e-06,0.32881151926678526,0.09160286194567413,0.4409833841396603,0.04250141309048977,0.030709647192273284,0.03981010849794285,0.011597659190546885,0.013983406676627478,2,2,7.787711e-05,0.00017659874,False
27,3,3,1,4.805161e-05,2.53752e-06,3.743868e-06,2.327216e-05,1.7988e-05,2.536458e-05,4.055753e-05,4.532446e-06,0.2893843512955559,0.015281872534541484,0.022546940935302483,0.14015345011012917,0.10833030799809745,0.15275476782534925,0.2442522635391415,0.02729604576188263,0,0,4.805161e-05,0.00016604771400000002,False
28,4,4,1,7.988731e-05,7.741996e-06,5.872078e-06,3.6299e-05,1.842538e-05,1.27459e-05,1.893487e-05,6.187968e-07,0.44252687224545445,0.04288592612289511,0.03252772325068079,0.20107427494601773,0.10206534406195367,0.07060449602012307,0.10488760727422526,0.0034277560786499894,0,0,7.988731e-05,0.00018052533079999998,False
29,7,7,1,5.47315e-05,1.393247e-06,4.592081e-06,5.880284e-06,8.446137e-07,2.195519e-05,1.12053e-05,3.377734e-05,0.4072903777281949,0.010367998262402353,0.03417246750131948,0.04375876947478254,0.006285284213065753,0.16338192134683474,0.08338545206248214,0.25135772941091816,0,0,5.47315e-05,0.0001343795557,False
30,2,2,1,7.084145e-05,5.616671e-05,2.125512e-05,6.759699e-06,5.681262e-06,7.694654e-06,1.953196e-06,2.711667e-06,0.4093372917511707,0.3245434552507522,0.12281670203879429,0.03905900968589853,0.03282756635852089,0.044461382839034384,0.011285990912089174,0.015668601163739897,0,0,7.084145e-05,0.000173063758,False
31,7,7,1,5.10201e-05,8.884945e-07,6.228499e-07,6.464888e-06,4.345773e-07,2.182029e-05,1.13964e-05,3.488734e-05,0.400048019154707,0.00696667518791323,0.00488375892492777,0.05069111268807853,0.003407515626872563,0.1710926437204408,0.08935904174030829,0.2735512329567519,0,0,5.10201e-05,0.0001275349397,False
32,1,1,1,5.813052e-05,1.629602e-05,7.823996e-05,7.628325e-06,5.374914e-06,6.685318e-06,2.121028e-06,2.416441e-06,0.32862055460726475,0.09212384699622639,0.4423022372352803,0.04312406619146814,0.030385195584803848,0.037793106080694444,0.011990489637758917,0.013660503666503128,2,2,7.823996e-05,0.000176892526,False
33,2,2,1,6.217147e-06,3.975569e-05,4.242896e-05,5.972924e-06,3.623071e-06,7.48688e-06,2.265751e-06,2.722252e-06,0.056277690388143495,0.35986899022767393,0.3840674628363982,0.054066980816749474,0.03279608283224788,0.06777132897343166,0.02050960565587825,0.024641858269477044,2,2,4.242896e-05,0.00011047267500000001,True
