input_channel,switch_mzi,port,feature_coefficient,upload_voltage,mode,input_reference_power_uw,target_chip_power_uw,target_leak_power,reference_fraction_of_max,target_fraction_of_max,p_on_leak,p_off_leak,chip_power_max_uw,scan_path,local_sample_row,sample_index
1,1,43,0.0485337525606,4.13,scan-leak-fixed-power,120.0,5.8240503072720005,230.55081969272806,0.5095663461173611,0.02473116695566906,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt,0,0
2,2,45,0.0458595342934,4.028,scan-leak-fixed-power,120.0,5.503144115208,218.605561884792,0.537948674337334,0.024670075678862036,1.039097829999994,224.10870599999998,223.06960816999998,Scandata-backup-04\1Col\power_data\45.txt,0,0
3,3,41,0.0544518083334,4.004,scan-leak-fixed-power,120.0,6.534217000008,195.39074699999202,0.5961310239221619,0.032460412256203046,0.6269352370000004,201.92496400000002,201.29802876300002,Scandata-backup-04\1Col\power_data\41.txt,0,0
4,4,48,0.0657622739673,4.04,scan-leak-fixed-power,120.0,7.891472876076,163.434437123924,0.7031550306361986,0.04624107376618291,0.6665322360000001,171.32591,170.659377764,Scandata-backup-04\1Col\power_data\48.txt,0,0
5,5,44,0.0749263688922,3.817,scan-leak-fixed-power,120.0,8.991164267064,205.55999873293598,0.5598309355182064,0.04194609919190257,0.20073613599999998,214.55116299999997,214.35042686399999,Scandata-backup-04\1Col\power_data\44.txt,0,0
6,6,46,0.0799722149968,4.184,scan-leak-fixed-power,120.0,9.596665799616,186.794946200384,0.612189035204353,0.04895811314204608,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt,0,0
7,7,42,0.160903915763,3.795,scan-leak-fixed-power,120.0,19.30846989156,221.77944010843999,0.49989645004587824,0.08043529628840473,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt,0,0
8,8,49,0.469590127468,3.936,scan-leak-fixed-power,120.0,56.35081529616,158.00693670384,0.5619796231382841,0.2639000828639254,0.8268781760000037,214.357752,213.530873824,Scandata-backup-04\1Col\power_data\49.txt,0,0
1,1,43,0.301127493382,3.967,scan-leak-fixed-power,120.0,36.13529920584,200.23957079416004,0.5095663461173611,0.15344443651814557,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt,1,1
2,2,45,3.94923372369e-05,4.261,scan-leak-fixed-power,120.0,0.004739080468428,224.10396691953156,0.537948674337334,2.1244850463073285e-05,1.039097829999994,224.10870599999998,223.06960816999998,Scandata-backup-04\1Col\power_data\45.txt,1,1
3,3,41,0.26051941514,3.791,scan-leak-fixed-power,120.0,31.262329816799998,170.66263418320003,0.5961310239221619,0.15530370569901095,0.6269352370000004,201.92496400000002,201.29802876300002,Scandata-backup-04\1Col\power_data\41.txt,1,1
4,4,48,0.253521502018,3.885,scan-leak-fixed-power,120.0,30.42258024216,140.90332975784,0.7031550306361986,0.17826491951840184,0.6665322360000001,171.32591,170.659377764,Scandata-backup-04\1Col\power_data\48.txt,1,1
5,5,44,0.0002314686717,3.975,scan-leak-fixed-power,120.0,0.027776240604,214.52338675939598,0.5598309355182064,0.0001295833230209676,0.20073613599999998,214.55116299999997,214.35042686399999,Scandata-backup-04\1Col\power_data\44.txt,1,1
6,6,46,0.0624659284949,4.198,scan-leak-fixed-power,120.0,7.495911419388,188.89570058061202,0.612189035204353,0.03824095649843694,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt,1,1
7,7,42,0.0642028227448,3.879,scan-leak-fixed-power,120.0,7.704338729376,233.383571270624,0.49989645004587824,0.03209476317305029,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt,1,1
8,8,49,0.0578919053078,4.188,scan-leak-fixed-power,120.0,6.947028636936,207.410723363064,0.5619796231382841,0.03253407112763467,0.8268781760000037,214.357752,213.530873824,Scandata-backup-04\1Col\power_data\49.txt,1,1
1,1,43,3.26168374158e-05,4.318,scan-leak-fixed-power,120.0,0.003914020489896,236.37095597951014,0.5095663461173611,1.6620442663873235e-05,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt,2,2
2,2,45,0.345546215773,3.846,scan-leak-fixed-power,120.0,41.46554589276,182.64316010724,0.537948674337334,0.18588612869736768,1.039097829999994,224.10870599999998,223.06960816999998,Scandata-backup-04\1Col\power_data\45.txt,2,2
3,3,41,0.262013673782,3.79,scan-leak-fixed-power,120.0,31.441640853840003,170.48332314616002,0.5961310239221619,0.156194479633271,0.6269352370000004,201.92496400000002,201.29802876300002,Scandata-backup-04\1Col\power_data\41.txt,2,2
4,4,48,0.217885673046,3.909,scan-leak-fixed-power,120.0,26.14628076552,145.17962923448,0.7031550306361986,0.15320740710584888,0.6665322360000001,171.32591,170.659377764,Scandata-backup-04\1Col\power_data\48.txt,2,2
5,5,44,0.00014526292216,3.976,scan-leak-fixed-power,120.0,0.0174315506592,214.53373144934076,0.5598309355182064,8.13226776089412e-05,0.20073613599999998,214.55116299999997,214.35042686399999,Scandata-backup-04\1Col\power_data\44.txt,2,2
6,6,46,0.0563939958811,4.209,scan-leak-fixed-power,120.0,6.7672795057320005,189.624332494268,0.612189035204353,0.03452378592976887,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt,2,2
7,7,42,0.059667006135,3.883,scan-leak-fixed-power,120.0,7.1600407362,233.9278692638,0.49989645004587824,0.029827324551752136,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt,2,2
8,8,49,0.0583156608045,4.187,scan-leak-fixed-power,120.0,6.99787929654,207.35987270346,0.5619796231382841,0.03277221308197291,0.8268781760000037,214.357752,213.530873824,Scandata-backup-04\1Col\power_data\49.txt,2,2
1,1,43,0.377824693918,3.934,scan-leak-fixed-power,120.0,45.33896327016,191.03590672984004,0.5095663461173611,0.1925267487527056,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt,3,3
2,2,45,0.33141374588,3.853,scan-leak-fixed-power,120.0,39.7696495056,184.33905649439998,0.537948674337334,0.17828358525331606,1.039097829999994,224.10870599999998,223.06960816999998,Scandata-backup-04\1Col\power_data\45.txt,3,3
3,3,41,0.000204316718737,4.163,scan-leak-fixed-power,120.0,0.02451800624844,201.9004459937516,0.5961310239221619,0.00012179953474510417,0.6269352370000004,201.92496400000002,201.29802876300002,Scandata-backup-04\1Col\power_data\41.txt,3,3
4,4,48,0.0104544525966,4.147,scan-leak-fixed-power,120.0,1.254534311592,170.07137568840798,0.7031550306361986,0.007351100935846958,0.6665322360000001,171.32591,170.659377764,Scandata-backup-04\1Col\power_data\48.txt,3,3
5,5,44,0.0771631747484,3.814,scan-leak-fixed-power,120.0,9.259580969807999,205.291582030192,0.5598309355182064,0.04319833230695161,0.20073613599999998,214.55116299999997,214.35042686399999,Scandata-backup-04\1Col\power_data\44.txt,3,3
6,6,46,0.0668829903007,4.195,scan-leak-fixed-power,120.0,8.025958836084,188.36565316391602,0.612189035204353,0.04094503330376763,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt,3,3
7,7,42,0.0722815841436,3.872,scan-leak-fixed-power,120.0,8.673790097232,232.414119902768,0.49989645004587824,0.03613330731707808,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt,3,3
8,8,49,0.0637750849128,4.182,scan-leak-fixed-power,120.0,7.653010189535999,206.70474181046401,0.5619796231382841,0.03584029818490741,0.8268781760000037,214.357752,213.530873824,Scandata-backup-04\1Col\power_data\49.txt,3,3
1,1,43,0.0841851308942,4.083,scan-leak-fixed-power,120.0,10.102215707304,226.27265429269605,0.5095663461173611,0.04289790954716926,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt,4,4
2,2,45,0.0608657002449,3.994,scan-leak-fixed-power,120.0,7.303884029388,216.80482197061198,0.537948674337334,0.03274262275935749,1.039097829999994,224.10870599999998,223.06960816999998,Scandata-backup-04\1Col\power_data\45.txt,4,4
3,3,41,0.290374070406,3.775,scan-leak-fixed-power,120.0,34.84488844872,167.08007555128,0.5961310239221619,0.17310099191157471,0.6269352370000004,201.92496400000002,201.29802876300002,Scandata-backup-04\1Col\power_data\41.txt,4,4
4,4,48,2.31218364206e-05,4.23,scan-leak-fixed-power,120.0,0.002774620370472,171.32313537962952,0.7031550306361986,1.6258235596692165e-05,0.6665322360000001,171.32591,170.659377764,Scandata-backup-04\1Col\power_data\48.txt,4,4
5,5,44,0.297050505877,3.663,scan-leak-fixed-power,120.0,35.64606070524,178.90510229475998,0.5598309355182064,0.16629806260127739,0.20073613599999998,214.55116299999997,214.35042686399999,Scandata-backup-04\1Col\power_data\44.txt,4,4
6,6,46,0.209460422397,4.085,scan-leak-fixed-power,120.0,25.13525068764,171.25636131236,0.612189035204353,0.12822937390071568,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt,4,4
7,7,42,2.5633336918e-05,3.995,scan-leak-fixed-power,120.0,0.00307600043016,241.08483399956984,0.49989645004587824,1.2814014128138153e-05,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt,4,4
8,8,49,0.0580153763294,4.187,scan-leak-fixed-power,120.0,6.961845159528,207.395906840472,0.5619796231382841,0.03260345932582194,0.8268781760000037,214.357752,213.530873824,Scandata-backup-04\1Col\power_data\49.txt,4,4
1,1,43,3.09886454488e-05,4.318,scan-leak-fixed-power,120.0,0.003718637453856,236.3711513625462,0.5095663461173611,1.5790770832471407e-05,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt,5,5
2,2,45,0.346715629101,3.846,scan-leak-fixed-power,120.0,41.60587549212,182.50283050788,0.537948674337334,0.1865152130469177,1.039097829999994,224.10870599999998,223.06960816999998,Scandata-backup-04\1Col\power_data\45.txt,5,5
3,3,41,0.264586389065,3.789,scan-leak-fixed-power,120.0,31.750366687799996,170.17459731220004,0.5961310239221619,0.15772815502918594,0.6269352370000004,201.92496400000002,201.29802876300002,Scandata-backup-04\1Col\power_data\41.txt,5,5
4,4,48,0.218158856034,3.908,scan-leak-fixed-power,120.0,26.17906272408,145.14684727591998,0.7031550306361986,0.1533994970981453,0.6665322360000001,171.32591,170.659377764,Scandata-backup-04\1Col\power_data\48.txt,5,5
