input_channel,switch_mzi,port,upload_voltage,mode,local_sample_row,sample_index,label
1,1,43,4.236,voltage-table,0,0,7
2,2,45,4.133,voltage-table,0,0,7
3,3,41,4.132,voltage-table,0,0,7
4,4,48,4.035,voltage-table,0,0,7
5,5,44,3.838,voltage-table,0,0,7
6,6,46,4.176,voltage-table,0,0,7
7,7,42,3.786,voltage-table,0,0,7
8,8,49,3.901,voltage-table,0,0,7
1,1,43,4.006,voltage-table,1,1,2
2,2,45,4.261,voltage-table,1,1,2
3,3,41,4.039,voltage-table,1,1,2
4,4,48,3.776,voltage-table,1,1,2
5,5,44,3.977,voltage-table,1,1,2
6,6,46,4.174,voltage-table,1,1,2
7,7,42,3.833,voltage-table,1,1,2
8,8,49,4.137,voltage-table,1,1,2
1,1,43,4.318,voltage-table,2,2,1
2,2,45,3.887,voltage-table,2,2,1
3,3,41,3.998,voltage-table,2,2,1
4,4,48,3.804,voltage-table,2,2,1
5,5,44,3.977,voltage-table,2,2,1
6,6,46,4.18,voltage-table,2,2,1
7,7,42,3.84,voltage-table,2,2,1
8,8,49,4.135,voltage-table,2,2,1
1,1,43,3.979,voltage-table,3,3,0
2,2,45,3.858,voltage-table,3,3,0
3,3,41,4.164,voltage-table,3,3,0
4,4,48,4.173,voltage-table,3,3,0
5,5,44,3.806,voltage-table,3,3,0
6,6,46,4.171,voltage-table,3,3,0
7,7,42,3.832,voltage-table,3,3,0
8,8,49,4.14,voltage-table,3,3,0
1,1,43,4.137,voltage-table,4,4,4
2,2,45,4.068,voltage-table,4,4,4
3,3,41,3.655,voltage-table,4,4,4
4,4,48,4.23,voltage-table,4,4,4
5,5,44,3.541,voltage-table,4,4,4
6,6,46,3.965,voltage-table,4,4,4
7,7,42,3.995,voltage-table,4,4,4
8,8,49,4.095,voltage-table,4,4,4
1,1,43,4.318,voltage-table,5,5,1
2,2,45,3.885,voltage-table,5,5,1
3,3,41,3.989,voltage-table,5,5,1
4,4,48,3.804,voltage-table,5,5,1
5,5,44,3.977,voltage-table,5,5,1
6,6,46,4.181,voltage-table,5,5,1
7,7,42,3.847,voltage-table,5,5,1
8,8,49,4.133,voltage-table,5,5,1
1,1,43,4.099,voltage-table,6,6,4
2,2,45,4.014,voltage-table,6,6,4
3,3,41,3.478,voltage-table,6,6,4
4,4,48,4.23,voltage-table,6,6,4
5,5,44,3.408,voltage-table,6,6,4
6,6,46,3.85,voltage-table,6,6,4
7,7,42,3.995,voltage-table,6,6,4
8,8,49,4.053,voltage-table,6,6,4
1,1,43,4.202,voltage-table,7,7,5
2,2,45,4.096,voltage-table,7,7,5
3,3,41,4.052,voltage-table,7,7,5
4,4,48,4.049,voltage-table,7,7,5
5,5,44,3.977,voltage-table,7,7,5
6,6,46,3.99,voltage-table,7,7,5
7,7,42,3.632,voltage-table,7,7,5
8,8,49,4.294,voltage-table,7,7,5
1,1,43,3.977,voltage-table,8,8,0
2,2,45,3.859,voltage-table,8,8,0
3,3,41,4.164,voltage-table,8,8,0
4,4,48,4.182,voltage-table,8,8,0
5,5,44,3.799,voltage-table,8,8,0
6,6,46,4.169,voltage-table,8,8,0
7,7,42,3.835,voltage-table,8,8,0
8,8,49,4.146,voltage-table,8,8,0
1,1,43,4.197,voltage-table,9,9,6
2,2,45,4.091,voltage-table,9,9,6
3,3,41,4.149,voltage-table,9,9,6
4,4,48,3.929,voltage-table,9,9,6
5,5,44,3.635,voltage-table,9,9,6
6,6,46,4.329,voltage-table,9,9,6
7,7,42,3.656,voltage-table,9,9,6
8,8,49,4.294,voltage-table,9,9,6
1,1,43,3.971,voltage-table,10,10,0
2,2,45,3.849,voltage-table,10,10,0
3,3,41,4.164,voltage-table,10,10,0
4,4,48,4.186,voltage-table,10,10,0
5,5,44,3.808,voltage-table,10,10,0
6,6,46,4.175,voltage-table,10,10,0
7,7,42,3.849,voltage-table,10,10,0
8,8,49,4.148,voltage-table,10,10,0
1,1,43,4.318,voltage-table,11,11,1
2,2,45,3.887,voltage-table,11,11,1
3,3,41,4.006,voltage-table,11,11,1
4,4,48,3.803,voltage-table,11,11,1
5,5,44,3.977,voltage-table,11,11,1
6,6,46,4.179,voltage-table,11,11,1
7,7,42,3.827,voltage-table,11,11,1
8,8,49,4.147,voltage-table,11,11,1
