mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,iteration
1,43,4.006,7.865274610481562,,7.078747149433405,8.651802071529717,1,1,2,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,1,1,2,4
3,41,4.039,7.850678424645119,,7.065610582180607,8.635746267109631,1,1,2,4
4,48,3.776,7.413632745248836,,6.672269470723952,8.15499601977372,1,1,2,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,1,1,2,4
6,46,4.174,8.126852914043118,,7.314167622638806,8.93953820544743,1,1,2,4
7,42,3.833,7.513100178964056,,6.76179016106765,8.264410196860462,1,1,2,4
8,49,4.137,8.038557884466575,,7.234702096019918,8.842413672913233,1,1,2,4
3,41,3.687,7.166489564661192,-0.13583606064876327,6.449840608195073,7.883138521127311,6,6,4,7
4,48,4.23,8.304996428072716,-0.13256290256083544,7.474496785265444,9.135496070879988,6,6,4,7
5,44,3.588,6.936476268777296,7.860489148144424,6.242828641899567,7.630123895655026,6,6,4,7
7,42,3.995,7.8306379376366815,-0.1292897444729076,7.047574143873013,8.613701731400349,6,6,4,7
8,49,4.121,8.007468465527381,-0.12274342829707055,7.206721618974643,8.808215312080119,6,6,4,7
1,43,4.143,8.134256792617352,,7.3208311133556165,8.947682471879087,6,6,4,10
2,45,4.06,7.97129678446209,,7.174167106015881,8.768426462908298,6,6,4,10
3,41,3.646,7.086797112219882,,6.378117400997894,7.79547682344187,6,6,4,10
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,6,6,4,10
5,44,3.551,6.864946273809415,,6.178451646428473,7.5514409011903565,6,6,4,10
6,46,3.962,7.714085109113281,,6.9426765982019525,8.48549362002461,6,6,4,10
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,6,6,4,10
8,49,4.1,7.96666360316968,,7.169997242852712,8.763329963486648,6,6,4,10
