local_sample_row,sample_index,label,converged,iterations_executed,final_loss_mae,final_loss_mse,final_max_abs_ratio_error,final_output_power_sum,initial_loss_mae,final_learning_rate,target_ratio_0,target_ratio_1,target_ratio_2,target_ratio_3,target_ratio_4,target_ratio_5,target_ratio_6,target_ratio_7,final_ratio_0,final_ratio_1,final_ratio_2,final_ratio_3,final_ratio_4,final_ratio_5,final_ratio_6,final_ratio_7,ratio_error_0,ratio_error_1,ratio_error_2,ratio_error_3,ratio_error_4,ratio_error_5,ratio_error_6,ratio_error_7,initial_coefficient_0,initial_coefficient_1,initial_coefficient_2,initial_coefficient_3,initial_coefficient_4,initial_coefficient_5,initial_coefficient_6,initial_coefficient_7,optimized_coefficient_0,optimized_coefficient_1,optimized_coefficient_2,optimized_coefficient_3,optimized_coefficient_4,optimized_coefficient_5,optimized_coefficient_6,optimized_coefficient_7,initial_voltage_0,initial_voltage_1,initial_voltage_2,initial_voltage_3,initial_voltage_4,initial_voltage_5,initial_voltage_6,initial_voltage_7,final_voltage_0,final_voltage_1,final_voltage_2,final_voltage_3,final_voltage_4,final_voltage_5,final_voltage_6,final_voltage_7,final_output_power_0,final_output_power_1,final_output_power_2,final_output_power_3,final_output_power_4,final_output_power_5,final_output_power_6,final_output_power_7
0,0,7,True,2,0.01246446854083838,0.00030026045253456625,0.03127682965816336,9.749751e-05,0.07568033175088586,0.385875,0.04853375274140279,0.04585953446424052,0.05445180853624932,0.0657622742122842,0.0749263691713232,0.0799722152947205,0.16090391636241536,0.4695901292173641,0.04225879204504813,0.04464574531185463,0.042884438792334285,0.09703910387044756,0.09350741367651337,0.07982221289548831,0.16031147872391818,0.43953081468439553,-0.0062749606963546645,-0.0012137891523858885,-0.011567369743915035,0.03127682965816336,0.018581044505190172,-0.00015000239923218528,-0.000592437638497173,-0.030059314532968562,0.04853375274140279,0.04585953446424052,0.05445180853624932,0.0657622742122842,0.0749263691713232,0.0799722152947205,0.16090391636241536,0.4695901292173641,0.021360358057488864,0.025223354173601463,0.01130034429323357,0.07064502272511097,0.05876095713302941,0.08753051623601299,0.17776509845502325,0.5474143489264994,4.13,4.028,4.004,4.04,3.817,4.184,3.795,3.936,4.235,4.133,4.131,4.035,3.837,4.178,3.785,3.9,4.120127e-06,4.352849e-06,4.181126e-06,9.461071e-06,9.11674e-06,7.782467e-06,1.562997e-05,4.285316e-05
1,1,2,True,4,0.016652968204725494,0.00041937405376819045,0.04362752386716284,0.000159549009,0.07391470203775687,0.4254271875,0.30112748492139063,3.949233612730607e-05,0.2605194078203329,0.2535214948949493,0.00023146866519655526,0.06246592673983003,0.0642028209409295,0.05789190368124378,0.3447550087885535,0.006569479851799016,0.26765694295224357,0.23440866373541686,0.009548294969353272,0.05530535761585332,0.0485653032166436,0.03319094887013682,0.04362752386716284,0.00652998751567171,0.007137535131910677,-0.01911283115953244,0.009316826304156717,-0.007160569123976709,-0.015637517724285892,-0.024700954811106957,0.30112748492139063,3.949233612730607e-05,0.2605194078203329,0.2535214948949493,0.00023146866519655526,0.06246592673983003,0.0642028209409295,0.05789190368124378,0.21190690397836656,0.0,0.0427459611130966,0.43516932839692446,0.0,0.0927153525002098,0.11556980364686542,0.11714124616417201,3.967,4.261,3.791,3.885,3.975,4.198,3.879,4.188,4.006,4.261,4.039,3.776,3.977,4.174,3.833,4.137,5.500532e-05,1.048154e-06,4.27044e-05,3.739967e-05,1.523421e-06,8.823915e-06,7.748546e-06,5.295583e-06
2,2,1,True,4,0.014063391500365719,0.0003486417080896871,0.04122599887577871,0.00015362232169999999,0.06109595308691155,0.4254271875,3.2616833985123054e-05,0.34554617942804655,0.26201364622309664,0.21788565012853114,0.00014526290688107667,0.056393989949513834,0.0596669998591548,0.058315654670790876,0.0010703112554248033,0.38677217830382526,0.2672621370752269,0.20193666946774183,0.008886644758995333,0.05128938238146677,0.04856967345260478,0.03421300330471441,0.0010376944214396803,0.04122599887577871,0.00524849085213025,-0.015948980660789314,0.008741381852114255,-0.005104607568047065,-0.01109732640655002,-0.024102651366076464,3.2616833985123054e-05,0.34554617942804655,0.26201364622309664,0.21788565012853114,0.00014526290688107667,0.056393989949513834,0.0596669998591548,0.058315654670790876,0.0,0.2549670412096548,0.055357758430683225,0.38575223625941657,0.0,0.0852609394541671,0.10942578816260977,0.11864764893171348,4.318,3.846,3.79,3.909,3.976,4.209,3.883,4.187,4.318,3.887,4.002,3.804,3.977,4.18,3.838,4.136,1.644237e-07,5.941684e-05,4.105743e-05,3.102198e-05,1.365187e-06,7.879194e-06,7.461386e-06,5.255881e-06
3,3,0,True,3,0.01831658441846519,0.0005991245472141045,0.05126357968104983,0.000165290191,0.0361821269081606,0.40516875,0.3778246775888568,0.3314137315566839,0.00020431670990666938,0.010454452144770735,0.07716317141349746,0.06688298741009506,0.07228158101967412,0.0637750821565151,0.4290882572699066,0.3450601009953458,0.008346853443953006,0.010668303964873511,0.07645728959197584,0.05178396218321267,0.047618106993414996,0.03097712555731755,0.05126357968104983,0.013646369438661876,0.008142536734046336,0.00021385182010277663,-0.00070588182152162,-0.01509902522688239,-0.024663474026259125,-0.032797956599197556,0.3778246775888568,0.3314137315566839,0.00020431670990666938,0.010454452144770735,0.07716317141349746,0.06688298741009506,0.07228158101967412,0.0637750821565151,0.27072049087965744,0.31950294308742505,0.0,0.0072595316603820655,0.08409285105113816,0.09617535755006194,0.1169932718271158,0.11364578036764271,3.934,3.853,4.163,4.147,3.814,4.195,3.872,4.182,3.979,3.858,4.164,4.172,3.806,4.171,3.832,4.14,7.092408e-05,5.703505e-05,1.379653e-06,1.763366e-06,1.263764e-05,8.559381e-06,7.870806e-06,5.120215e-06
4,4,4,False,20,0.03914895061397816,0.0037970979563881173,0.15330557526058777,0.0002965867503,0.08891851067327589,0.442216284190737,0.0841851341503262,0.060865702599073465,0.2903740816371356,2.3121837314910157e-05,0.29705051736636784,0.20946043049854432,2.563333790945038e-05,0.058015378573328176,0.0817591142405123,0.05984960549331727,0.2357258708599836,0.15332869709790267,0.24721680899714824,0.17507107093448604,0.0033158605332343463,0.043732971843415486,-0.0024260199098139063,-0.001016097105756196,-0.054648210777151984,0.15330557526058777,-0.049833708369219604,-0.03438935956405828,0.0032902271953248957,-0.01428240672991269,0.0841851341503262,0.060865702599073465,0.2903740816371356,2.3121837314910157e-05,0.29705051736636784,0.20946043049854432,2.563333790945038e-05,0.058015378573328176,0.050560162120051315,0.04065169680247713,0.6290723466786926,0.0,0.6270432034477778,0.48793222219552523,0.0,0.19360036393540336,4.083,3.994,3.775,4.23,3.663,4.085,3.995,4.187,4.122,4.054,3.609,4.23,3.5,3.932,3.995,4.081,2.424867e-05,1.77506e-05,6.991317e-05,4.547526e-05,7.332123e-05,5.192376e-05,9.834403e-07,1.297062e-05
5,5,1,True,4,0.019974574626165684,0.0007482065527576225,0.05840469444984003,0.0001480572391,0.06058993890796294,0.4254271875,3.0988647496305815e-05,0.3467156520094639,0.2645864065469571,0.21815887044836113,0.0001233473967299043,0.05518683783264731,0.05497443666701338,0.060223460451330924,0.0010976167122111358,0.40512034645930395,0.2767398625630592,0.18093218651677534,0.008396867370735675,0.05260159548659313,0.043911247025272944,0.03120027786604863,0.00106662806471483,0.05840469444984003,0.012153456016102127,-0.03722668393158579,0.008273519974005772,-0.00258524234605418,-0.011063189641740433,-0.029023182585282293,3.0988647496305815e-05,0.3467156520094639,0.2645864065469571,0.21815887044836113,0.0001233473967299043,0.05518683783264731,0.05497443666701338,0.060223460451330924,0.0,0.25802920910636384,0.059265909320403876,0.3865523418903033,0.0,0.08372690433940057,0.09969753317585528,0.12215638155637237,4.318,3.846,3.789,3.908,3.976,4.211,3.887,4.186,4.318,3.885,3.99,3.804,3.977,4.181,3.847,4.133,1.625101e-07,5.9981e-05,4.097334e-05,2.678832e-05,1.243217e-06,7.788047e-06,6.501378e-06,4.619427e-06
6,6,4,False,20,0.038976923696958196,0.003794643906118047,0.15291762644071624,0.000384847811,0.0892264251632639,0.442216284190737,0.07853977044164652,0.06546226483100098,0.3008171475859365,2.4597258199360088e-05,0.28675822909632886,0.21403748906255535,2.8711977971506637e-05,0.05433178974636086,0.07629067688785685,0.06381738260686118,0.24319026203321706,0.1529422236989156,0.23814112327119352,0.18055235865691333,0.0030187803250880385,0.042047192519954334,-0.0022490935537896745,-0.0016448822241398042,-0.057626885552719415,0.15291762644071624,-0.04861710582513534,-0.03348513040564202,0.002990068347116532,-0.012284597226406527,0.07853977044164652,0.06546226483100098,0.3008171475859365,2.4597258199360088e-05,0.28675822909632886,0.21403748906255535,2.8711977971506637e-05,0.05433178974636086,0.056356562118551556,0.04706300999314491,0.8678032519919779,0.0,0.7871216427238605,0.6246739933326065,0.0,0.23046120921616728,4.087,3.992,3.77,4.23,3.668,4.083,3.995,4.191,4.1,4.021,3.501,4.23,3.427,3.864,3.995,4.059,2.93603e-05,2.455998e-05,9.359124e-05,5.885948e-05,9.164809e-05,6.948518e-05,1.161771e-06,1.618177e-05
7,7,5,True,3,0.01731059456344762,0.00044998542644296424,0.036297785363742896,0.00013006819059999998,0.14091491542871612,0.40516875,0.08215784878421152,0.06351169829299765,0.07749034324646564,0.044500305446368994,6.781236757495749e-05,0.36237352433148273,0.36978673268182416,0.00011173484907444453,0.11845563414795442,0.06271929333658312,0.06648587145026373,0.018114213699225553,0.004332132225417458,0.3826403655683668,0.3387273229277936,0.00852516664439553,0.036297785363742896,-0.0007924049564145275,-0.011004471796201912,-0.02638609174714344,0.0042643198578425,0.020266841236884048,-0.031059409754030542,0.008413431795321086,0.08215784878421152,0.06351169829299765,0.07749034324646564,0.044500305446368994,6.781236757495749e-05,0.36237352433148273,0.36978673268182416,0.00011173484907444453,0.03995736952078846,0.031647861187907966,0.04198211584960737,0.028709289391918552,0.0,0.37801931184134596,0.5304610516582474,0.0,4.084,3.993,3.937,4.066,3.976,3.996,3.679,4.294,4.163,4.1,4.041,4.085,3.977,3.988,3.605,4.294,1.540731e-05,8.157785e-06,8.647697e-06,2.356083e-06,5.634726e-07,4.976934e-05,4.405765e-05,1.108853e-06
8,8,0,True,3,0.018193199760289713,0.0005884804211638723,0.051180716769122725,0.00016607861,0.035534592560680686,0.40516875,0.3811478052482521,0.3293990521963986,0.0001354352583052801,0.00807543106071837,0.08329631461887438,0.0685697278486791,0.06973671229790414,0.059639521470868,0.4323285220173748,0.34225629658148027,0.008708352026790205,0.008237352179187914,0.08219041573144187,0.053207345605794744,0.045273801364305734,0.027797914493624433,0.051180716769122725,0.012857244385081679,0.008572916768484925,0.00016192111846954384,-0.0011058988874325104,-0.015362382242884352,-0.024462910933598404,-0.031841606977243565,0.3811478052482521,0.3293990521963986,0.0001354352583052801,0.00807543106071837,0.08329631461887438,0.0685697278486791,0.06973671229790414,0.059639521470868,0.27593067500224516,0.31728569913808713,0.0,0.0060268419058548,0.09030891491838713,0.09876949258954151,0.11357044191918851,0.10698141095981711,3.933,3.853,4.164,4.166,3.807,4.193,3.874,4.186,3.977,3.859,4.164,4.182,3.799,4.169,3.835,4.146,7.180052e-05,5.684145e-05,1.446271e-06,1.368048e-06,1.365007e-05,8.836602e-06,7.51901e-06,4.616639e-06
9,9,6,True,2,0.017478492380240327,0.0006237881216299805,0.05542871197736399,0.0001357085612,0.08284518448673456,0.385875,0.06116562361192095,0.06391977155111646,0.06456236918985415,0.16371834836681387,0.32453356326880917,2.360422742947539e-05,0.3220529373029509,2.3782481104833174e-05,0.07320754794060849,0.054414945783096254,0.05958193741427715,0.2026323892674208,0.33356178563626243,0.002468887718190619,0.26662422532558694,0.007508280914557365,0.012041924328687545,-0.009504825768020204,-0.004980431775577006,0.03891404090060693,0.009028222367453265,0.0024452834907611434,-0.05542871197736399,0.007484498433452532,0.06116562361192095,0.06391977155111646,0.06456236918985415,0.16371834836681387,0.32453356326880917,2.360422742947539e-05,0.3220529373029509,2.3782481104833174e-05,0.03241542329403638,0.030599313274521554,0.006957917072916892,0.18770570455207025,0.3490460584807274,0.0,0.3997511352908553,0.0,4.097,3.993,3.975,3.95,3.648,4.329,3.702,4.294,4.192,4.105,4.144,3.932,3.635,4.329,3.666,4.294,9.934891e-06,7.384574e-06,8.085779e-06,2.749895e-05,4.526719e-05,3.350492e-07,3.618319e-05,1.018938e-06
10,10,0,True,3,0.016699517753245723,0.0004728322685762276,0.043579454790977135,0.000167012287,0.032870523891470646,0.40516875,0.39320367841646164,0.3452582346410413,0.0001261344545614084,0.006938450145759598,0.07495414339594696,0.06305191441523965,0.058917143590982886,0.05755030094000658,0.4367831332074388,0.35914543221601414,0.009045322515702094,0.0073506807316517965,0.07493316943800667,0.04819519057301455,0.0375573864215152,0.026989684896656735,0.043579454790977135,0.013887197574972865,0.008919188061140686,0.0004122305858921989,-2.097395794029011e-05,-0.014856723842225097,-0.021359757169467683,-0.030560616043349843,0.39320367841646164,0.3452582346410413,0.0001261344545614084,0.006938450145759598,0.07495414339594696,0.06305191441523965,0.058917143590982886,0.05755030094000658,0.28315653638081906,0.34199469597819526,0.0,0.005625250731732242,0.08291206721975511,0.09172339279405041,0.10014946649785263,0.10356021667598257,3.928,3.846,4.164,4.175,3.817,4.198,3.884,4.188,3.974,3.848,4.164,4.185,3.807,4.175,3.847,4.148,7.294815e-05,5.99817e-05,1.51068e-06,1.227654e-06,1.251476e-05,8.049189e-06,6.272545e-06,4.507609e-06
11,11,1,True,4,0.013441432014489298,0.0003428985222192426,0.04213510275890092,0.00015407356189999999,0.061285844385131176,0.4254271875,3.316189417941974e-05,0.3435311936986745,0.26005417286371085,0.2190185502250366,0.00013458481499752922,0.0574703928288843,0.06915582018710993,0.050602123487406905,0.0010817034275365839,0.38566629645757544,0.26177391826754415,0.20545127671251692,0.00899692317686335,0.05274681716824774,0.05639867666355289,0.027884388126163003,0.001048541533357164,0.04213510275890092,0.0017197454038332949,-0.013567273512519684,0.008862338361865821,-0.00472357566063656,-0.012757143523557044,-0.022717735361243902,3.316189417941974e-05,0.3435311936986745,0.26005417286371085,0.2190185502250366,0.00013458481499752922,0.0574703928288843,0.06915582018710993,0.050602123487406905,0.0,0.25424071581217705,0.05379948157735715,0.3879908341719492,0.0,0.08606942299527848,0.12227084264678936,0.10510116335047416,4.318,3.847,3.791,3.908,3.976,4.206,3.875,4.194,4.318,3.887,4.006,3.803,3.977,4.179,3.827,4.147,1.666619e-07,5.942098e-05,4.033244e-05,3.165461e-05,1.386188e-06,8.12689e-06,8.689545e-06,4.296247e-06
