mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,active_input_channel
7,42,3.995,7.8306379376366815,6.868722247504096,7.047574143873013,8.613701731400349,4,104,6,8
6,46,4.329,8.428640695949365,7.389154383483672,7.585776626354429,9.271504765544302,8,108,5,7
1,43,4.318,8.477847171257958,-107.25320764598062,7.630062454132162,9.325631888383754,9,109,6,5
2,45,4.261,8.36593487650073,-107.25320764598062,7.529341388850658,9.202528364150805,9,109,6,5
3,41,4.164,8.093643218673503,-107.25320764598062,7.2842788968061525,8.903007540540854,9,109,6,5
4,48,4.23,8.304996428072716,-107.25320764598062,7.474496785265444,9.135496070879988,9,109,6,5
5,44,3.636,7.029271937924818,-107.25320764598062,6.326344744132337,7.7321991317173,9,109,6,5
6,46,4.329,8.428640695949365,-107.25320764598062,7.585776626354429,9.271504765544302,9,109,6,5
7,42,3.995,7.8306379376366815,-107.25320764598062,7.047574143873013,8.613701731400349,9,109,6,5
8,49,4.294,8.343622807807465,-107.25320764598062,7.5092605270267185,9.177985088588212,9,109,6,5
1,43,4.216,8.27758306485029,,7.449824758365262,9.105341371335319,11,111,5,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,11,111,5,1
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,11,111,5,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,11,111,5,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,11,111,5,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,11,111,5,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,11,111,5,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,11,111,5,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,24,124,2,6
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,24,124,2,6
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,24,124,2,6
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,24,124,2,6
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,24,124,2,6
6,46,4.175,8.128799931990898,,7.315919938791808,8.941679925189987,24,124,2,6
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,24,124,2,6
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,24,124,2,6
5,44,3.977,7.688507837493675,6.734522765899296,6.919657053744308,8.457358621243042,31,131,6,6
3,41,3.541,6.88270668523604,7.687011769484565,6.194436016712436,7.570977353759644,35,135,4,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,37,137,5,2
2,45,4.054,7.9595165429087,,7.16356488861783,8.75546819719957,37,137,5,2
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,37,137,5,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,37,137,5,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,37,137,5,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,37,137,5,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,37,137,5,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,37,137,5,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,48,148,3,5
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,48,148,3,5
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,48,148,3,5
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,48,148,3,5
5,44,3.728,7.207130303790904,,6.4864172734118135,7.927843334169994,48,148,3,5
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,48,148,3,5
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,48,148,3,5
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,48,148,3,5
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,57,157,5,4
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,57,157,5,4
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,57,157,5,4
4,48,4.075,8.000676227989674,,7.200608605190706,8.800743850788642,57,157,5,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,57,157,5,4
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,57,157,5,4
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,57,157,5,4
