local_sample_row,sample_index,label,input_channel,target_ratio,final_ratio,ratio_error,initial_coefficient,optimized_coefficient,initial_voltage,final_voltage,final_output_power,converged,final_loss_mae
0,200,1,1,2.984465397011472e-05,0.0010470995705205287,0.0010172549165504141,2.984465397011472e-05,0.0,4.318,4.318,1.603612e-07,True,0.017577472634187123
0,200,1,2,0.3464745588233362,0.38715165629540016,0.04067709747206394,0.3464745588233362,0.25549634568570706,3.846,3.886,5.92915e-05,True,0.017577472634187123
0,200,1,3,0.2645008569407483,0.28499341400454714,0.020492557063798822,0.2645008569407483,0.05875838178328698,3.789,3.992,4.364617e-05,True,0.017577472634187123
0,200,1,4,0.21977068528730148,0.1905990343646366,-0.029171650922664882,0.21977068528730148,0.3920725604732824,3.907,3.8,2.918986e-05,True,0.017577472634187123
0,200,1,5,9.451466777362677e-05,0.008217495752108938,0.008122981084335311,9.451466777362677e-05,0.0,3.976,3.977,1.258493e-06,True,0.017577472634187123
0,200,1,6,0.05417455743895503,0.04918208684458182,-0.004992470594373209,0.05417455743895503,0.08232592059880478,4.213,4.182,7.532138e-06,True,0.017577472634187123
0,200,1,7,0.0614750833575803,0.04867982757635211,-0.012795255781228192,0.0614750833575803,0.11041651026669877,3.882,3.837,7.455218e-06,True,0.017577472634187123
0,200,1,8,0.05347989883033486,0.03012938559185266,-0.023350513238482203,0.05347989883033486,0.11002066737241484,4.191,4.143,4.614255e-06,True,0.017577472634187123
1,201,5,1,0.060206513402450264,0.05611278593776988,-0.004093727464680383,0.060206513402450264,0.026289692169666964,4.098,4.216,6.778765e-06,True,0.014667517219429192
1,201,5,2,0.07430033044969811,0.11295806819716075,0.038657737747462645,0.07430033044969811,0.03914611394992004,3.987,4.062,1.364602e-05,True,0.014667517219429192
1,201,5,3,0.06274983628283305,0.057793694888540005,-0.004956141394293047,0.06274983628283305,0.03521287581064205,3.98,4.061,6.981829e-06,True,0.014667517219429192
1,201,5,4,0.027144571380542385,0.025221001441190858,-0.001923569939351527,0.027144571380542385,0.03643055034100292,4.087,4.076,3.04685e-06,True,0.014667517219429192
1,201,5,5,2.7299889218893262e-05,0.00516639944857604,0.005139099559357147,2.7299889218893262e-05,0.0,3.977,3.977,6.241324e-07,True,0.014667517219429192
1,201,5,6,0.38874726622482836,0.39485831321747006,0.0061110469926417,0.38874726622482836,0.3718493592410511,3.983,3.991,4.770128e-05,True,0.014667517219429192
1,201,5,7,0.3867967339206994,0.33910010384130757,-0.047696630079391844,0.3867967339206994,0.5043965875488929,3.672,3.617,4.096535e-05,True,0.014667517219429192
1,201,5,8,2.7448449729576474e-05,0.008789633027984817,0.008762184578255242,2.7448449729576474e-05,0.0,4.294,4.294,1.061841e-06,True,0.014667517219429192
2,202,7,1,0.05175915341167127,0.038804785540707265,-0.012954367870964004,0.05175915341167127,0.02070257189502015,4.118,4.238,3.724965e-06,True,0.012662426762196206
2,202,7,2,0.04007441163030277,0.042117130652815235,0.0020427190225124625,0.04007441163030277,0.024398569200116543,4.057,4.137,4.042925e-06,True,0.012662426762196206
2,202,7,3,0.0634147596976483,0.05339663666960846,-0.010018123028039838,0.0634147596976483,0.013536325174345411,3.978,4.124,5.125672e-06,True,0.012662426762196206
2,202,7,4,0.06897610400252951,0.097790176396545,0.028814072394015483,0.06897610400252951,0.07577201071325446,4.037,4.028,9.387115e-06,True,0.012662426762196206
2,202,7,5,0.07406026842418846,0.09359874097549771,0.01953847255130925,0.07406026842418846,0.05895682333849181,3.818,3.837,8.984769e-06,True,0.012662426762196206
2,202,7,6,0.07925066322365165,0.0795051063045993,0.00025444308094764445,0.07925066322365165,0.08723221355980383,4.185,4.178,7.631887e-06,True,0.012662426762196206
2,202,7,7,0.15865109801794533,0.15850523520020274,-0.00014586281774259247,0.15865109801794533,0.17616130635989447,3.796,3.786,1.52153e-05,True,0.012662426762196206
2,202,7,8,0.4638135415920626,0.43628218826002424,-0.027531353332038377,0.4638135415920626,0.5432401797590731,3.939,3.902,4.187978e-05,True,0.012662426762196206
3,203,2,1,0.3032184288108987,0.3461493764438054,0.04293094763290667,0.3032184288108987,0.21292997292269195,3.966,4.005,5.425682e-05,True,0.01818452955160342
3,203,2,2,3.119461065293287e-05,0.006364956415759143,0.00633376180510621,3.119461065293287e-05,0.0,4.261,4.261,9.976684e-07,True,0.01818452955160342
3,203,2,3,0.2585911832952968,0.27330107756810856,0.014709894272811774,0.2585911832952968,0.0421178228410238,3.792,4.04,4.283829e-05,True,0.01818452955160342
3,203,2,4,0.25347403556146664,0.22732699006068935,-0.02614704550077729,0.25347403556146664,0.4331691202743299,3.885,3.777,3.563213e-05,True,0.01818452955160342
3,203,2,5,7.60803605016553e-05,0.00883959485609079,0.008763514495589134,7.60803605016553e-05,0.0,3.976,3.977,1.385553e-06,True,0.01818452955160342
3,203,2,6,0.05643011903572033,0.049676316562662276,-0.006753802473058054,0.05643011903572033,0.08434138966862227,4.209,4.181,7.786462e-06,True,0.01818452955160342
3,203,2,7,0.062352316836946454,0.047532667615255764,-0.01481964922169069,0.062352316836946454,0.11191624004873801,3.881,3.836,7.450458e-06,True,0.01818452955160342
3,203,2,8,0.0658266414885164,0.040809020477628855,-0.025017621010887545,0.0658266414885164,0.13056177250322198,4.181,4.125,6.396567e-06,True,0.01818452955160342
4,204,3,1,0.039244984158216874,0.0381935337222757,-0.0010514504359411744,0.039244984158216874,0.02586778581867245,4.166,4.218,6.62702e-06,False,0.022089704853389288
4,204,3,2,0.06931232059522882,0.06849577812015649,-0.0008165424750723321,0.06931232059522882,0.03728652884985674,3.99,4.071,1.188481e-05,False,0.022089704853389288
4,204,3,3,2.2412692951954394e-05,0.08434872671603398,0.08432631402308202,2.2412692951954394e-05,0.0,4.164,4.164,1.463548e-05,False,0.022089704853389288
4,204,3,4,0.3294699558316094,0.296099216899484,-0.03337073893212539,0.3294699558316094,0.4300925960201061,3.839,3.779,5.137664e-05,False,0.022089704853389288
4,204,3,5,0.21899624622526745,0.20865530753943384,-0.010340938685833606,0.21899624622526745,0.20327614108574862,3.705,3.717,3.620411e-05,False,0.022089704853389288
4,204,3,6,0.28641722199581915,0.25621265486791456,-0.03020456712790459,0.28641722199581915,0.4353030747464638,4.04,3.959,4.445586e-05,False,0.022089704853389288
4,204,3,7,3.3188902994771786e-05,0.004065694293469882,0.00403250539047511,3.3188902994771786e-05,0.0,3.995,3.995,7.05445e-07,False,0.022089704853389288
4,204,3,8,0.05650366959791165,0.04392908784123157,-0.012574581756680081,0.05650366959791165,0.13629988175424787,4.189,4.12,7.622205e-06,False,0.022089704853389288
5,205,0,1,0.38703525483718293,0.43666909980665713,0.049633844969474206,0.38703525483718293,0.28220227110630686,3.93,3.975,7.116896e-05,True,0.01797501295069248
5,205,0,2,0.33289879919446,0.346140940720472,0.013242141526011997,0.33289879919446,0.32143858447392554,3.852,3.857,5.641455e-05,True,0.01797501295069248
5,205,0,3,0.000126455839107502,0.009070136898959717,0.008943681059852215,0.000126455839107502,0.0,4.164,4.164,1.478264e-06,True,0.01797501295069248
5,205,0,4,0.007582727435780274,0.007663111683211688,8.038424743141408e-05,0.007582727435780274,0.005964885268837192,4.17,4.183,1.248945e-06,True,0.01797501295069248
5,205,0,5,0.07469010433624128,0.0741740886414903,-0.0005160156947509736,0.07469010433624128,0.08167522736146211,3.818,3.809,1.2089e-05,True,0.01797501295069248
5,205,0,6,0.07104007976358512,0.055378826164890434,-0.015661253598694684,0.07104007976358512,0.10198911287683786,4.191,4.166,9.025721e-06,True,0.01797501295069248
5,205,0,7,0.06758713050045392,0.04315963136981183,-0.024427499130642093,0.06758713050045392,0.11019118427178881,3.876,3.838,7.034219e-06,True,0.01797501295069248
5,205,0,8,0.059039448093189076,0.02774416471450679,-0.03129528337868229,0.059039448093189076,0.10578244138183715,4.187,4.147,4.521784e-06,True,0.01797501295069248
6,206,4,1,0.10859041023856626,0.1301763923389178,0.02158598210035155,0.10859041023856626,0.0458452108027131,4.068,4.14,1.981031e-05,False,0.03985607114360673
6,206,4,2,0.06595202148423109,0.07762235693972602,0.011670335455494937,0.06595202148423109,0.03419121250500437,3.992,4.087,1.181261e-05,False,0.03985607114360673
6,206,4,3,0.3048146486253053,0.23077041602157122,-0.07404423260373405,0.3048146486253053,0.3071352344885908,3.768,3.766,3.511876e-05,False,0.03985607114360673
6,206,4,4,0.047663358037500124,0.17383132505608057,0.12616796701858043,0.047663358037500124,0.0,4.062,4.23,2.645374e-05,False,0.03985607114360673
6,206,4,5,0.3247187245104535,0.2968222375484597,-0.027896486961993816,0.3247187245104535,0.408166966658237,3.648,3.604,4.517056e-05,False,0.03985607114360673
6,206,4,6,0.01669581136498996,0.00816145895399017,-0.00853435241099979,0.01669581136498996,0.025780850941310128,4.293,4.274,1.242015e-06,False,0.03985607114360673
6,206,4,7,0.11872446585496067,0.08243328832460046,-0.03629117753036021,0.11872446585496067,0.16610545796965182,3.83,3.792,1.254474e-05,False,0.03985607114360673
6,206,4,8,0.012840559883992988,0.00018252481665396783,-0.01265803506733902,0.012840559883992988,0.02188930153132062,4.266,4.247,2.777672e-08,False,0.03985607114360673
7,207,4,1,0.08195355993659081,0.07979811560745316,-0.002155444329137654,0.08195355993659081,0.04433999765869321,4.085,4.146,1.866046e-05,False,0.042418989723187396
7,207,4,2,0.06483981376536781,0.06287047027033506,-0.0019693434950327493,0.06483981376536781,0.03757770237737529,3.992,4.07,1.4702e-05,False,0.042418989723187396
7,207,4,3,0.2954130934272303,0.2368886793383301,-0.05852441408890022,0.2954130934272303,0.511016137362322,3.773,3.664,5.539544e-05,False,0.042418989723187396
7,207,4,4,2.187594268200429e-05,0.16621293982221058,0.1661910638795286,2.187594268200429e-05,0.0,4.23,4.23,3.886821e-05,False,0.042418989723187396
7,207,4,5,0.29159589255238827,0.23934362965616401,-0.052252262896224255,0.29159589255238827,0.4914526312996881,3.666,3.564,5.596952e-05,False,0.042418989723187396
7,207,4,6,0.21134128860447407,0.17205452249826728,-0.039286766106206794,0.21134128860447407,0.396235116177977,4.084,3.979,4.023424e-05,False,0.042418989723187396
7,207,4,7,2.2957786690409885e-05,0.003507852799911441,0.003484895013221031,2.2957786690409885e-05,0.0,3.995,3.995,8.202969e-07,False,0.042418989723187396
7,207,4,8,0.05481151798457627,0.03932379000732837,-0.0154877279772479,0.05481151798457627,0.14852619408140183,4.19,4.11,9.195706e-06,False,0.042418989723187396
8,208,2,1,0.30176168765158545,0.34760185423900714,0.04584016658742168,0.30176168765158545,0.21497051413961693,3.966,4.004,5.449852e-05,True,0.015288626271653633
8,208,2,2,5.8156673271791464e-05,0.006560139474152386,0.006501982800880594,5.8156673271791464e-05,0.0,4.261,4.261,1.028527e-06,True,0.015288626271653633
8,208,2,3,0.2677961561895206,0.2629002075137374,-0.0048959486757831905,0.2677961561895206,0.03861797484580706,3.787,4.051,4.121863e-05,True,0.015288626271653633
8,208,2,4,0.2551170548656349,0.24452598477019885,-0.010591070095436056,0.2551170548656349,0.4478649384748568,3.884,3.769,3.833784e-05,True,0.015288626271653633
8,208,2,5,0.00046230269402361375,0.009274658392335778,0.008812355698312164,0.00046230269402361375,0.0,3.973,3.977,1.454121e-06,True,0.015288626271653633
8,208,2,6,0.055896906271954566,0.04925408388577431,-0.006642822386180254,0.055896906271954566,0.08403935300962462,4.21,4.181,7.722268e-06,True,0.015288626271653633
8,208,2,7,0.05655793302559867,0.041982470198438655,-0.014575462827160011,0.05655793302559867,0.10310867092110912,3.886,3.844,6.582193e-06,True,0.015288626271653633
8,208,2,8,0.062349802628410556,0.03790060152635545,-0.024449201102055104,0.062349802628410556,0.12461267521435562,4.184,4.13,5.94222e-06,True,0.015288626271653633
9,209,4,1,0.08521143688605619,0.08078393228375667,-0.004427504602299515,0.08521143688605619,0.04049951475806951,4.083,4.161,1.552898e-05,False,0.043843284105152945
9,209,4,2,0.061520578943264854,0.061341245135302404,-0.00017933380796245069,0.061520578943264854,0.03391851789598913,3.994,4.088,1.179154e-05,False,0.043843284105152945
9,209,4,3,0.2951655506202506,0.2394176336721039,-0.055747916948146736,0.2951655506202506,0.4129002990857186,3.773,3.711,4.602291e-05,False,0.043843284105152945
9,209,4,4,2.3886575084237024e-05,0.17146748548895613,0.1714435989138719,2.3886575084237024e-05,0.0,4.23,4.23,3.296095e-05,False,0.043843284105152945
9,209,4,5,0.29205532052657135,0.24196631825691123,-0.05008900226966012,0.29205532052657135,0.40715977347642324,3.665,3.604,4.651284e-05,False,0.043843284105152945
9,209,4,6,0.21150346948150317,0.16886579109474914,-0.04263767838675403,0.21150346948150317,0.3269623788965545,4.084,4.016,3.246083e-05,False,0.043843284105152945
9,209,4,7,2.6007131187943392e-05,0.0039555446379278035,0.0039295375067398605,2.6007131187943392e-05,0.0,3.995,3.995,7.603687e-07,False,0.043843284105152945
9,209,4,8,0.054493749836081566,0.032202049430292624,-0.022291700405788942,0.054493749836081566,0.11572683418591341,4.19,4.138,6.190154e-06,False,0.043843284105152945
10,210,1,1,3.515546793092171e-05,0.0010637490317503956,0.001028593563819474,3.515546793092171e-05,0.0,4.318,4.318,1.620662e-07,True,0.015228538696349724
10,210,1,2,0.3512818908689547,0.38894226888208516,0.037660378013130436,0.3512818908689547,0.2589111459919056,3.844,3.885,5.925683e-05,True,0.015228538696349724
