input_channel,switch_mzi,port,feature_coefficient,upload_voltage,mode,input_reference_power_uw,target_chip_power_uw,target_leak_power,reference_fraction_of_max,target_fraction_of_max,p_on_leak,p_off_leak,chip_power_max_uw,scan_path,reference_input_channel
1,1,43,1.0,3.709,scan-leak-fixed-power,120.0,120.0,116.37487000000004,0.5095663461173611,0.5095663461173611,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt,1
2,2,45,0.0,4.261,scan-leak-fixed-power,120.0,0.0,224.10870599999998,0.537948674337334,0.0,1.039097829999994,224.10870599999998,223.06960816999998,Scandata-backup-04\1Col\power_data\45.txt,1
3,3,41,0.0,4.164,scan-leak-fixed-power,120.0,0.0,201.92496400000002,0.5961310239221619,0.0,0.6269352370000004,201.92496400000002,201.29802876300002,Scandata-backup-04\1Col\power_data\41.txt,1
4,4,48,0.0,4.23,scan-leak-fixed-power,120.0,0.0,171.32591,0.7031550306361986,0.0,0.6665322360000001,171.32591,170.659377764,Scandata-backup-04\1Col\power_data\48.txt,1
5,5,44,0.0,3.977,scan-leak-fixed-power,120.0,0.0,214.55116299999997,0.5598309355182064,0.0,0.20073613599999998,214.55116299999997,214.35042686399999,Scandata-backup-04\1Col\power_data\44.txt,1
6,6,46,0.0,4.329,scan-leak-fixed-power,120.0,0.0,196.391612,0.612189035204353,0.0,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt,1
7,7,42,0.0,3.995,scan-leak-fixed-power,120.0,0.0,241.08791,0.49989645004587824,0.0,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt,1
8,8,49,0.0,4.294,scan-leak-fixed-power,120.0,0.0,214.357752,0.5619796231382841,0.0,0.8268781760000037,214.357752,213.530873824,Scandata-backup-04\1Col\power_data\49.txt,1
1,1,43,0.0,4.318,scan-leak-fixed-power,120.0,0.0,236.37487000000004,0.5095663461173611,0.0,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt,2
2,2,45,1.0,3.582,scan-leak-fixed-power,120.0,120.0,104.10870599999998,0.537948674337334,0.537948674337334,1.039097829999994,224.10870599999998,223.06960816999998,Scandata-backup-04\1Col\power_data\45.txt,2
3,3,41,0.0,4.164,scan-leak-fixed-power,120.0,0.0,201.92496400000002,0.5961310239221619,0.0,0.6269352370000004,201.92496400000002,201.29802876300002,Scandata-backup-04\1Col\power_data\41.txt,2
4,4,48,0.0,4.23,scan-leak-fixed-power,120.0,0.0,171.32591,0.7031550306361986,0.0,0.6665322360000001,171.32591,170.659377764,Scandata-backup-04\1Col\power_data\48.txt,2
5,5,44,0.0,3.977,scan-leak-fixed-power,120.0,0.0,214.55116299999997,0.5598309355182064,0.0,0.20073613599999998,214.55116299999997,214.35042686399999,Scandata-backup-04\1Col\power_data\44.txt,2
6,6,46,0.0,4.329,scan-leak-fixed-power,120.0,0.0,196.391612,0.612189035204353,0.0,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt,2
7,7,42,0.0,3.995,scan-leak-fixed-power,120.0,0.0,241.08791,0.49989645004587824,0.0,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt,2
