local_sample_row,sample_index,label,source_voltage_file,source_voltage_row,input_voltage_0,input_voltage_1,input_voltage_2,input_voltage_3,input_voltage_4,input_voltage_5,input_voltage_6,input_voltage_7
0,200,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,0,4.318,3.886,3.992,3.8,3.977,4.182,3.837,4.143
1,201,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,1,4.216,4.062,4.061,4.076,3.977,3.991,3.617,4.294
2,202,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,2,4.238,4.137,4.124,4.028,3.837,4.178,3.786,3.902
3,203,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,3,4.005,4.261,4.04,3.777,3.977,4.181,3.836,4.125
4,204,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,4,4.218,4.071,4.164,3.779,3.717,3.959,3.995,4.12
5,205,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,5,3.975,3.857,4.164,4.183,3.809,4.166,3.838,4.147
6,206,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,6,4.14,4.087,3.766,4.23,3.604,4.274,3.792,4.247
7,207,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,7,4.146,4.07,3.664,4.23,3.564,3.979,3.995,4.11
8,208,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,8,4.004,4.261,4.051,3.769,3.977,4.181,3.844,4.13
9,209,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,9,4.161,4.088,3.711,4.23,3.604,4.016,3.995,4.138
10,210,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,10,4.318,3.885,4.0,3.797,3.977,4.184,3.837,4.146
11,211,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,11,4.192,4.057,4.027,4.097,3.977,3.988,3.616,4.294
