local_sample_row,sample_index,label,input_channel,switch_mzi,port,upload_voltage,mode
0,200,1,1,1,43,4.318,sequential-input-sum
0,200,1,2,2,45,3.886,sequential-input-sum
0,200,1,3,3,41,3.992,sequential-input-sum
0,200,1,4,4,48,3.8,sequential-input-sum
0,200,1,5,5,44,3.977,sequential-input-sum
0,200,1,6,6,46,4.182,sequential-input-sum
0,200,1,7,7,42,3.837,sequential-input-sum
0,200,1,8,8,49,4.143,sequential-input-sum
1,201,5,1,1,43,4.216,sequential-input-sum
1,201,5,2,2,45,4.062,sequential-input-sum
1,201,5,3,3,41,4.061,sequential-input-sum
1,201,5,4,4,48,4.076,sequential-input-sum
1,201,5,5,5,44,3.977,sequential-input-sum
1,201,5,6,6,46,3.991,sequential-input-sum
1,201,5,7,7,42,3.617,sequential-input-sum
1,201,5,8,8,49,4.294,sequential-input-sum
2,202,7,1,1,43,4.238,sequential-input-sum
2,202,7,2,2,45,4.137,sequential-input-sum
2,202,7,3,3,41,4.124,sequential-input-sum
2,202,7,4,4,48,4.028,sequential-input-sum
2,202,7,5,5,44,3.837,sequential-input-sum
2,202,7,6,6,46,4.178,sequential-input-sum
2,202,7,7,7,42,3.786,sequential-input-sum
2,202,7,8,8,49,3.902,sequential-input-sum
3,203,2,1,1,43,4.005,sequential-input-sum
3,203,2,2,2,45,4.261,sequential-input-sum
3,203,2,3,3,41,4.04,sequential-input-sum
3,203,2,4,4,48,3.777,sequential-input-sum
3,203,2,5,5,44,3.977,sequential-input-sum
3,203,2,6,6,46,4.181,sequential-input-sum
3,203,2,7,7,42,3.836,sequential-input-sum
3,203,2,8,8,49,4.125,sequential-input-sum
4,204,3,1,1,43,4.218,sequential-input-sum
4,204,3,2,2,45,4.071,sequential-input-sum
4,204,3,3,3,41,4.164,sequential-input-sum
4,204,3,4,4,48,3.779,sequential-input-sum
4,204,3,5,5,44,3.717,sequential-input-sum
4,204,3,6,6,46,3.959,sequential-input-sum
4,204,3,7,7,42,3.995,sequential-input-sum
4,204,3,8,8,49,4.12,sequential-input-sum
5,205,0,1,1,43,3.975,sequential-input-sum
5,205,0,2,2,45,3.857,sequential-input-sum
5,205,0,3,3,41,4.164,sequential-input-sum
5,205,0,4,4,48,4.183,sequential-input-sum
5,205,0,5,5,44,3.809,sequential-input-sum
5,205,0,6,6,46,4.166,sequential-input-sum
5,205,0,7,7,42,3.838,sequential-input-sum
5,205,0,8,8,49,4.147,sequential-input-sum
6,206,4,1,1,43,4.14,sequential-input-sum
6,206,4,2,2,45,4.087,sequential-input-sum
6,206,4,3,3,41,3.766,sequential-input-sum
6,206,4,4,4,48,4.23,sequential-input-sum
6,206,4,5,5,44,3.604,sequential-input-sum
6,206,4,6,6,46,4.274,sequential-input-sum
6,206,4,7,7,42,3.792,sequential-input-sum
6,206,4,8,8,49,4.247,sequential-input-sum
7,207,4,1,1,43,4.146,sequential-input-sum
7,207,4,2,2,45,4.07,sequential-input-sum
7,207,4,3,3,41,3.664,sequential-input-sum
