local_sample_row,sample_index,label,active_input_channel,upload_voltage,component_output_power_sum,component_output_power_0,component_output_power_1,component_output_power_2,component_output_power_3,component_output_power_4,component_output_power_5,component_output_power_6,component_output_power_7
0,200,1,1,4.318,2.66237814e-06,7.658963e-07,1.465335e-07,3.589032e-07,5.259261e-08,9.241176e-08,6.545108e-07,2.085307e-08,5.706769e-07
0,200,1,2,3.886,6.306786117000001e-05,1.692758e-05,3.424501e-05,1.005891e-05,2.462789e-07,2.101504e-07,7.078992e-07,2.264967e-08,6.49383e-07
0,200,1,3,3.992,1.09617657e-05,2.449947e-07,1.970641e-06,1.654028e-06,2.141527e-06,3.428256e-06,7.970785e-07,1.034793e-07,6.217612e-07
0,200,1,4,3.8,6.85090963e-05,3.738122e-07,1.383227e-05,1.1563e-05,2.623082e-05,1.210752e-05,4.429104e-07,3.651318e-06,3.074457e-07
0,200,1,5,3.977,2.6545777800000002e-06,7.611789e-07,1.43973e-07,3.56955e-07,4.961962e-08,9.277313e-08,6.463519e-07,2.249163e-08,5.812346e-07
0,200,1,6,4.182,9.2374307e-06,7.552053e-07,1.271951e-07,2.632962e-07,2.578846e-06,1.791471e-06,2.294354e-06,9.210524e-07,5.060107e-07
0,200,1,7,3.837,1.04307924e-05,7.990967e-07,1.47222e-07,4.062337e-07,1.810599e-06,3.571218e-07,1.718022e-06,4.364846e-06,8.276512e-07
0,200,1,8,4.143,7.82917731e-06,7.807643e-07,1.511748e-07,3.671915e-07,4.496361e-08,1.055109e-07,8.001472e-07,7.61797e-07,4.817628e-06
1,201,5,1,4.216,7.47150037e-06,1.181857e-06,1.100065e-06,3.82618e-06,3.560111e-08,5.854092e-08,6.567662e-07,2.719624e-08,5.852939e-07
1,201,5,2,4.062,1.8805336599999996e-05,3.957031e-06,1.030186e-05,3.06753e-06,8.160581e-08,8.439253e-08,6.717108e-07,2.040756e-08,6.207989e-07
1,201,5,3,4.061,4.40331013e-06,1.187412e-07,6.579092e-07,3.066523e-07,7.508026e-07,1.177358e-06,7.145216e-07,6.629933e-08,6.110259e-07
1,201,5,4,4.076,1.04585305e-05,1.694613e-07,2.162733e-06,9.268085e-07,3.807203e-06,1.928816e-06,5.918408e-07,4.229148e-07,4.487531e-07
1,201,5,5,3.977,2.6404636899999997e-06,7.556239e-07,1.434806e-07,3.517534e-07,4.839922e-08,9.364022e-08,6.410241e-07,2.242755e-08,5.841147e-07
1,201,5,6,3.991,4.45804466e-05,7.503913e-07,9.2363e-08,1.941102e-07,1.242275e-05,7.999797e-06,1.773052e-05,5.024354e-06,3.661611e-07
1,201,5,7,3.617,2.63709673e-06,7.543065e-07,1.431932e-07,3.51302e-07,4.799761e-08,9.32795e-08,6.407361e-07,2.239982e-08,5.83882e-07
1,201,5,8,4.294,2.63849238e-06,7.546403e-07,1.432669e-07,3.518412e-07,4.808548e-08,9.354503e-08,6.412709e-07,2.264837e-08,5.831942e-07
2,202,7,1,4.238,5.40004308e-06,5.542953e-07,8.109237e-07,2.673565e-06,3.798806e-08,6.083805e-08,6.502798e-07,2.614287e-08,5.860103e-07
2,202,7,2,4.137,7.73456211e-06,1.077541e-06,3.966265e-06,1.297939e-06,4.302838e-08,6.401395e-08,6.588675e-07,2.170328e-08,6.05204e-07
2,202,7,3,4.124,2.12920343e-06,3.936532e-07,1.273175e-07,2.408806e-08,1.090815e-07,1.782385e-07,6.654435e-07,3.732057e-08,5.940606e-07
2,202,7,4,4.028,1.713991771e-05,8.998011e-08,3.582778e-06,2.002915e-06,6.526609e-06,3.160937e-06,5.71288e-07,7.937327e-07,4.116779e-07
2,202,7,5,3.837,1.11131724e-05,1.049251e-06,4.793147e-07,1.222415e-06,1.13042e-06,3.44173e-06,8.757146e-07,2.623743e-06,2.905841e-07
2,202,7,6,4.178,9.6574946e-06,7.508027e-07,1.246479e-07,2.594608e-07,2.719872e-06,1.867374e-06,2.45557e-06,9.774011e-07,5.023661e-07
2,202,7,7,3.786,1.68202943e-05,8.112974e-07,1.489569e-07,4.226786e-07,2.853283e-06,6.540594e-07,3.655124e-06,7.236224e-06,1.038671e-06
2,202,7,8,3.902,4.570483144000001e-05,8.191717e-07,1.595729e-07,3.917973e-07,5.577824e-08,1.159363e-07,1.298094e-06,3.456141e-06,3.940834e-05
