path,line,source,field,voltage_v
Scandata\MZI_table.json,$.10.fit_params[0],json,cross_voltage_v,5.293
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,76,csv,voltage_after,4.41728290097784
results\LayerwiseLossOptimize\run_20260615_175207\final_voltage.csv,76,csv,voltage,4.417
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,68,csv,voltage_after,4.417
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,84,csv,voltage_after,4.417
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,92,csv,voltage_after,4.417
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,68,csv,voltage_before,4.417
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,76,csv,voltage_before,4.417
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,84,csv,voltage_before,4.417
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,92,csv,voltage_before,4.417
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer03_iter006.csv,76,csv,voltage,4.417
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer03_iter007.csv,76,csv,voltage,4.417
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer03_iter008.csv,76,csv,voltage,4.417
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer03_iter009.csv,76,csv,voltage,4.417
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,60,csv,voltage_after,4.416816545601647
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,44,csv,voltage_after,4.404133487849082
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,36,csv,voltage_after,4.404023190154716
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,52,csv,voltage_after,4.404
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,44,csv,voltage_before,4.404
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,52,csv,voltage_before,4.404
results\LayerwiseLossOptimize\run_20260615_175207\heater_update_log.csv,60,csv,voltage_before,4.404
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer03_iter003.csv,76,csv,voltage,4.404
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer03_iter004.csv,76,csv,voltage,4.404
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer03_iter005.csv,76,csv,voltage,4.404
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,220,csv,voltage_after,4.3351701009549455
results\LayerwiseLossOptimize\run_20260702_092754\final_voltage.csv,76,csv,voltage,4.335
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,212,csv,voltage_after,4.334147140251761
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,212,csv,voltage_before,4.334
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,220,csv,voltage_before,4.334
results\LayerwiseLossOptimize\run_20260702_092754\upload_voltage_failure_log.csv,310,csv,voltage,4.334
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter016.csv,76,csv,voltage,4.334
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter017.csv,76,csv,voltage,4.334
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,204,csv,voltage_after,4.333596632196217
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,197,csv,voltage_after,4.333348009090438
results\LayerwiseLossOptimize\run_20260702_092754\heater_update_log.csv,204,csv,voltage_before,4.333
results\LayerwiseLossOptimize\run_20260702_092754\upload_voltage_failure_log.csv,248,csv,voltage,4.333
results\LayerwiseLossOptimize\run_20260702_092754\voltage_state_layer03_iter015.csv,76,csv,voltage,4.333
Scandata\MZI_table.json,$.10.fit_params[0],json,bar_voltage_v,4.332
