run,file,row,field,voltage_v
run_20260721_111449,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260721_111449,pass_through_voltage.csv,74,voltage,4.332
run_20260721_111702,pass_through_mzi_plan.csv,14,voltage,4.332
run_20260721_111702,pass_through_voltage.csv,74,voltage,4.332
run_20260721_134247,inference_network_voltage.csv,74,voltage,4.311
run_20260721_134247,inference_voltage_loaded.csv,74,voltage,4.311
run_20260722_093628,voltage_state_layer02_iter000.csv,74,voltage,4.332
run_20260722_093628,voltage_state_layer02_iter001.csv,74,voltage,4.332
run_20260722_142903,heater_update_log.csv,18,voltage_after,4.148
run_20260722_142903,heater_update_log.csv,18,voltage_before,4.048
run_20260722_142903,initial_voltage_plan.csv,10,base_voltage,4.293
run_20260722_142903,initial_voltage_plan.csv,10,initial_voltage,4.047993868669838
run_20260722_142903,voltage_state_layer02_iter000.csv,74,voltage,4.332
run_20260722_142903,voltage_state_layer02_iter001.csv,74,voltage,4.332
run_20260722_142903,voltage_state_layer03_iter000.csv,74,voltage,4.048
run_20260722_142903,voltage_state_layer03_iter001.csv,74,voltage,4.148
run_20260722_170042,all_128_port_currents.csv,74,voltage_v,4.332
run_20260722_170042,all_heater_current_diagnostics.csv,22,voltage_v,4.332
run_20260722_170042,channel_3_4_path_heater_diagnostics.csv,7,voltage_v,4.332
run_20260722_170042,final_voltage.csv,74,voltage,4.332
run_20260722_172125,final_voltage.csv,74,voltage,4.332
